source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
VL_20120503_GRA_02_2	bos taurus	Aortic endothelial cell	not applicable	not available	enrichment of phosphorylated protein	2	VL_20120503_GRA_02_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	1	1	VL_20120503_GRA_02_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD002456/VL_20120503_GRA_02_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Aortic endothelial cell
VL_20121107_GRA_01	bos taurus	Aortic endothelial cell	not applicable	not available	enrichment of phosphorylated protein	1	VL_20121107_GRA_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	1	1	VL_20121107_GRA_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD002456/VL_20121107_GRA_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Aortic endothelial cell
VL_20120802_GRA_03	bos taurus	Aortic endothelial cell	not applicable	not available	enrichment of phosphorylated protein	3	VL_20120802_GRA_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	1	1	VL_20120802_GRA_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD002456/VL_20120802_GRA_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Aortic endothelial cell
VL_20120802_GRA_04	bos taurus	Aortic endothelial cell	not applicable	not available	enrichment of phosphorylated protein	4	VL_20120802_GRA_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	1	1	VL_20120802_GRA_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD002456/VL_20120802_GRA_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Aortic endothelial cell
VL_20120503_GRA_03	bos taurus	Aortic endothelial cell	not applicable	not available	enrichment of phosphorylated protein	3	VL_20120503_GRA_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	1	1	VL_20120503_GRA_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD002456/VL_20120503_GRA_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Aortic endothelial cell
VL_20120802_GRA_02_2	bos taurus	Aortic endothelial cell	not applicable	not available	enrichment of phosphorylated protein	2	VL_20120802_GRA_02_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	1	1	VL_20120802_GRA_02_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD002456/VL_20120802_GRA_02_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Aortic endothelial cell
VL_20120503_GRA_01_3	bos taurus	Aortic endothelial cell	not applicable	not available	enrichment of phosphorylated protein	3	VL_20120503_GRA_01_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	1	1	VL_20120503_GRA_01_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD002456/VL_20120503_GRA_01_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Aortic endothelial cell
VL_20121107_GRA_02	bos taurus	Aortic endothelial cell	not applicable	not available	enrichment of phosphorylated protein	2	VL_20121107_GRA_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	1	1	VL_20121107_GRA_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD002456/VL_20121107_GRA_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Aortic endothelial cell
VL_20120802_GRA_01_2	bos taurus	Aortic endothelial cell	not applicable	not available	enrichment of phosphorylated protein	2	VL_20120802_GRA_01_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	1	1	VL_20120802_GRA_01_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD002456/VL_20120802_GRA_01_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Aortic endothelial cell
VL_20120802_GRA_01	bos taurus	Aortic endothelial cell	not applicable	not available	enrichment of phosphorylated protein	1	VL_20120802_GRA_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	1	1	VL_20120802_GRA_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD002456/VL_20120802_GRA_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Aortic endothelial cell
