source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[strain or breed]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[pooled sample]	characteristics[material type]	characteristics[spiked compound]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[scan window lower limit]	comment[scan window upper limit]	comment[dia method]	comment[study group]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	factor value[age]	factor value[proteomics data acquisition method]
PXD005573_S1BF_library_HPRP	Mus musculus	barrel cortex	not applicable	normal	C57BL/6J	not available	not available	not available	pooled	tissue	CT=mixture;CN=iRT kit;CV=Biognosys	1	C_D160415_S209-BC-1m-HPRP-10perc_MSG_R01_T0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	3	1	not applicable	not applicable	not applicable	S1BF spectral library DDA, HPRP fractions (1 m, 4 h)	C_D160415_S209-BC-1m-HPRP-10perc_MSG_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/C_D160415_S209-BC-1m-HPRP-10perc_MSG_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627
PXD005573_S1BF_library_HPRP	Mus musculus	barrel cortex	not applicable	normal	C57BL/6J	not available	not available	not available	pooled	tissue	CT=mixture;CN=iRT kit;CV=Biognosys	1	C_D160415_S209-BC-1m-HPRP-15perc_MSG_R01_T0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	4	1	not applicable	not applicable	not applicable	S1BF spectral library DDA, HPRP fractions (1 m, 4 h)	C_D160415_S209-BC-1m-HPRP-15perc_MSG_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/C_D160415_S209-BC-1m-HPRP-15perc_MSG_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627
PXD005573_S1BF_library_HPRP	Mus musculus	barrel cortex	not applicable	normal	C57BL/6J	not available	not available	not available	pooled	tissue	CT=mixture;CN=iRT kit;CV=Biognosys	1	C_D160415_S209-BC-1m-HPRP-20perc_MSG_R01_T0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	5	1	not applicable	not applicable	not applicable	S1BF spectral library DDA, HPRP fractions (1 m, 4 h)	C_D160415_S209-BC-1m-HPRP-20perc_MSG_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/C_D160415_S209-BC-1m-HPRP-20perc_MSG_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627
PXD005573_S1BF_library_HPRP	Mus musculus	barrel cortex	not applicable	normal	C57BL/6J	not available	not available	not available	pooled	tissue	CT=mixture;CN=iRT kit;CV=Biognosys	1	C_D160415_S209-BC-1m-HPRP-25perc_MSG_R01_T0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	6	1	not applicable	not applicable	not applicable	S1BF spectral library DDA, HPRP fractions (1 m, 4 h)	C_D160415_S209-BC-1m-HPRP-25perc_MSG_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/C_D160415_S209-BC-1m-HPRP-25perc_MSG_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627
PXD005573_S1BF_library_HPRP	Mus musculus	barrel cortex	not applicable	normal	C57BL/6J	not available	not available	not available	pooled	tissue	CT=mixture;CN=iRT kit;CV=Biognosys	1	C_D160415_S209-BC-1m-HPRP-50perc_MSG_R01_T0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	7	1	not applicable	not applicable	not applicable	S1BF spectral library DDA, HPRP fractions (1 m, 4 h)	C_D160415_S209-BC-1m-HPRP-50perc_MSG_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/C_D160415_S209-BC-1m-HPRP-50perc_MSG_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627
PXD005573_S1BF_library_HPRP	Mus musculus	barrel cortex	not applicable	normal	C57BL/6J	not available	not available	not available	pooled	tissue	CT=mixture;CN=iRT kit;CV=Biognosys	1	C_D160415_S209-BC-1m-HPRP-5perc_MSG_R01_T0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	2	1	not applicable	not applicable	not applicable	S1BF spectral library DDA, HPRP fractions (1 m, 4 h)	C_D160415_S209-BC-1m-HPRP-5perc_MSG_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/C_D160415_S209-BC-1m-HPRP-5perc_MSG_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627
PXD005573_S1BF_library_HPRP	Mus musculus	barrel cortex	not applicable	normal	C57BL/6J	not available	not available	not available	pooled	tissue	CT=mixture;CN=iRT kit;CV=Biognosys	1	C_D160415_S209-BC-1m-HPRP-FT_MSG_R01_T0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	1	1	not applicable	not applicable	not applicable	S1BF spectral library DDA, HPRP fractions (1 m, 4 h)	C_D160415_S209-BC-1m-HPRP-FT_MSG_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/C_D160415_S209-BC-1m-HPRP-FT_MSG_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627
PXD005573_S1BF_P15_pool	Mus musculus	barrel cortex	not applicable	normal	C57BL/6J	Theiler stage 28	15D	not available	pooled	tissue	CT=mixture;CN=iRT kit;CV=Biognosys	1	Fig5_MP-DIA-barrel-cortex-p15-1_MHRM	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	25.5 NCE;27 NCE;30 NCE	not available	not available	not applicable	1	1	350	1650	MS1 120,000 resolution; 22 variable-width DIA windows at 30,000 MS2 resolution	Fig5 S1BF development DIA (2 h, 1 m column)	Fig5_MP-DIA-barrel-cortex-p15-1_MHRM.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/Fig5_MP-DIA-barrel-cortex-p15-1_MHRM.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	15D	NT=Data-independent acquisition;AC=PRIDE:0000450
PXD005573_S1BF_P15_pool	Mus musculus	barrel cortex	not applicable	normal	C57BL/6J	Theiler stage 28	15D	not available	pooled	tissue	CT=mixture;CN=iRT kit;CV=Biognosys	1	Fig5_MP-DIA-barrel-cortex-p15-2_MHRM	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	25.5 NCE;27 NCE;30 NCE	not available	not available	not applicable	1	2	350	1650	MS1 120,000 resolution; 22 variable-width DIA windows at 30,000 MS2 resolution	Fig5 S1BF development DIA (2 h, 1 m column)	Fig5_MP-DIA-barrel-cortex-p15-2_MHRM.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/Fig5_MP-DIA-barrel-cortex-p15-2_MHRM.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	15D	NT=Data-independent acquisition;AC=PRIDE:0000450
PXD005573_S1BF_P15_pool	Mus musculus	barrel cortex	not applicable	normal	C57BL/6J	Theiler stage 28	15D	not available	pooled	tissue	CT=mixture;CN=iRT kit;CV=Biognosys	1	Fig5_MP-DIA-barrel-cortex-p15-3_MHRM	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	25.5 NCE;27 NCE;30 NCE	not available	not available	not applicable	1	3	350	1650	MS1 120,000 resolution; 22 variable-width DIA windows at 30,000 MS2 resolution	Fig5 S1BF development DIA (2 h, 1 m column)	Fig5_MP-DIA-barrel-cortex-p15-3_MHRM.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/Fig5_MP-DIA-barrel-cortex-p15-3_MHRM.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	15D	NT=Data-independent acquisition;AC=PRIDE:0000450
