source name	characteristics[organism]	characteristics[organism part]	characteristics[sampling site]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[material type]	characteristics[spiked compound]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[scan window lower limit]	comment[scan window upper limit]	comment[dia method]	comment[gradient length]	comment[study group]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[dia method]	factor value[gradient length]	factor value[proteomics data acquisition method]
PXD005573_HeLa	Homo sapiens	not applicable	uterine cervix	epithelial cell	HeLa	CVCL_0030	HeLa	endocervical adenocarcinoma	adult	30Y6M	female	African American	cell	CT=mixture;CN=iRT kit;CV=Biognosys	1	C_D160304_S251-Hela-2ug-2h_MSG_R01_T0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	not applicable	1	1	not applicable	not applicable	not applicable	120 min	HeLa spectral library DDA (50 cm column; Suppl. Table S3): DDA	C_D160304_S251-Hela-2ug-2h_MSG_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/C_D160304_S251-Hela-2ug-2h_MSG_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	not applicable	120 min	NT=Data-dependent acquisition;AC=PRIDE:0000627
PXD005573_HeLa	Homo sapiens	not applicable	uterine cervix	epithelial cell	HeLa	CVCL_0030	HeLa	endocervical adenocarcinoma	adult	30Y6M	female	African American	cell	CT=mixture;CN=iRT kit;CV=Biognosys	1	C_D160304_S251-Hela-2ug-2h_MSG_R02_T0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	not applicable	1	2	not applicable	not applicable	not applicable	120 min	HeLa spectral library DDA (50 cm column; Suppl. Table S3): DDA	C_D160304_S251-Hela-2ug-2h_MSG_R02_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/C_D160304_S251-Hela-2ug-2h_MSG_R02_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	not applicable	120 min	NT=Data-dependent acquisition;AC=PRIDE:0000627
PXD005573_HeLa	Homo sapiens	not applicable	uterine cervix	epithelial cell	HeLa	CVCL_0030	HeLa	endocervical adenocarcinoma	adult	30Y6M	female	African American	cell	CT=mixture;CN=iRT kit;CV=Biognosys	1	C_D160304_S251-Hela-2ug-2h_MSG_R03_T0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	not applicable	1	3	not applicable	not applicable	not applicable	120 min	HeLa spectral library DDA (50 cm column; Suppl. Table S3): DDA	C_D160304_S251-Hela-2ug-2h_MSG_R03_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/C_D160304_S251-Hela-2ug-2h_MSG_R03_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	not applicable	120 min	NT=Data-dependent acquisition;AC=PRIDE:0000627
PXD005573_HeLa	Homo sapiens	not applicable	uterine cervix	epithelial cell	HeLa	CVCL_0030	HeLa	endocervical adenocarcinoma	adult	30Y6M	female	African American	cell	CT=mixture;CN=iRT kit;CV=Biognosys	1	C_D160331_S209-HPRP-HeLa-05_MSG_R01_T0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	2	1	not applicable	not applicable	not applicable	120 min	HeLa spectral library DDA (50 cm column; Suppl. Table S3): DDA, High-pH reversed-phase chromatography (hpHRP)	C_D160331_S209-HPRP-HeLa-05_MSG_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/C_D160331_S209-HPRP-HeLa-05_MSG_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	not applicable	120 min	NT=Data-dependent acquisition;AC=PRIDE:0000627
PXD005573_HeLa	Homo sapiens	not applicable	uterine cervix	epithelial cell	HeLa	CVCL_0030	HeLa	endocervical adenocarcinoma	adult	30Y6M	female	African American	cell	CT=mixture;CN=iRT kit;CV=Biognosys	1	C_D160331_S209-HPRP-HeLa-10_MSG_R01_T0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	3	1	not applicable	not applicable	not applicable	120 min	HeLa spectral library DDA (50 cm column; Suppl. Table S3): DDA, High-pH reversed-phase chromatography (hpHRP)	C_D160331_S209-HPRP-HeLa-10_MSG_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/C_D160331_S209-HPRP-HeLa-10_MSG_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	not applicable	120 min	NT=Data-dependent acquisition;AC=PRIDE:0000627
PXD005573_HeLa	Homo sapiens	not applicable	uterine cervix	epithelial cell	HeLa	CVCL_0030	HeLa	endocervical adenocarcinoma	adult	30Y6M	female	African American	cell	CT=mixture;CN=iRT kit;CV=Biognosys	1	C_D160331_S209-HPRP-HeLa-15_MSG_R01_T0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	4	1	not applicable	not applicable	not applicable	120 min	HeLa spectral library DDA (50 cm column; Suppl. Table S3): DDA, High-pH reversed-phase chromatography (hpHRP)	C_D160331_S209-HPRP-HeLa-15_MSG_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/C_D160331_S209-HPRP-HeLa-15_MSG_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	not applicable	120 min	NT=Data-dependent acquisition;AC=PRIDE:0000627
PXD005573_HeLa	Homo sapiens	not applicable	uterine cervix	epithelial cell	HeLa	CVCL_0030	HeLa	endocervical adenocarcinoma	adult	30Y6M	female	African American	cell	CT=mixture;CN=iRT kit;CV=Biognosys	1	C_D160331_S209-HPRP-HeLa-20_MSG_R01_T0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	5	1	not applicable	not applicable	not applicable	120 min	HeLa spectral library DDA (50 cm column; Suppl. Table S3): DDA, High-pH reversed-phase chromatography (hpHRP)	C_D160331_S209-HPRP-HeLa-20_MSG_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/C_D160331_S209-HPRP-HeLa-20_MSG_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	not applicable	120 min	NT=Data-dependent acquisition;AC=PRIDE:0000627
PXD005573_HeLa	Homo sapiens	not applicable	uterine cervix	epithelial cell	HeLa	CVCL_0030	HeLa	endocervical adenocarcinoma	adult	30Y6M	female	African American	cell	CT=mixture;CN=iRT kit;CV=Biognosys	1	C_D160331_S209-HPRP-HeLa-25_MSG_R01_T0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	6	1	not applicable	not applicable	not applicable	120 min	HeLa spectral library DDA (50 cm column; Suppl. Table S3): DDA, High-pH reversed-phase chromatography (hpHRP)	C_D160331_S209-HPRP-HeLa-25_MSG_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/C_D160331_S209-HPRP-HeLa-25_MSG_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	not applicable	120 min	NT=Data-dependent acquisition;AC=PRIDE:0000627
PXD005573_HeLa	Homo sapiens	not applicable	uterine cervix	epithelial cell	HeLa	CVCL_0030	HeLa	endocervical adenocarcinoma	adult	30Y6M	female	African American	cell	CT=mixture;CN=iRT kit;CV=Biognosys	1	C_D160331_S209-HPRP-HeLa-50_MSG_R01_T0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	7	1	not applicable	not applicable	not applicable	120 min	HeLa spectral library DDA (50 cm column; Suppl. Table S3): DDA, High-pH reversed-phase chromatography (hpHRP)	C_D160331_S209-HPRP-HeLa-50_MSG_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/C_D160331_S209-HPRP-HeLa-50_MSG_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	not applicable	120 min	NT=Data-dependent acquisition;AC=PRIDE:0000627
PXD005573_HeLa	Homo sapiens	not applicable	uterine cervix	epithelial cell	HeLa	CVCL_0030	HeLa	endocervical adenocarcinoma	adult	30Y6M	female	African American	cell	CT=mixture;CN=iRT kit;CV=Biognosys	1	C_D160331_S209-HPRP-HeLa-FT_MSG_R01_T0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	1	1	not applicable	not applicable	not applicable	120 min	HeLa spectral library DDA (50 cm column; Suppl. Table S3): DDA, High-pH reversed-phase chromatography (hpHRP)	C_D160331_S209-HPRP-HeLa-FT_MSG_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/C_D160331_S209-HPRP-HeLa-FT_MSG_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	not applicable	120 min	NT=Data-dependent acquisition;AC=PRIDE:0000627
