source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[condition]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[scan window lower limit]	comment[scan window upper limit]	comment[dia method]	comment[study group]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	factor value[condition]	factor value[proteomics data acquisition method]
PXD005573_mixed_proteome	Homo sapiens	not applicable	not applicable	not applicable	mixed proteome	CT=mixture;CN=Caenorhabditis elegans digest;SP=Caenorhabditis elegans;QY=42 percent of peptide mass	CT=mixture;CN=Saccharomyces cerevisiae digest;SP=Saccharomyces cerevisiae;QY=12 percent of peptide mass	CT=mixture;CN=Escherichia coli digest;SP=Escherichia coli;QY=6 percent of peptide mass	CT=mixture;CN=iRT kit;CV=Biognosys	1	Fig2_MP-DIA-multi-organism-Run_MHRM_R01_T0	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	25.5 NCE;27 NCE;30 NCE	not available	not available	not applicable	1	1	350	1650	MS1 240,000 resolution; 30 variable-width DIA windows at 60,000 MS2 resolution	Fig2B/C and Suppl. Fig. 6A-B four-organism mixed proteome, DIA triplicate	Fig2_MP-DIA-multi-organism-Run_MHRM_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/Fig2_MP-DIA-multi-organism-Run_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	mixed proteome	NT=Data-independent acquisition;AC=PRIDE:0000450
PXD005573_mixed_proteome	Homo sapiens	not applicable	not applicable	not applicable	mixed proteome	CT=mixture;CN=Caenorhabditis elegans digest;SP=Caenorhabditis elegans;QY=42 percent of peptide mass	CT=mixture;CN=Saccharomyces cerevisiae digest;SP=Saccharomyces cerevisiae;QY=12 percent of peptide mass	CT=mixture;CN=Escherichia coli digest;SP=Escherichia coli;QY=6 percent of peptide mass	CT=mixture;CN=iRT kit;CV=Biognosys	1	Fig2_MP-DIA-multi-organism-Run_MHRM_R02_T0	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	25.5 NCE;27 NCE;30 NCE	not available	not available	not applicable	1	2	350	1650	MS1 240,000 resolution; 30 variable-width DIA windows at 60,000 MS2 resolution	Fig2B/C and Suppl. Fig. 6A-B four-organism mixed proteome, DIA triplicate	Fig2_MP-DIA-multi-organism-Run_MHRM_R02_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/Fig2_MP-DIA-multi-organism-Run_MHRM_R02_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	mixed proteome	NT=Data-independent acquisition;AC=PRIDE:0000450
PXD005573_mixed_proteome	Homo sapiens	not applicable	not applicable	not applicable	mixed proteome	CT=mixture;CN=Caenorhabditis elegans digest;SP=Caenorhabditis elegans;QY=42 percent of peptide mass	CT=mixture;CN=Saccharomyces cerevisiae digest;SP=Saccharomyces cerevisiae;QY=12 percent of peptide mass	CT=mixture;CN=Escherichia coli digest;SP=Escherichia coli;QY=6 percent of peptide mass	CT=mixture;CN=iRT kit;CV=Biognosys	1	Fig2_MP-DIA-multi-organism-Run_MHRM_R03_T0	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	25.5 NCE;27 NCE;30 NCE	not available	not available	not applicable	1	3	350	1650	MS1 240,000 resolution; 30 variable-width DIA windows at 60,000 MS2 resolution	Fig2B/C and Suppl. Fig. 6A-B four-organism mixed proteome, DIA triplicate	Fig2_MP-DIA-multi-organism-Run_MHRM_R03_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/Fig2_MP-DIA-multi-organism-Run_MHRM_R03_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	mixed proteome	NT=Data-independent acquisition;AC=PRIDE:0000450
PXD005573_mixed_proteome	Homo sapiens	not applicable	not applicable	not applicable	mixed proteome	CT=mixture;CN=Caenorhabditis elegans digest;SP=Caenorhabditis elegans;QY=42 percent of peptide mass	CT=mixture;CN=Saccharomyces cerevisiae digest;SP=Saccharomyces cerevisiae;QY=12 percent of peptide mass	CT=mixture;CN=Escherichia coli digest;SP=Escherichia coli;QY=6 percent of peptide mass	CT=mixture;CN=iRT kit;CV=Biognosys	1	Fig2_MP-DIA-multi-organism_MHRM_R01	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	25.5 NCE;27 NCE;30 NCE	not available	not available	not applicable	1	4	350	1650	MS1 240,000 resolution; 30 variable-width DIA windows at 60,000 MS2 resolution	Fig2B/C four-organism mixed proteome, DIA vs DDA single shot	Fig2_MP-DIA-multi-organism_MHRM_R01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/Fig2_MP-DIA-multi-organism_MHRM_R01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	mixed proteome	NT=Data-independent acquisition;AC=PRIDE:0000450
PXD005573_mixed_proteome	Homo sapiens	not applicable	not applicable	not applicable	mixed proteome	CT=mixture;CN=Caenorhabditis elegans digest;SP=Caenorhabditis elegans;QY=42 percent of peptide mass	CT=mixture;CN=Saccharomyces cerevisiae digest;SP=Saccharomyces cerevisiae;QY=12 percent of peptide mass	CT=mixture;CN=Escherichia coli digest;SP=Escherichia coli;QY=6 percent of peptide mass	CT=mixture;CN=iRT kit;CV=Biognosys	1	Fig2_MP-DIA-multi-organism_MSG_R01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	not applicable	1	1	not applicable	not applicable	not applicable	Fig2B/C four-organism mixed proteome, DIA vs DDA single shot	Fig2_MP-DIA-multi-organism_MSG_R01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/Fig2_MP-DIA-multi-organism_MSG_R01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	mixed proteome	NT=Data-dependent acquisition;AC=PRIDE:0000627
PXD005573_smallFC_S1	Homo sapiens	not applicable	not applicable	not applicable	small fold change S1	CT=mixture;CN=Caenorhabditis elegans digest;SP=Caenorhabditis elegans;QY=16.8 ug in prepared mixture	CT=mixture;CN=Saccharomyces cerevisiae digest;SP=Saccharomyces cerevisiae;QY=4.8 ug in prepared mixture	CT=mixture;CN=Escherichia coli digest;SP=Escherichia coli;QY=3.64 ug in prepared mixture	CT=mixture;CN=iRT kit;CV=Biognosys	1	Fig3_MP-DIA-multi-organism-Run-S1_MHRM_R01_T0	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	25.5 NCE;27 NCE;30 NCE	not available	not available	not applicable	1	1	350	1650	MS1 240,000 resolution; 30 variable-width DIA windows at 60,000 MS2 resolution	Fig3 small fold-change mixed proteomes (S1 vs S2)	Fig3_MP-DIA-multi-organism-Run-S1_MHRM_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/Fig3_MP-DIA-multi-organism-Run-S1_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	small fold change S1	NT=Data-independent acquisition;AC=PRIDE:0000450
PXD005573_smallFC_S1	Homo sapiens	not applicable	not applicable	not applicable	small fold change S1	CT=mixture;CN=Caenorhabditis elegans digest;SP=Caenorhabditis elegans;QY=16.8 ug in prepared mixture	CT=mixture;CN=Saccharomyces cerevisiae digest;SP=Saccharomyces cerevisiae;QY=4.8 ug in prepared mixture	CT=mixture;CN=Escherichia coli digest;SP=Escherichia coli;QY=3.64 ug in prepared mixture	CT=mixture;CN=iRT kit;CV=Biognosys	1	Fig3_MP-DIA-multi-organism-Run-S1_MHRM_R02_T0	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	25.5 NCE;27 NCE;30 NCE	not available	not available	not applicable	1	2	350	1650	MS1 240,000 resolution; 30 variable-width DIA windows at 60,000 MS2 resolution	Fig3 small fold-change mixed proteomes (S1 vs S2)	Fig3_MP-DIA-multi-organism-Run-S1_MHRM_R02_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/Fig3_MP-DIA-multi-organism-Run-S1_MHRM_R02_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	small fold change S1	NT=Data-independent acquisition;AC=PRIDE:0000450
PXD005573_smallFC_S1	Homo sapiens	not applicable	not applicable	not applicable	small fold change S1	CT=mixture;CN=Caenorhabditis elegans digest;SP=Caenorhabditis elegans;QY=16.8 ug in prepared mixture	CT=mixture;CN=Saccharomyces cerevisiae digest;SP=Saccharomyces cerevisiae;QY=4.8 ug in prepared mixture	CT=mixture;CN=Escherichia coli digest;SP=Escherichia coli;QY=3.64 ug in prepared mixture	CT=mixture;CN=iRT kit;CV=Biognosys	1	Fig3_MP-DIA-multi-organism-Run-S1_MHRM_R03_T0	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	25.5 NCE;27 NCE;30 NCE	not available	not available	not applicable	1	3	350	1650	MS1 240,000 resolution; 30 variable-width DIA windows at 60,000 MS2 resolution	Fig3 small fold-change mixed proteomes (S1 vs S2)	Fig3_MP-DIA-multi-organism-Run-S1_MHRM_R03_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/Fig3_MP-DIA-multi-organism-Run-S1_MHRM_R03_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	small fold change S1	NT=Data-independent acquisition;AC=PRIDE:0000450
PXD005573_smallFC_S1	Homo sapiens	not applicable	not applicable	not applicable	small fold change S1	CT=mixture;CN=Caenorhabditis elegans digest;SP=Caenorhabditis elegans;QY=16.8 ug in prepared mixture	CT=mixture;CN=Saccharomyces cerevisiae digest;SP=Saccharomyces cerevisiae;QY=4.8 ug in prepared mixture	CT=mixture;CN=Escherichia coli digest;SP=Escherichia coli;QY=3.64 ug in prepared mixture	CT=mixture;CN=iRT kit;CV=Biognosys	1	Fig3_MP-DIA-multi-organism-Run-S1_MSG_R01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	not applicable	1	1	not applicable	not applicable	not applicable	Fig3 small fold-change mixed proteomes (S1 vs S2)	Fig3_MP-DIA-multi-organism-Run-S1_MSG_R01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/Fig3_MP-DIA-multi-organism-Run-S1_MSG_R01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	small fold change S1	NT=Data-dependent acquisition;AC=PRIDE:0000627
PXD005573_smallFC_S1	Homo sapiens	not applicable	not applicable	not applicable	small fold change S1	CT=mixture;CN=Caenorhabditis elegans digest;SP=Caenorhabditis elegans;QY=16.8 ug in prepared mixture	CT=mixture;CN=Saccharomyces cerevisiae digest;SP=Saccharomyces cerevisiae;QY=4.8 ug in prepared mixture	CT=mixture;CN=Escherichia coli digest;SP=Escherichia coli;QY=3.64 ug in prepared mixture	CT=mixture;CN=iRT kit;CV=Biognosys	1	Fig3_MP-DIA-multi-organism-Run-S1_MSG_R02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	not applicable	1	2	not applicable	not applicable	not applicable	Fig3 small fold-change mixed proteomes (S1 vs S2)	Fig3_MP-DIA-multi-organism-Run-S1_MSG_R02.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/Fig3_MP-DIA-multi-organism-Run-S1_MSG_R02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	small fold change S1	NT=Data-dependent acquisition;AC=PRIDE:0000627
