source name	characteristics[organism]	characteristics[organism part]	characteristics[sampling site]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[material type]	characteristics[spiked compound]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[scan window lower limit]	comment[scan window upper limit]	comment[dia method]	comment[gradient length]	comment[study group]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[proteomics data acquisition method]
PXD005573_HEK293	Homo sapiens	not applicable	kidney	not available	HEK293	CVCL_0045	HEK293	normal	embryo stage	not available	female	not available	cell	CT=mixture;CN=iRT kit;CV=Biognosys	1	Fig4_HEK293-1m-HPRP-10perc_DDA_R01_T0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	3	1	not applicable	not applicable	not applicable	240 min	HeLa/HEK-293 spectral library DDA (1 m column; Suppl. Table S3)	Fig4_HEK293-1m-HPRP-10perc_DDA_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/Fig4_HEK293-1m-HPRP-10perc_DDA_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627
PXD005573_HEK293	Homo sapiens	not applicable	kidney	not available	HEK293	CVCL_0045	HEK293	normal	embryo stage	not available	female	not available	cell	CT=mixture;CN=iRT kit;CV=Biognosys	1	Fig4_HEK293-1m-HPRP-15perc_DDA_R01_T0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	4	1	not applicable	not applicable	not applicable	240 min	HeLa/HEK-293 spectral library DDA (1 m column; Suppl. Table S3)	Fig4_HEK293-1m-HPRP-15perc_DDA_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/Fig4_HEK293-1m-HPRP-15perc_DDA_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627
PXD005573_HEK293	Homo sapiens	not applicable	kidney	not available	HEK293	CVCL_0045	HEK293	normal	embryo stage	not available	female	not available	cell	CT=mixture;CN=iRT kit;CV=Biognosys	1	Fig4_HEK293-1m-HPRP-20perc_DDA_R01_T0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	5	1	not applicable	not applicable	not applicable	240 min	HeLa/HEK-293 spectral library DDA (1 m column; Suppl. Table S3)	Fig4_HEK293-1m-HPRP-20perc_DDA_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/Fig4_HEK293-1m-HPRP-20perc_DDA_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627
PXD005573_HEK293	Homo sapiens	not applicable	kidney	not available	HEK293	CVCL_0045	HEK293	normal	embryo stage	not available	female	not available	cell	CT=mixture;CN=iRT kit;CV=Biognosys	1	Fig4_HEK293-1m-HPRP-25perc_DDA_R01_T0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	6	1	not applicable	not applicable	not applicable	240 min	HeLa/HEK-293 spectral library DDA (1 m column; Suppl. Table S3)	Fig4_HEK293-1m-HPRP-25perc_DDA_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/Fig4_HEK293-1m-HPRP-25perc_DDA_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627
PXD005573_HEK293	Homo sapiens	not applicable	kidney	not available	HEK293	CVCL_0045	HEK293	normal	embryo stage	not available	female	not available	cell	CT=mixture;CN=iRT kit;CV=Biognosys	1	Fig4_HEK293-1m-HPRP-50perc_DDA_R01_T0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	7	1	not applicable	not applicable	not applicable	240 min	HeLa/HEK-293 spectral library DDA (1 m column; Suppl. Table S3)	Fig4_HEK293-1m-HPRP-50perc_DDA_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/Fig4_HEK293-1m-HPRP-50perc_DDA_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627
PXD005573_HEK293	Homo sapiens	not applicable	kidney	not available	HEK293	CVCL_0045	HEK293	normal	embryo stage	not available	female	not available	cell	CT=mixture;CN=iRT kit;CV=Biognosys	1	Fig4_HEK293-1m-HPRP-5perc_DDA_R01_T0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	2	1	not applicable	not applicable	not applicable	240 min	HeLa/HEK-293 spectral library DDA (1 m column; Suppl. Table S3)	Fig4_HEK293-1m-HPRP-5perc_DDA_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/Fig4_HEK293-1m-HPRP-5perc_DDA_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627
PXD005573_HEK293	Homo sapiens	not applicable	kidney	not available	HEK293	CVCL_0045	HEK293	normal	embryo stage	not available	female	not available	cell	CT=mixture;CN=iRT kit;CV=Biognosys	1	Fig4_HEK293-1m-HPRP-FT_DDA_R01_T0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	1	1	not applicable	not applicable	not applicable	240 min	HeLa/HEK-293 spectral library DDA (1 m column; Suppl. Table S3)	Fig4_HEK293-1m-HPRP-FT_DDA_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/Fig4_HEK293-1m-HPRP-FT_DDA_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627
PXD005573_HEK293	Homo sapiens	not applicable	kidney	not available	HEK293	CVCL_0045	HEK293	normal	embryo stage	not available	female	not available	cell	CT=mixture;CN=iRT kit;CV=Biognosys	1	Fig4_HEK293-1m_DDA_R01_T0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	not applicable	1	1	not applicable	not applicable	not applicable	240 min	HeLa/HEK-293 spectral library DDA (1 m column; Suppl. Table S3)	Fig4_HEK293-1m_DDA_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/Fig4_HEK293-1m_DDA_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627
PXD005573_HEK293	Homo sapiens	not applicable	kidney	not available	HEK293	CVCL_0045	HEK293	normal	embryo stage	not available	female	not available	cell	CT=mixture;CN=iRT kit;CV=Biognosys	1	Fig4_HEK293-1m_DDA_R02_T0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	not applicable	1	2	not applicable	not applicable	not applicable	240 min	HeLa/HEK-293 spectral library DDA (1 m column; Suppl. Table S3)	Fig4_HEK293-1m_DDA_R02_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/Fig4_HEK293-1m_DDA_R02_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627
PXD005573_HEK293	Homo sapiens	not applicable	kidney	not available	HEK293	CVCL_0045	HEK293	normal	embryo stage	not available	female	not available	cell	CT=mixture;CN=iRT kit;CV=Biognosys	1	Fig4_HEK293-1m_DDA_R03_T0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	not applicable	1	3	not applicable	not applicable	not applicable	240 min	HeLa/HEK-293 spectral library DDA (1 m column; Suppl. Table S3)	Fig4_HEK293-1m_DDA_R03_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/Fig4_HEK293-1m_DDA_R03_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627
