source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[host organism]	characteristics[host body site]	characteristics[host disease status]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
Sheep_1	Sheep_1	Microbiota	Gastrointestinal tract	not applicable	not available	Sheep_fecal_microbiota_-_Diversity_and_functions_of_the_sheep_faecal_microbiota_a_multi-omic_characterization	feces	feces	not available	not available	not available	not available	gut microbiome	Microbiota	Gastrointestinal tract	not available	1	Sheep_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Sheep_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Gastrointestinal tract
Sheep_1_DB1.msf	Sheep_1_DB1.msf	Microbiota	Gastrointestinal tract	not applicable	not available	Sheep_fecal_microbiota_-_Diversity_and_functions_of_the_sheep_faecal_microbiota_a_multi-omic_characterization	feces	feces	not available	not available	not available	not available	gut microbiome	Microbiota	Gastrointestinal tract	not available	1	Sheep_1_DB1.msf	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Sheep_1_DB1.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Gastrointestinal tract
Sheep_1_DB2.msf	Sheep_1_DB2.msf	Microbiota	Gastrointestinal tract	not applicable	not available	Sheep_fecal_microbiota_-_Diversity_and_functions_of_the_sheep_faecal_microbiota_a_multi-omic_characterization	feces	feces	not available	not available	not available	not available	gut microbiome	Microbiota	Gastrointestinal tract	not available	1	Sheep_1_DB2.msf	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Sheep_1_DB2.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Gastrointestinal tract
Sheep_1_DB3.msf	Sheep_1_DB3.msf	Microbiota	Gastrointestinal tract	not applicable	not available	Sheep_fecal_microbiota_-_Diversity_and_functions_of_the_sheep_faecal_microbiota_a_multi-omic_characterization	feces	feces	not available	not available	not available	not available	gut microbiome	Microbiota	Gastrointestinal tract	not available	1	Sheep_1_DB3.msf	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Sheep_1_DB3.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Gastrointestinal tract
Sheep_2	Sheep_2	Microbiota	Gastrointestinal tract	not applicable	not available	Sheep_fecal_microbiota_-_Diversity_and_functions_of_the_sheep_faecal_microbiota_a_multi-omic_characterization	feces	feces	not available	not available	not available	not available	gut microbiome	Microbiota	Gastrointestinal tract	not available	1	Sheep_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Sheep_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Gastrointestinal tract
Sheep_2_DB1.msf	Sheep_2_DB1.msf	Microbiota	Gastrointestinal tract	not applicable	not available	Sheep_fecal_microbiota_-_Diversity_and_functions_of_the_sheep_faecal_microbiota_a_multi-omic_characterization	feces	feces	not available	not available	not available	not available	gut microbiome	Microbiota	Gastrointestinal tract	not available	1	Sheep_2_DB1.msf	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Sheep_2_DB1.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Gastrointestinal tract
Sheep_2_DB2.msf	Sheep_2_DB2.msf	Microbiota	Gastrointestinal tract	not applicable	not available	Sheep_fecal_microbiota_-_Diversity_and_functions_of_the_sheep_faecal_microbiota_a_multi-omic_characterization	feces	feces	not available	not available	not available	not available	gut microbiome	Microbiota	Gastrointestinal tract	not available	1	Sheep_2_DB2.msf	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Sheep_2_DB2.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Gastrointestinal tract
Sheep_2_DB3.msf	Sheep_2_DB3.msf	Microbiota	Gastrointestinal tract	not applicable	not available	Sheep_fecal_microbiota_-_Diversity_and_functions_of_the_sheep_faecal_microbiota_a_multi-omic_characterization	feces	feces	not available	not available	not available	not available	gut microbiome	Microbiota	Gastrointestinal tract	not available	1	Sheep_2_DB3.msf	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Sheep_2_DB3.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Gastrointestinal tract
Sheep_3	Sheep_3	Microbiota	Gastrointestinal tract	not applicable	not available	Sheep_fecal_microbiota_-_Diversity_and_functions_of_the_sheep_faecal_microbiota_a_multi-omic_characterization	feces	feces	not available	not available	not available	not available	gut microbiome	Microbiota	Gastrointestinal tract	not available	1	Sheep_3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Sheep_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Gastrointestinal tract
Sheep_3_DB1.msf	Sheep_3_DB1.msf	Microbiota	Gastrointestinal tract	not applicable	not available	Sheep_fecal_microbiota_-_Diversity_and_functions_of_the_sheep_faecal_microbiota_a_multi-omic_characterization	feces	feces	not available	not available	not available	not available	gut microbiome	Microbiota	Gastrointestinal tract	not available	1	Sheep_3_DB1.msf	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Sheep_3_DB1.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Gastrointestinal tract
