source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[material type]	characteristics[biological replicate]	characteristics[phenotype]	characteristics[individual]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[file uri]
Sample 1	NT=Homo sapiens;AC=NCBITaxon:9606	amygdala	not applicable	Disease free	not applicable	adult	30Y-80Y	not available	tissue	1	IgM	IgM_1	5	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=5600+ QTOF  Sciex	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	1	1	Data031215_05.wiff	v1.1.0	manual curation	NT=human;VV=v1.1.0	not available
Sample 1	NT=Homo sapiens;AC=NCBITaxon:9606	amygdala	not applicable	Disease free	not applicable	adult	30Y-80Y	not available	tissue	1	CS56	CS56_1	8	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=5600+ QTOF  Sciex	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	1	2	Data031215_08.wiff	v1.1.0	manual curation	NT=human;VV=v1.1.0	not available
Sample 1	NT=Homo sapiens;AC=NCBITaxon:9606	amygdala	not applicable	Disease free	not applicable	adult	30Y-80Y	not available	tissue	1	IgM	IgM_2	12	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=5600+ QTOF  Sciex	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	1	3	Data031215_12.wiff	v1.1.0	manual curation	NT=human;VV=v1.1.0	not available
Sample 1	NT=Homo sapiens;AC=NCBITaxon:9606	amygdala	not applicable	Disease free	not applicable	adult	30Y-80Y	not available	tissue	1	CS56	CS56_2	14	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=5600+ QTOF  Sciex	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	1	4	Data031215_14.wiff	v1.1.0	manual curation	NT=human;VV=v1.1.0	not available
