source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[age]	characteristics[ancestry category]	characteristics[cell subtype]	characteristics[developmental stage]	characteristics[individual]	characteristics[origin]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[file uri]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[technical replicate]	comment[data file]	factor value[cell type]
PXD026142-Sample 1	Homo sapiens	blood	normal	B cell	not available	not available	naive B cell	not available	1	peripheral blood	not available	1	run 1	proteomic profiling by mass spectrometry	AC=MS:1001910;NT=Orbitrap Elite	AC=MS:1002038;NT=label free sample	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026142/20150930_TDQ_BC_Naive_techrep_01.raw	2.2 Da	10 ppm	1	20150930_TDQ_BC_Naive_techrep_01.raw	b cell
PXD026142-Sample 2	Homo sapiens	blood	normal	B cell	not available	not available	naive B cell	not available	1	peripheral blood	not available	1	run 2	proteomic profiling by mass spectrometry	AC=MS:1001910;NT=Orbitrap Elite	AC=MS:1002038;NT=label free sample	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026142/20150930_TDQ_BC_Naive_techrep_02.raw	2.2 Da	10 ppm	2	20150930_TDQ_BC_Naive_techrep_02.raw	b cell
PXD026142-Sample 3	Homo sapiens	blood	normal	B cell	not available	not available	naive B cell	not available	1	peripheral blood	not available	1	run 3	proteomic profiling by mass spectrometry	AC=MS:1001910;NT=Orbitrap Elite	AC=MS:1002038;NT=label free sample	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026142/20150930_TDQ_BC_Naive_techrep_03.raw	2.2 Da	10 ppm	2	20150930_TDQ_BC_Naive_techrep_03.raw	b cell
PXD026142-Sample 4	Homo sapiens	blood	normal	B cell	not available	not available	naive B cell	not available	1	peripheral blood	not available	1	run 4	proteomic profiling by mass spectrometry	AC=MS:1001910;NT=Orbitrap Elite	AC=MS:1002038;NT=label free sample	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026142/20150930_TDQ_BC_Naive_techrep_04.raw	2.2 Da	10 ppm	3	20150930_TDQ_BC_Naive_techrep_04.raw	b cell
PXD026142-Sample 5	Homo sapiens	blood	normal	B cell	not available	not available	naive B cell	not available	1	peripheral blood	not available	1	run 5	proteomic profiling by mass spectrometry	AC=MS:1001910;NT=Orbitrap Elite	AC=MS:1002038;NT=label free sample	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026142/20150930_TDQ_BC_Naive_techrep_05.raw	2.2 Da	10 ppm	4	20150930_TDQ_BC_Naive_techrep_05.raw	b cell
