source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[genotype]	characteristics[treatment]	characteristics[passage number]	characteristics[culture medium]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[genotype]
HepG2_Vec_1	Homo sapiens	liver	hepatoblastoma	epithelial cell	cell	HepG2	CVCL_0027	Hep-G2	liver	not available	15Y	male	not available	vector control	palmitate/oleate (0.5 mM/1 mM) 12 h	not available	not available	1	XA06466B1DA_Vec_1_Slot2-37_1_12715	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=timsTOF;AC=MS:1003229	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	XA06466B1DA_Vec_1_Slot2-37_1_12715.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	vector control
HepG2_Vec_2	Homo sapiens	liver	hepatoblastoma	epithelial cell	cell	HepG2	CVCL_0027	Hep-G2	liver	not available	15Y	male	not available	vector control	palmitate/oleate (0.5 mM/1 mM) 12 h	not available	not available	2	XA06466B1DA_Vec_2_Slot2-38_1_12716	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=timsTOF;AC=MS:1003229	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	XA06466B1DA_Vec_2_Slot2-38_1_12716.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	vector control
HepG2_Vec_3	Homo sapiens	liver	hepatoblastoma	epithelial cell	cell	HepG2	CVCL_0027	Hep-G2	liver	not available	15Y	male	not available	vector control	palmitate/oleate (0.5 mM/1 mM) 12 h	not available	not available	3	XA06466B1DA_Vec_3_Slot2-39_1_12717	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=timsTOF;AC=MS:1003229	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	XA06466B1DA_Vec_3_Slot2-39_1_12717.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	vector control
HepG2_TRIM46OE_1	Homo sapiens	liver	hepatoblastoma	epithelial cell	cell	HepG2	CVCL_0027	Hep-G2	liver	not available	15Y	male	not available	TRIM46 overexpression	palmitate/oleate (0.5 mM/1 mM) 12 h	not available	not available	1	XA06466B1DA_T46_1_Slot2-40_1_12719	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=timsTOF;AC=MS:1003229	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	XA06466B1DA_T46_1_Slot2-40_1_12719.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	TRIM46 overexpression
HepG2_TRIM46OE_2	Homo sapiens	liver	hepatoblastoma	epithelial cell	cell	HepG2	CVCL_0027	Hep-G2	liver	not available	15Y	male	not available	TRIM46 overexpression	palmitate/oleate (0.5 mM/1 mM) 12 h	not available	not available	2	XA06466B1DA_T46_2_Slot2-41_1_12720	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=timsTOF;AC=MS:1003229	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	XA06466B1DA_T46_2_Slot2-41_1_12720.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	TRIM46 overexpression
HepG2_TRIM46OE_3	Homo sapiens	liver	hepatoblastoma	epithelial cell	cell	HepG2	CVCL_0027	Hep-G2	liver	not available	15Y	male	not available	TRIM46 overexpression	palmitate/oleate (0.5 mM/1 mM) 12 h	not available	not available	3	XA06466B1DA_T46_3_Slot2-42_1_12721	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=timsTOF;AC=MS:1003229	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	XA06466B1DA_T46_3_Slot2-42_1_12721.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	TRIM46 overexpression
