source name	characteristics[organism]	characteristics[strain or breed]	characteristics[organism part]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
PXD022557-Sample-1	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MSMS	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MSMS.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-2	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_G1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_G1.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-3	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_G10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_G10.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-4	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_G11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_G11.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-5	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_G12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_G12.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-6	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_G13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_G13.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-7	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_G14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_G14.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-8	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_G15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_G15.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-9	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_G16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_G16.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-10	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_G17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_G17.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
