source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[strain or breed]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[material type]	characteristics[genotype]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[isolation window width]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[genotype]	factor value[analytical platform]
HA36CB1_WT_rep1	Mus musculus	blastocyst	not applicable	embryonic stem cell	129 x C57BL/6	embryonic stage	not available	not available	cell	wild type	immunoprecipitation	1	run 20211105_E2_RSLC2_Schmuecker_Berger_GMI_ID520_onbead_dig_10per_control_Untagged_rep1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	30% NCE	1 m/z	5 ppm	10 ppm	1	1	20211105_E2_RSLC2_Schmuecker_Berger_GMI_ID520_onbead_dig_10per_control_Untagged_rep1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	wild type	PepMap 50 cm, 1 m/z
HA36CB1_WT_rep2	Mus musculus	blastocyst	not applicable	embryonic stem cell	129 x C57BL/6	embryonic stage	not available	not available	cell	wild type	immunoprecipitation	2	run 20211105_E2_RSLC2_Schmuecker_Berger_GMI_ID520_onbead_dig_10per_control_Untagged_rep2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	30% NCE	1 m/z	5 ppm	10 ppm	1	1	20211105_E2_RSLC2_Schmuecker_Berger_GMI_ID520_onbead_dig_10per_control_Untagged_rep2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	wild type	PepMap 50 cm, 1 m/z
HA36CB1_WT_rep3	Mus musculus	blastocyst	not applicable	embryonic stem cell	129 x C57BL/6	embryonic stage	not available	not available	cell	wild type	immunoprecipitation	3	run 20211105_E2_RSLC2_Schmuecker_Berger_GMI_ID520_onbead_dig_10per_control_Untagged_rep3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	30% NCE	1 m/z	5 ppm	10 ppm	1	1	20211105_E2_RSLC2_Schmuecker_Berger_GMI_ID520_onbead_dig_10per_control_Untagged_rep3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	wild type	PepMap 50 cm, 1 m/z
HA36CB1_Smarca5-FLAG_rep1	Mus musculus	blastocyst	not applicable	embryonic stem cell	129 x C57BL/6	embryonic stage	not available	not available	cell	Smarca5-FLAG	immunoprecipitation	1	run 20211105_E2_RSLC2_Schmuecker_Berger_GMI_ID520_onbead_dig_10per_sample_Smarca5_Flag_rep1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	30% NCE	1 m/z	5 ppm	10 ppm	1	1	20211105_E2_RSLC2_Schmuecker_Berger_GMI_ID520_onbead_dig_10per_sample_Smarca5_Flag_rep1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Smarca5-FLAG	PepMap 50 cm, 1 m/z
HA36CB1_Smarca5-FLAG_rep2	Mus musculus	blastocyst	not applicable	embryonic stem cell	129 x C57BL/6	embryonic stage	not available	not available	cell	Smarca5-FLAG	immunoprecipitation	2	run 20211105_E2_RSLC2_Schmuecker_Berger_GMI_ID520_onbead_dig_10per_sample_Smarca5_Flag_rep2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	30% NCE	1 m/z	5 ppm	10 ppm	1	1	20211105_E2_RSLC2_Schmuecker_Berger_GMI_ID520_onbead_dig_10per_sample_Smarca5_Flag_rep2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Smarca5-FLAG	PepMap 50 cm, 1 m/z
HA36CB1_Smarca5-FLAG_rep3	Mus musculus	blastocyst	not applicable	embryonic stem cell	129 x C57BL/6	embryonic stage	not available	not available	cell	Smarca5-FLAG	immunoprecipitation	3	run 20211105_E2_RSLC2_Schmuecker_Berger_GMI_ID520_onbead_dig_10per_sample_Smarca5_Flag_rep3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	30% NCE	1 m/z	5 ppm	10 ppm	1	1	20211105_E2_RSLC2_Schmuecker_Berger_GMI_ID520_onbead_dig_10per_sample_Smarca5_Flag_rep3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Smarca5-FLAG	PepMap 50 cm, 1 m/z
HA36CB1_WT_rep1	Mus musculus	blastocyst	not applicable	embryonic stem cell	129 x C57BL/6	embryonic stage	not available	not available	cell	wild type	immunoprecipitation	1	run 20211105_E4_LC5_Schmuecker_Berger_GMI_ID520_G2_10per_untagged1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	30% NCE	1 m/z	5 ppm	10 ppm	1	1	20211105_E4_LC5_Schmuecker_Berger_GMI_ID520_G2_10per_untagged1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	wild type	µPAC 110 cm, 1 m/z
HA36CB1_WT_rep2	Mus musculus	blastocyst	not applicable	embryonic stem cell	129 x C57BL/6	embryonic stage	not available	not available	cell	wild type	immunoprecipitation	2	run 20211105_E4_LC5_Schmuecker_Berger_GMI_ID520_G2_10per_untagged2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	30% NCE	1 m/z	5 ppm	10 ppm	1	1	20211105_E4_LC5_Schmuecker_Berger_GMI_ID520_G2_10per_untagged2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	wild type	µPAC 110 cm, 1 m/z
HA36CB1_WT_rep3	Mus musculus	blastocyst	not applicable	embryonic stem cell	129 x C57BL/6	embryonic stage	not available	not available	cell	wild type	immunoprecipitation	3	run 20211105_E4_LC5_Schmuecker_Berger_GMI_ID520_G2_10per_untagged3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	30% NCE	1 m/z	5 ppm	10 ppm	1	1	20211105_E4_LC5_Schmuecker_Berger_GMI_ID520_G2_10per_untagged3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	wild type	µPAC 110 cm, 1 m/z
HA36CB1_Smarca5-FLAG_rep1	Mus musculus	blastocyst	not applicable	embryonic stem cell	129 x C57BL/6	embryonic stage	not available	not available	cell	Smarca5-FLAG	immunoprecipitation	1	run 20211105_E4_LC5_Schmuecker_Berger_GMI_ID520_G2_10per_smarca5-Flag1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	30% NCE	1 m/z	5 ppm	10 ppm	1	1	20211105_E4_LC5_Schmuecker_Berger_GMI_ID520_G2_10per_smarca5-Flag1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Smarca5-FLAG	µPAC 110 cm, 1 m/z
