source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
20140725_05_qEx_TT_T240_Julie_SIL_totprot_JK418_JK408_I_pH3	schizosaccharomyces pombe	not available	not applicable	not available	antibody enrichment	1	20140725_05_qEx_TT_T240_Julie_SIL_totprot_JK418_JK408_I_pH3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	30% NCE	beta-mercaptoethanol (bme)	chloroacetamide (claa)	1	1	20140725_05_qEx_TT_T240_Julie_SIL_totprot_JK418_JK408_I_pH3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002972/20140725_05_qEx_TT_T240_Julie_SIL_totprot_JK418_JK408_I_pH3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20131217_02_qEx_TT_T60_Julie_JK414_IP_lysc	schizosaccharomyces pombe	not available	not applicable	not available	antibody enrichment	1	20131217_02_qEx_TT_T60_Julie_JK414_IP_lysc	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	30% NCE	beta-mercaptoethanol (bme)	chloroacetamide (claa)	1	1	20131217_02_qEx_TT_T60_Julie_JK414_IP_lysc.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002972/20131217_02_qEx_TT_T60_Julie_JK414_IP_lysc.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20140416_14_qEx_TT_T90_Julie_SIL_JK418_JK408_IP_II_gluC_T1_IT1s	schizosaccharomyces pombe	not available	not applicable	not available	antibody enrichment	1	20140416_14_qEx_TT_T90_Julie_SIL_JK418_JK408_IP_II_gluC_T1_IT1s	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	30% NCE	beta-mercaptoethanol (bme)	chloroacetamide (claa)	1	1	20140416_14_qEx_TT_T90_Julie_SIL_JK418_JK408_IP_II_gluC_T1_IT1s.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002972/20140416_14_qEx_TT_T90_Julie_SIL_JK418_JK408_IP_II_gluC_T1_IT1s.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20140416_20_qEx_TT_T90_Julie_SIL_JK418_JK408_IP_III_gluC_T1_IT1s	schizosaccharomyces pombe	not available	not applicable	not available	antibody enrichment	1	20140416_20_qEx_TT_T90_Julie_SIL_JK418_JK408_IP_III_gluC_T1_IT1s	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	30% NCE	beta-mercaptoethanol (bme)	chloroacetamide (claa)	1	1	20140416_20_qEx_TT_T90_Julie_SIL_JK418_JK408_IP_III_gluC_T1_IT1s.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002972/20140416_20_qEx_TT_T90_Julie_SIL_JK418_JK408_IP_III_gluC_T1_IT1s.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20140729_05_qEx_TT_T240_Julie_SIL_totprot_JK418_JK408_III_pH6	schizosaccharomyces pombe	not available	not applicable	not available	antibody enrichment	1	20140729_05_qEx_TT_T240_Julie_SIL_totprot_JK418_JK408_III_pH6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	30% NCE	beta-mercaptoethanol (bme)	chloroacetamide (claa)	1	1	20140729_05_qEx_TT_T240_Julie_SIL_totprot_JK418_JK408_III_pH6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002972/20140729_05_qEx_TT_T240_Julie_SIL_totprot_JK418_JK408_III_pH6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20140723_10_qEx_TT_T240_Julie_SIL_totprot_JK418_JK414_III_pH3	schizosaccharomyces pombe	not available	not applicable	not available	antibody enrichment	1	20140723_10_qEx_TT_T240_Julie_SIL_totprot_JK418_JK414_III_pH3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	30% NCE	beta-mercaptoethanol (bme)	chloroacetamide (claa)	1	1	20140723_10_qEx_TT_T240_Julie_SIL_totprot_JK418_JK414_III_pH3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002972/20140723_10_qEx_TT_T240_Julie_SIL_totprot_JK418_JK414_III_pH3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20140728_02_qEx_TT_T240_Julie_SIL_totprot_JK418_JK408_II_pH3	schizosaccharomyces pombe	not available	not applicable	not available	antibody enrichment	1	20140728_02_qEx_TT_T240_Julie_SIL_totprot_JK418_JK408_II_pH3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	30% NCE	beta-mercaptoethanol (bme)	chloroacetamide (claa)	1	1	20140728_02_qEx_TT_T240_Julie_SIL_totprot_JK418_JK408_II_pH3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002972/20140728_02_qEx_TT_T240_Julie_SIL_totprot_JK418_JK408_II_pH3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20140416_17_qEx_TT_T90_Julie_SIL_JK418_JK408_IP_III_lysC_T1_IT1s	schizosaccharomyces pombe	not available	not applicable	not available	antibody enrichment	1	20140416_17_qEx_TT_T90_Julie_SIL_JK418_JK408_IP_III_lysC_T1_IT1s	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	30% NCE	beta-mercaptoethanol (bme)	chloroacetamide (claa)	1	1	20140416_17_qEx_TT_T90_Julie_SIL_JK418_JK408_IP_III_lysC_T1_IT1s.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002972/20140416_17_qEx_TT_T90_Julie_SIL_JK418_JK408_IP_III_lysC_T1_IT1s.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20140723_05_qEx_TT_T240_Julie_SIL_totprot_JK418_JK414_II_pH11	schizosaccharomyces pombe	not available	not applicable	not available	antibody enrichment	1	20140723_05_qEx_TT_T240_Julie_SIL_totprot_JK418_JK414_II_pH11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	30% NCE	beta-mercaptoethanol (bme)	chloroacetamide (claa)	1	1	20140723_05_qEx_TT_T240_Julie_SIL_totprot_JK418_JK414_II_pH11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002972/20140723_05_qEx_TT_T240_Julie_SIL_totprot_JK418_JK414_II_pH11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20150707_04_qEx_TT_T150_Julie_totprot_LF_JK424_I_trp	schizosaccharomyces pombe	not available	not applicable	not available	antibody enrichment	1	20150707_04_qEx_TT_T150_Julie_totprot_LF_JK424_I_trp	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	30% NCE	beta-mercaptoethanol (bme)	chloroacetamide (claa)	1	1	20150707_04_qEx_TT_T150_Julie_totprot_LF_JK424_I_trp.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002972/20150707_04_qEx_TT_T150_Julie_totprot_LF_JK424_I_trp.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
