source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
ORBI-RSLC007673	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC007673	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC007673.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC007673.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC005626	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC005626	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC005626.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC005626.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC007690	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC007690	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC007690.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC007690.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC005644	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC005644	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC005644.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC005644.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC005662	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC005662	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC005662.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC005662.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC007687	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC007687	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC007687.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC007687.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC005685	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC005685	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC005685.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC005685.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC005645	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC005645	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC005645.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC005645.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC007624	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC007624	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC007624.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC007624.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC007636	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC007636	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC007636.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC007636.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
