source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
PXD046496-Sample-1	Homo sapiens	blood plasma	not available	1	TTP0455_MSQ2488_MarkusLuedi_Plate1_A01_S1-A1_1_43569	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	TTP0455_MSQ2488_MarkusLuedi_Plate1_A01_S1-A1_1_43569.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD046496-Sample-2	Homo sapiens	blood plasma	not available	1	TTP0455_MSQ2488_MarkusLuedi_Plate1_A02_S1-A2_1_43570	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	TTP0455_MSQ2488_MarkusLuedi_Plate1_A02_S1-A2_1_43570.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD046496-Sample-3	Homo sapiens	blood plasma	not available	1	TTP0455_MSQ2488_MarkusLuedi_Plate1_A03_S1-A3_1_43571	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	TTP0455_MSQ2488_MarkusLuedi_Plate1_A03_S1-A3_1_43571.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD046496-Sample-4	Homo sapiens	blood plasma	not available	1	TTP0455_MSQ2488_MarkusLuedi_Plate1_A04_S1-A4_1_43572	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	TTP0455_MSQ2488_MarkusLuedi_Plate1_A04_S1-A4_1_43572.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD046496-Sample-5	Homo sapiens	blood plasma	not available	1	TTP0455_MSQ2488_MarkusLuedi_Plate1_A05_S1-A5_1_43573	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	TTP0455_MSQ2488_MarkusLuedi_Plate1_A05_S1-A5_1_43573.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD046496-Sample-6	Homo sapiens	blood plasma	not available	1	TTP0455_MSQ2488_MarkusLuedi_Plate1_A06_S1-A6_1_43574	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	TTP0455_MSQ2488_MarkusLuedi_Plate1_A06_S1-A6_1_43574.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD046496-Sample-7	Homo sapiens	blood plasma	not available	1	TTP0455_MSQ2488_MarkusLuedi_Plate1_A07_S1-A7_1_43575	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	TTP0455_MSQ2488_MarkusLuedi_Plate1_A07_S1-A7_1_43575.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD046496-Sample-8	Homo sapiens	blood plasma	not available	1	TTP0455_MSQ2488_MarkusLuedi_Plate1_A08_S1-A8_1_43576	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	TTP0455_MSQ2488_MarkusLuedi_Plate1_A08_S1-A8_1_43576.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD046496-Sample-9	Homo sapiens	blood plasma	not available	1	TTP0455_MSQ2488_MarkusLuedi_Plate1_A09_S1-A9_1_43577	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	TTP0455_MSQ2488_MarkusLuedi_Plate1_A09_S1-A9_1_43577.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD046496-Sample-10	Homo sapiens	blood plasma	not available	1	TTP0455_MSQ2488_MarkusLuedi_Plate1_A10_S1-A10_1_43578	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	TTP0455_MSQ2488_MarkusLuedi_Plate1_A10_S1-A10_1_43578.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD046496-Sample-11	Homo sapiens	blood plasma	not available	1	TTP0455_MSQ2488_MarkusLuedi_Plate1_A11_S1-A11_1_43579	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	TTP0455_MSQ2488_MarkusLuedi_Plate1_A11_S1-A11_1_43579.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD046496-Sample-12	Homo sapiens	blood plasma	not available	1	TTP0455_MSQ2488_MarkusLuedi_Plate1_A12_S1-A12_1_43580	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	TTP0455_MSQ2488_MarkusLuedi_Plate1_A12_S1-A12_1_43580.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD046496-Sample-13	Homo sapiens	blood plasma	not available	1	TTP0455_MSQ2488_MarkusLuedi_Plate1_B01_S1-B1_1_43582	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	TTP0455_MSQ2488_MarkusLuedi_Plate1_B01_S1-B1_1_43582.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD046496-Sample-14	Homo sapiens	blood plasma	not available	1	TTP0455_MSQ2488_MarkusLuedi_Plate1_B02_S1-B2_1_43583	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	TTP0455_MSQ2488_MarkusLuedi_Plate1_B02_S1-B2_1_43583.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
