source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]
RecBCD_Ecoli_Ecoli_1	Escherichia coli	NT=cell extract	not applicable	1	not applicable	Proteomic profiling of RecBCD	proteomic profiling by mass spectrometry	1	Seq57105_QE3.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive plus;AC=MS:1002634	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=higher-energy collisional dissociation	20 ppm	20 ppm	NT=Carbamidomethylation of cysteine, methionine oxidation
RecBCD_Ecoli_Ecoli_2	Escherichia coli	NT=cell extract	not applicable	1	not applicable	Proteomic profiling of RecBCD	proteomic profiling by mass spectrometry	2	Seq56792_QE3.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive plus;AC=MS:1002634	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	2	NT=higher-energy collisional dissociation	20 ppm	20 ppm	NT=Carbamidomethylation of cysteine, methionine oxidation
RecBCD_Ecoli_Ecoli_3	Escherichia coli	NT=cell extract	not applicable	1	not applicable	Proteomic profiling of RecBCD	proteomic profiling by mass spectrometry	3	Seq56791_QE3.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive plus;AC=MS:1002634	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	3	NT=higher-energy collisional dissociation	20 ppm	20 ppm	NT=Carbamidomethylation of cysteine, methionine oxidation
RecBCD_Ecoli_Ecoli_4	Escherichia coli	NT=cell extract	not applicable	1	not applicable	Proteomic profiling of RecBCD	proteomic profiling by mass spectrometry	4	Seq57102_QE3.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive plus;AC=MS:1002634	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	4	NT=higher-energy collisional dissociation	20 ppm	20 ppm	NT=Carbamidomethylation of cysteine, methionine oxidation
RecBCD_Ecoli_Ecoli_5	Escherichia coli	NT=cell extract	not applicable	1	not applicable	Proteomic profiling of RecBCD	proteomic profiling by mass spectrometry	5	Seq57106_QE3.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive plus;AC=MS:1002634	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	5	NT=higher-energy collisional dissociation	20 ppm	20 ppm	NT=Carbamidomethylation of cysteine, methionine oxidation
RecBCD_Ecoli_Ecoli_6	Escherichia coli	NT=cell extract	not applicable	1	not applicable	Proteomic profiling of RecBCD	proteomic profiling by mass spectrometry	6	Seq56795_QE3.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive plus;AC=MS:1002634	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	6	NT=higher-energy collisional dissociation	20 ppm	20 ppm	NT=Carbamidomethylation of cysteine, methionine oxidation
RecBCD_Ecoli_Ecoli_7	Escherichia coli	NT=cell extract	not applicable	1	not applicable	Proteomic profiling of RecBCD	proteomic profiling by mass spectrometry	7	Seq57100_QE3.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive plus;AC=MS:1002634	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	7	NT=higher-energy collisional dissociation	20 ppm	20 ppm	NT=Carbamidomethylation of cysteine, methionine oxidation
RecBCD_Ecoli_Ecoli_8	Escherichia coli	NT=cell extract	not applicable	1	not applicable	Proteomic profiling of RecBCD	proteomic profiling by mass spectrometry	8	Seq56794_QE3.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive plus;AC=MS:1002634	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	8	NT=higher-energy collisional dissociation	20 ppm	20 ppm	NT=Carbamidomethylation of cysteine, methionine oxidation
RecBCD_Ecoli_Ecoli_9	Escherichia coli	NT=cell extract	not applicable	1	not applicable	Proteomic profiling of RecBCD	proteomic profiling by mass spectrometry	9	Seq56796_QE3.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive plus;AC=MS:1002634	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	9	NT=higher-energy collisional dissociation	20 ppm	20 ppm	NT=Carbamidomethylation of cysteine, methionine oxidation
RecBCD_Ecoli_Ecoli_10	Escherichia coli	NT=cell extract	not applicable	1	not applicable	Proteomic profiling of RecBCD	proteomic profiling by mass spectrometry	10	Seq57104_QE3.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive plus;AC=MS:1002634	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	10	NT=higher-energy collisional dissociation	20 ppm	20 ppm	NT=Carbamidomethylation of cysteine, methionine oxidation
