source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
b0775p30_AML_LPH_MM_Part1_05_CTS_1_Ex1	Homo sapiens	B cell	not applicable	not available	phosphopeptide enrichment (IMAC)	1	b0775p30_AML_LPH_MM_Part1_05_CTS_1_Ex1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	not available	800 mmu	800 Da	35% NCE	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	iodoacetamide	1	1	b0775p30_AML_LPH_MM_Part1_05_CTS_1_Ex1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/04/PXD000217/b0775p30_AML_LPH_MM_Part1_05_CTS_1_Ex1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	B cell
b209p156s12	Homo sapiens	B cell	not applicable	not available	phosphopeptide enrichment (IMAC)	1	b209p156s12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	not available	800 mmu	800 Da	35% NCE	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	iodoacetamide	1	1	b209p156s12.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/04/PXD000217/b209p156s12.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	B cell
b209p156s15	Homo sapiens	B cell	not applicable	not available	phosphopeptide enrichment (IMAC)	1	b209p156s15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	not available	800 mmu	800 Da	35% NCE	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	iodoacetamide	1	1	b209p156s15.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/04/PXD000217/b209p156s15.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	B cell
b209p156s20	Homo sapiens	B cell	not applicable	not available	phosphopeptide enrichment (IMAC)	1	b209p156s20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	not available	800 mmu	800 Da	35% NCE	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	iodoacetamide	1	1	b209p156s20.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/04/PXD000217/b209p156s20.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	B cell
b209p156s09	Homo sapiens	B cell	not applicable	not available	phosphopeptide enrichment (IMAC)	1	b209p156s09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	not available	800 mmu	800 Da	35% NCE	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	iodoacetamide	1	1	b209p156s09.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/04/PXD000217/b209p156s09.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	B cell
b209p156s04	Homo sapiens	B cell	not applicable	not available	phosphopeptide enrichment (IMAC)	1	b209p156s04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	not available	800 mmu	800 Da	35% NCE	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	iodoacetamide	1	1	b209p156s04.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/04/PXD000217/b209p156s04.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	B cell
b0775p30_AML_LPH_MM_Part1_119_RPMI_3_Ex2	Homo sapiens	B cell	not applicable	not available	phosphopeptide enrichment (IMAC)	1	b0775p30_AML_LPH_MM_Part1_119_RPMI_3_Ex2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	not available	800 mmu	800 Da	35% NCE	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	iodoacetamide	1	1	b0775p30_AML_LPH_MM_Part1_119_RPMI_3_Ex2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/04/PXD000217/b0775p30_AML_LPH_MM_Part1_119_RPMI_3_Ex2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	B cell
b0775p30_AML_LPH_MM_Part1_35_RPMI_2_Ex1	Homo sapiens	B cell	not applicable	not available	phosphopeptide enrichment (IMAC)	1	b0775p30_AML_LPH_MM_Part1_35_RPMI_2_Ex1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	not available	800 mmu	800 Da	35% NCE	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	iodoacetamide	1	1	b0775p30_AML_LPH_MM_Part1_35_RPMI_2_Ex1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/04/PXD000217/b0775p30_AML_LPH_MM_Part1_35_RPMI_2_Ex1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	B cell
b0775p30_AML_LPH_MM_Part1_107_FUJI_3_Ex2	Homo sapiens	B cell	not applicable	not available	phosphopeptide enrichment (IMAC)	1	b0775p30_AML_LPH_MM_Part1_107_FUJI_3_Ex2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	not available	800 mmu	800 Da	35% NCE	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	iodoacetamide	1	1	b0775p30_AML_LPH_MM_Part1_107_FUJI_3_Ex2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/04/PXD000217/b0775p30_AML_LPH_MM_Part1_107_FUJI_3_Ex2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	B cell
b209p156s18	Homo sapiens	B cell	not applicable	not available	phosphopeptide enrichment (IMAC)	1	b209p156s18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	not available	800 mmu	800 Da	35% NCE	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	iodoacetamide	1	1	b209p156s18.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/04/PXD000217/b209p156s18.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	B cell
b209p156s21	Homo sapiens	B cell	not applicable	not available	phosphopeptide enrichment (IMAC)	1	b209p156s21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	not available	800 mmu	800 Da	35% NCE	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	iodoacetamide	1	1	b209p156s21.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/04/PXD000217/b209p156s21.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	B cell
