source name	characteristics[organism]	characteristics[organism part]	characteristics[tissue supergroup]	characteristics[sampling site]	characteristics[cell type]	characteristics[material type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[culture medium]	characteristics[cell line authentication]	characteristics[genotype]	characteristics[passage number]	characteristics[sample storage temperature]	characteristics[sample type]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[alkylation reagent]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[genotype]
SAS_MGAT5_WT	Homo sapiens	tongue	digestive system	tongue	epithelial cell	cell	tongue squamous cell carcinoma	SAS cell	CVCL_1675	SAS	adult	69Y	female	East Asian ancestry	Dulbecco's Modified Eagle Medium	STR profiling	wild type	not available	not available	study sample	not pooled	1	SAS_MGAT5_WT	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	beam-type collision-induced dissociation	not available	Iodoacetamide (IAA)	10 ppm	20 ppm	1	1	20230908_21739_NTUHMCLin_MGAT5_WT_F1_HCD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	wild type
SAS_MGAT5_KO4	Homo sapiens	tongue	digestive system	tongue	epithelial cell	cell	tongue squamous cell carcinoma	SAS cell	CVCL_1675	SAS	adult	69Y	female	East Asian ancestry	Dulbecco's Modified Eagle Medium	STR profiling	MGAT5 knockout	not available	not available	study sample	not pooled	1	SAS_MGAT5_KO4	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	beam-type collision-induced dissociation	not available	Iodoacetamide (IAA)	10 ppm	20 ppm	1	1	20230908_21725_NTUHMCLin_MGAT5_KO4_F1_HCD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	MGAT5 knockout
SAS_MGAT5_WT_KO_pool	Homo sapiens	tongue	digestive system	tongue	epithelial cell	cell	tongue squamous cell carcinoma	SAS cell	CVCL_1675	SAS	adult	69Y	female	East Asian ancestry	Dulbecco's Modified Eagle Medium	STR profiling	pooled WT and MGAT5 knockout	not available	not available	study sample	pooled	1	SAS_MGAT5_WT_KO_pool	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	beam-type collision-induced dissociation	not available	Iodoacetamide (IAA)	10 ppm	20 ppm	1	1	20230908_NTUHMCLin_SAS_MGAT5_WT_KO_stepHCD.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	pooled WT and MGAT5 knockout
