source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[growth condition]	characteristics[treatment]	characteristics[material type]	characteristics[sample type]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[strain or breed]	factor value[treatment]
WT_LHCB6_630nm	Physcomitrium patens	protonema	plant cell	normal	protonema whole plant development stage	Gransden WT	16h/8h photoperiod, 45 umol m-2 s-1, 24C, PpNO3 minimal medium	2 h 630 nm red LED	organism part	study sample	1	LHCB6_WT_630_semitrypsin	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	LHCB6_WT_630_semitrypsin.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	Gransden WT	2 h 630 nm red LED
WT_STN7_STN8_band	Physcomitrium patens	protonema	plant cell	normal	protonema whole plant development stage	Gransden WT	16h/8h photoperiod, 45 umol m-2 s-1, 24C, PpNO3 minimal medium	not available	organism part	study sample	1	STN7_STN8_band_WT	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	STN7_STN8_band_WT.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	Gransden WT	not available
stn7_dKO_STN7_STN8_band	Physcomitrium patens	protonema	plant cell	normal	protonema whole plant development stage	stn7 double KO	16h/8h photoperiod, 45 umol m-2 s-1, 24C, PpNO3 minimal medium	not available	organism part	study sample	1	STN7_STN8_band_stn7_dKO_n1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	STN7_STN8_band_stn7_dKO_n1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	stn7 double KO	not available
stn7_dKO_STN7_STN8_band	Physcomitrium patens	protonema	plant cell	normal	protonema whole plant development stage	stn7 double KO	16h/8h photoperiod, 45 umol m-2 s-1, 24C, PpNO3 minimal medium	not available	organism part	study sample	2	STN7_STN8_band_stn7_dKO_n2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	STN7_STN8_band_stn7_dKO_n2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	stn7 double KO	not available
WT_STN7_Dark_inclusion	Physcomitrium patens	protonema	plant cell	normal	protonema whole plant development stage	Gransden WT	16h/8h photoperiod, 45 umol m-2 s-1, 24C, PpNO3 minimal medium	overnight dark acclimation	organism part	study sample	1	STN7_band_Dark_inclusion_list	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	STN7_band_Dark_inclusion_list.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	Gransden WT	overnight dark acclimation
WT_LHCBM_monomer_2D	Physcomitrium patens	protonema	plant cell	normal	protonema whole plant development stage	Gransden WT	16h/8h photoperiod, 45 umol m-2 s-1, 24C, PpNO3 minimal medium	2 h low light (inferred from 2D map)	organism part	study sample	1	WT_LHCBM_monomer_2D	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	WT_LHCBM_monomer_2D.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	Gransden WT	2 h low light (inferred from 2D map)
WT_LHCII_monomer_CL	Physcomitrium patens	protonema	plant cell	normal	protonema whole plant development stage	Gransden WT	16h/8h photoperiod, 45 umol m-2 s-1, 24C, PpNO3 minimal medium	control light (45 umol m-2 s-1)	organism part	study sample	1	WT_LHCBM_monomer_lpBN	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	WT_LHCBM_monomer_lpBN.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	Gransden WT	control light (45 umol m-2 s-1)
WT_LHCBM_trimer_2D	Physcomitrium patens	protonema	plant cell	normal	protonema whole plant development stage	Gransden WT	16h/8h photoperiod, 45 umol m-2 s-1, 24C, PpNO3 minimal medium	2 h low light (inferred from 2D map)	organism part	study sample	1	WT_LHCBM_trimer_2D	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	WT_LHCBM_trimer_2D.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	Gransden WT	2 h low light (inferred from 2D map)
WT_PSI_Large_CL	Physcomitrium patens	protonema	plant cell	normal	protonema whole plant development stage	Gransden WT	16h/8h photoperiod, 45 umol m-2 s-1, 24C, PpNO3 minimal medium	control light (45 umol m-2 s-1)	organism part	study sample	1	WT_PSI_Large_stroma_CL_lpBN	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	WT_PSI_Large_stroma_CL_lpBN.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	Gransden WT	control light (45 umol m-2 s-1)
WT_PSI_Large_FL	Physcomitrium patens	protonema	plant cell	normal	protonema whole plant development stage	Gransden WT	16h/8h photoperiod, 45 umol m-2 s-1, 24C, PpNO3 minimal medium	7 d fluctuating light (5 min 25 / 1 min 800 umol m-2 s-1)	organism part	study sample	1	WT_PSI_Large_stroma_FL_lpBN	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	WT_PSI_Large_stroma_FL_lpBN.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	Gransden WT	7 d fluctuating light (5 min 25 / 1 min 800 umol m-2 s-1)
WT_PSI_LHCI_LHCII_LL	Physcomitrium patens	protonema	plant cell	normal	protonema whole plant development stage	Gransden WT	16h/8h photoperiod, 45 umol m-2 s-1, 24C, PpNO3 minimal medium	2 h low light (state-transition complex)	organism part	study sample	1	WT_state_complex_lpBN	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	WT_state_complex_lpBN.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	Gransden WT	2 h low light (state-transition complex)
stn7_dKO_LHCBM_monomer_2D	Physcomitrium patens	protonema	plant cell	normal	protonema whole plant development stage	stn7 double KO	16h/8h photoperiod, 45 umol m-2 s-1, 24C, PpNO3 minimal medium	2 h low light (inferred from 2D map)	organism part	study sample	1	stn7_LHCBM_monomer_2D	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	stn7_LHCBM_monomer_2D.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	stn7 double KO	2 h low light (inferred from 2D map)
stn7_dKO_LHCBM_trimer_2D	Physcomitrium patens	protonema	plant cell	normal	protonema whole plant development stage	stn7 double KO	16h/8h photoperiod, 45 umol m-2 s-1, 24C, PpNO3 minimal medium	2 h low light (inferred from 2D map)	organism part	study sample	1	stn7_LHCBM_trimer_2D	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	stn7_LHCBM_trimer_2D.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	stn7 double KO	2 h low light (inferred from 2D map)
