source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
PXD006154-Sample-1	Saccharomyces cerevisiae	not available	haploid cell	not available	1	20140818_QEx6_RSLC4_Reiter_Ammerer_MFPL_onbead_ste5_cdc15ts_10min_sample4_run1_5per	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20140818_QEx6_RSLC4_Reiter_Ammerer_MFPL_onbead_ste5_cdc15ts_10min_sample4_run1_5per.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD006154-Sample-2	Saccharomyces cerevisiae	not available	haploid cell	not available	1	20140818_QEx6_RSLC4_Reiter_Ammerer_MFPL_onbead_ste5_cdc15ts_10min_sample4_run2_5per	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20140818_QEx6_RSLC4_Reiter_Ammerer_MFPL_onbead_ste5_cdc15ts_10min_sample4_run2_5per.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD006154-Sample-3	Saccharomyces cerevisiae	not available	haploid cell	not available	1	20140818_QEx6_RSLC4_Reiter_Ammerer_MFPL_onbead_ste5_cdc15ts_70min_sample4_run1_5per	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20140818_QEx6_RSLC4_Reiter_Ammerer_MFPL_onbead_ste5_cdc15ts_70min_sample4_run1_5per.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD006154-Sample-4	Saccharomyces cerevisiae	not available	haploid cell	not available	1	20140818_QEx6_RSLC4_Reiter_Ammerer_MFPL_onbead_ste5_cdc15ts_70min_sample4_run2_5per	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20140818_QEx6_RSLC4_Reiter_Ammerer_MFPL_onbead_ste5_cdc15ts_70min_sample4_run2_5per.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD006154-Sample-5	Saccharomyces cerevisiae	not available	haploid cell	not available	1	20140819_QEx6_RSLC4_Reiter_Ammerer_MFPL_onbead_ste5_cdc15ts_10min_alpha_sample5_run1_5per	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20140819_QEx6_RSLC4_Reiter_Ammerer_MFPL_onbead_ste5_cdc15ts_10min_alpha_sample5_run1_5per.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD006154-Sample-6	Saccharomyces cerevisiae	not available	haploid cell	not available	1	20140819_QEx6_RSLC4_Reiter_Ammerer_MFPL_onbead_ste5_cdc15ts_10min_alpha_sample5_run2_5per	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20140819_QEx6_RSLC4_Reiter_Ammerer_MFPL_onbead_ste5_cdc15ts_10min_alpha_sample5_run2_5per.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD006154-Sample-7	Saccharomyces cerevisiae	not available	haploid cell	not available	1	20140819_QEx6_RSLC4_Reiter_Ammerer_MFPL_onbead_ste5_cdc15ts_10min_noAlpha_sample5_run1_5per	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20140819_QEx6_RSLC4_Reiter_Ammerer_MFPL_onbead_ste5_cdc15ts_10min_noAlpha_sample5_run1_5per.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD006154-Sample-8	Saccharomyces cerevisiae	not available	haploid cell	not available	1	20140819_QEx6_RSLC4_Reiter_Ammerer_MFPL_onbead_ste5_cdc15ts_10min_noAlpha_sample5_run2_5per	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20140819_QEx6_RSLC4_Reiter_Ammerer_MFPL_onbead_ste5_cdc15ts_10min_noAlpha_sample5_run2_5per.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD006154-Sample-9	Saccharomyces cerevisiae	not available	haploid cell	not available	1	20150427_QEx6_RSLC4_Reiter_Ammerer_MFPL_onbead_ste5_cdc15ts_10min_alpha_sample6_run1_10per	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20150427_QEx6_RSLC4_Reiter_Ammerer_MFPL_onbead_ste5_cdc15ts_10min_alpha_sample6_run1_10per.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD006154-Sample-10	Saccharomyces cerevisiae	not available	haploid cell	not available	1	20150427_QEx6_RSLC4_Reiter_Ammerer_MFPL_onbead_ste5_cdc15ts_10min_alpha_sample6_run2_10per	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20150427_QEx6_RSLC4_Reiter_Ammerer_MFPL_onbead_ste5_cdc15ts_10min_alpha_sample6_run2_10per.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
