source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
UM_A_2013_1182_a3	Homo sapiens	not available	not applicable	not available	1	UM_A_2013_1182_a3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	UM_A_2013_1182_a3.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000658/UM_A_2013_1182_a3.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
UM_A_2011_0970_a1	Homo sapiens	not available	not applicable	not available	1	UM_A_2011_0970_a1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	UM_A_2011_0970_a1.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000658/UM_A_2011_0970_a1.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
UM_A_2011_1255_a2	Homo sapiens	not available	not applicable	not available	1	UM_A_2011_1255_a2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	UM_A_2011_1255_a2.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000658/UM_A_2011_1255_a2.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
UM_A_2011_0748_a2	Homo sapiens	not available	not applicable	not available	1	UM_A_2011_0748_a2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	UM_A_2011_0748_a2.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000658/UM_A_2011_0748_a2.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
UM_A_2012_0587_a1	Homo sapiens	not available	not applicable	not available	1	UM_A_2012_0587_a1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	UM_A_2012_0587_a1.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000658/UM_A_2012_0587_a1.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
UM_A_2011_0972_a3	Homo sapiens	not available	not applicable	not available	1	UM_A_2011_0972_a3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	UM_A_2011_0972_a3.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000658/UM_A_2011_0972_a3.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
UM_A_2011_1254_a1	Homo sapiens	not available	not applicable	not available	1	UM_A_2011_1254_a1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	UM_A_2011_1254_a1.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000658/UM_A_2011_1254_a1.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
UM_A_2011_0718_a2	Homo sapiens	not available	not applicable	not available	1	UM_A_2011_0718_a2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	UM_A_2011_0718_a2.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000658/UM_A_2011_0718_a2.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
UM_A_2011_0726_a2	Homo sapiens	not available	not applicable	not available	1	UM_A_2011_0726_a2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	UM_A_2011_0726_a2.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000658/UM_A_2011_0726_a2.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
UM_A_2012_0301_a3	Homo sapiens	not available	not applicable	not available	1	UM_A_2012_0301_a3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	UM_A_2012_0301_a3.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000658/UM_A_2012_0301_a3.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
