source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[strain or breed]	characteristics[growth condition]	characteristics[treatment]	characteristics[sampling time]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fragment mass tolerance]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[ms2 scan range]	comment[reduction reagent]	comment[alkylation reagent]	comment[acquisition date]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[treatment]
Lmono_EGDe_rhamnose_noninduced_rep1	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	MWB medium with rhamnose, anaerobic, 30 C	not applicable	48 hour	not pooled	1	run 1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	24% NCE	NT=orbitrap;AC=MS:1000484	380m/z-1400m/z	200m/z-2000m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2019-07-26T13:32:09	1	1	TA52_RO_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable
Lmono_EGDe_rhamnose_noninduced_rep2	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	MWB medium with rhamnose, anaerobic, 30 C	not applicable	48 hour	not pooled	2	run 2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	24% NCE	NT=orbitrap;AC=MS:1000484	380m/z-1400m/z	200m/z-2000m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2019-07-26T15:05:28	1	1	TA53_RO_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable
Lmono_EGDe_rhamnose_noninduced_rep3	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	MWB medium with rhamnose, anaerobic, 30 C	not applicable	48 hour	not pooled	3	run 3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	24% NCE	NT=orbitrap;AC=MS:1000484	380m/z-1400m/z	200m/z-2000m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2019-07-26T16:38:20	1	1	TA54_RO_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable
Lmono_EGDe_rhamnose_noninduced_rep4	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	MWB medium with rhamnose, anaerobic, 30 C	not applicable	48 hour	not pooled	4	run 4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	24% NCE	NT=orbitrap;AC=MS:1000484	380m/z-1400m/z	200m/z-2000m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2019-07-26T18:11:20	1	1	TA55_RO_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable
Lmono_EGDe_rhamnose_pduInduced_rep1	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	MWB medium with rhamnose, anaerobic, 30 C	Cobalamin	48 hour	not pooled	1	run 5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	24% NCE	NT=orbitrap;AC=MS:1000484	380m/z-1400m/z	200m/z-2000m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2019-07-26T19:44:22	1	1	TA56_RA_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Cobalamin
Lmono_EGDe_rhamnose_pduInduced_rep2	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	MWB medium with rhamnose, anaerobic, 30 C	Cobalamin	48 hour	not pooled	2	run 6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	24% NCE	NT=orbitrap;AC=MS:1000484	380m/z-1400m/z	200m/z-2000m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2019-07-26T21:17:24	1	1	TA57_RA_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Cobalamin
Lmono_EGDe_rhamnose_pduInduced_rep3	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	MWB medium with rhamnose, anaerobic, 30 C	Cobalamin	48 hour	not pooled	3	run 7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	24% NCE	NT=orbitrap;AC=MS:1000484	380m/z-1400m/z	200m/z-2000m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2019-07-26T22:50:24	1	1	TA58_RA_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Cobalamin
Lmono_EGDe_rhamnose_pduInduced_rep4	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	MWB medium with rhamnose, anaerobic, 30 C	Cobalamin	48 hour	not pooled	4	run 8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	24% NCE	NT=orbitrap;AC=MS:1000484	380m/z-1400m/z	200m/z-2000m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2019-07-27T00:23:16	1	1	TA59_RA_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Cobalamin
