source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[disease]	characteristics[material type]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[age]	characteristics[clearing method]	characteristics[genotype]	characteristics[protein extraction method]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[fractionation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[ms1 scan range]	factor value[clearing method]	factor value[disease]	factor value[protein extraction method]
mouse brain 3D SDC (sample preparation test)	Mus musculus	brain	1	not pooled	normal	tissue	not available	not available	not available	not available	3DISCO	not available	SDC	20180807_QX2_AnBr_SA_TM_BrainKryo_3D_SDC_1	proteomic profiling by mass spectrometry	1	20180807_QX2_AnBr_SA_TM_BrainKryo_3D_SDC_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	20 ppm	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	3DISCO	normal	SDC
mouse brain 3D SDC (sample preparation test)	Mus musculus	brain	1	not pooled	normal	tissue	not available	not available	not available	not available	3DISCO	not available	SDC	20180807_QX2_AnBr_SA_TM_BrainKryo_3D_SDC_2	proteomic profiling by mass spectrometry	2	20180807_QX2_AnBr_SA_TM_BrainKryo_3D_SDC_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	20 ppm	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	3DISCO	normal	SDC
mouse brain 3D SDS-SDC (sample preparation test)	Mus musculus	brain	1	not pooled	normal	tissue	not available	not available	not available	not available	3DISCO	not available	SDS-SDC	201801008_QX2_AnBr_SA_TM_BrainKryo_3D_SDSSDC_1	proteomic profiling by mass spectrometry	1	201801008_QX2_AnBr_SA_TM_BrainKryo_3D_SDSSDC_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	20 ppm	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	3DISCO	normal	SDS-SDC
mouse brain 3D SDS-SDC (sample preparation test)	Mus musculus	brain	1	not pooled	normal	tissue	not available	not available	not available	not available	3DISCO	not available	SDS-SDC	201801008_QX2_AnBr_SA_TM_BrainKryo_3D_SDSSDC_2	proteomic profiling by mass spectrometry	2	201801008_QX2_AnBr_SA_TM_BrainKryo_3D_SDSSDC_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	20 ppm	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	3DISCO	normal	SDS-SDC
mouse brain 3D TFE-SDC (sample preparation test)	Mus musculus	brain	1	not pooled	normal	tissue	not available	not available	not available	not available	3DISCO	not available	TFE-SDC	20180809_QX2_AnBr_SA_TM_BrainKryo_3D_TFE_SDC_1_1	proteomic profiling by mass spectrometry	1	20180809_QX2_AnBr_SA_TM_BrainKryo_3D_TFE_SDC_1_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	20 ppm	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	3DISCO	normal	TFE-SDC
mouse brain 3D TFE-SDC (sample preparation test)	Mus musculus	brain	1	not pooled	normal	tissue	not available	not available	not available	not available	3DISCO	not available	TFE-SDC	20180809_QX2_AnBr_SA_TM_BrainKryo_3D_TFE_SDC_1_2	proteomic profiling by mass spectrometry	2	20180809_QX2_AnBr_SA_TM_BrainKryo_3D_TFE_SDC_1_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	20 ppm	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	3DISCO	normal	TFE-SDC
mouse brain 4D SDC (sample preparation test)	Mus musculus	brain	1	not pooled	normal	tissue	not available	not available	not available	not available	uDISCO	not available	SDC	20180807_QX2_AnBr_SA_TM_BrainKryo_4D_SDC_1	proteomic profiling by mass spectrometry	1	20180807_QX2_AnBr_SA_TM_BrainKryo_4D_SDC_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	20 ppm	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	uDISCO	normal	SDC
mouse brain 4D SDC (sample preparation test)	Mus musculus	brain	1	not pooled	normal	tissue	not available	not available	not available	not available	uDISCO	not available	SDC	20180807_QX2_AnBr_SA_TM_BrainKryo_4D_SDC_2	proteomic profiling by mass spectrometry	2	20180807_QX2_AnBr_SA_TM_BrainKryo_4D_SDC_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	20 ppm	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	uDISCO	normal	SDC
mouse brain 4D SDS-SDC (sample preparation test)	Mus musculus	brain	1	not pooled	normal	tissue	not available	not available	not available	not available	uDISCO	not available	SDS-SDC	201801008_QX2_AnBr_SA_TM_BrainKryo_4D_SDSSDC_1	proteomic profiling by mass spectrometry	1	201801008_QX2_AnBr_SA_TM_BrainKryo_4D_SDSSDC_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	20 ppm	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	uDISCO	normal	SDS-SDC
mouse brain 4D SDS-SDC (sample preparation test)	Mus musculus	brain	1	not pooled	normal	tissue	not available	not available	not available	not available	uDISCO	not available	SDS-SDC	201801008_QX2_AnBr_SA_TM_BrainKryo_4D_SDSSDC_2	proteomic profiling by mass spectrometry	2	201801008_QX2_AnBr_SA_TM_BrainKryo_4D_SDSSDC_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	20 ppm	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	uDISCO	normal	SDS-SDC
