source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[sex]	characteristics[strain or breed]	characteristics[material type]	characteristics[pooled sample]	characteristics[treatment]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	factor value[sex]	factor value[treatment]
OPC_female_normoxia_BR1	Mus musculus	postnatal subventricular zone	oligodendrocyte precursor cell	normal	neonate	female	Crl:CD-1(ICR)	cell	pooled	untreated	1	run 1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27.5 NCE	not available	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	190521_HF_EH_Neona_IP_N_f_BR1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	female	untreated
OPC_female_normoxia_BR2	Mus musculus	postnatal subventricular zone	oligodendrocyte precursor cell	normal	neonate	female	Crl:CD-1(ICR)	cell	pooled	untreated	2	run 2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27.5 NCE	not available	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	190521_HF_EH_Neona_IP_N_f_BR2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	female	untreated
OPC_female_normoxia_BR3	Mus musculus	postnatal subventricular zone	oligodendrocyte precursor cell	normal	neonate	female	Crl:CD-1(ICR)	cell	pooled	untreated	3	run 3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27.5 NCE	not available	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	190521_HF_EH_Neona_Ctrl_N_f_BR3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	female	untreated
OPC_female_hyperoxia_BR1	Mus musculus	postnatal subventricular zone	oligodendrocyte precursor cell	normal	neonate	female	Crl:CD-1(ICR)	cell	pooled	hyperoxia	1	run 4	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27.5 NCE	not available	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	190521_HF_EH_Neona_IP_H_f_BR1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	female	hyperoxia
OPC_female_hyperoxia_BR2	Mus musculus	postnatal subventricular zone	oligodendrocyte precursor cell	normal	neonate	female	Crl:CD-1(ICR)	cell	pooled	hyperoxia	2	run 5	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27.5 NCE	not available	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	190521_HF_EH_Neona_IP_H_f_BR2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	female	hyperoxia
OPC_female_hyperoxia_BR3	Mus musculus	postnatal subventricular zone	oligodendrocyte precursor cell	normal	neonate	female	Crl:CD-1(ICR)	cell	pooled	hyperoxia	3	run 6	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27.5 NCE	not available	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	190521_HF_EH_Neona_Ctrl_H_f_BR3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	female	hyperoxia
OPC_male_normoxia_BR1	Mus musculus	postnatal subventricular zone	oligodendrocyte precursor cell	normal	neonate	male	Crl:CD-1(ICR)	cell	pooled	untreated	1	run 7	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27.5 NCE	not available	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	190521_HF_EH_Neona_IP_N_m_BR1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	male	untreated
OPC_male_normoxia_BR2	Mus musculus	postnatal subventricular zone	oligodendrocyte precursor cell	normal	neonate	male	Crl:CD-1(ICR)	cell	pooled	untreated	2	run 8	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27.5 NCE	not available	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	190521_HF_EH_Neona_IP_N_m_BR2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	male	untreated
OPC_male_normoxia_BR3	Mus musculus	postnatal subventricular zone	oligodendrocyte precursor cell	normal	neonate	male	Crl:CD-1(ICR)	cell	pooled	untreated	3	run 9	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27.5 NCE	not available	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	190521_HF_EH_Neona_Ctrl_N_m_BR3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	male	untreated
OPC_male_hyperoxia_BR1	Mus musculus	postnatal subventricular zone	oligodendrocyte precursor cell	normal	neonate	male	Crl:CD-1(ICR)	cell	pooled	hyperoxia	1	run 10	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27.5 NCE	not available	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	190521_HF_EH_Neona_IP_H_m_BR1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	male	hyperoxia
OPC_male_hyperoxia_BR2	Mus musculus	postnatal subventricular zone	oligodendrocyte precursor cell	normal	neonate	male	Crl:CD-1(ICR)	cell	pooled	hyperoxia	2	run 11	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27.5 NCE	not available	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	190521_HF_EH_Neona_IP_H_m_BR2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	male	hyperoxia
