source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[genotype]	characteristics[compound]	characteristics[compound]	characteristics[compound]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[dia method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[genotype]	factor value[stimulus]	factor value[compound]
WT_1	NT=Mus musculus;AC=NCBITaxon:10090	NT=bone marrow;AC=UBERON:0002371	NT=macrophage;AC=CL:0000235	normal	not available	not available	not available	not available	wild type	not applicable	not applicable	not applicable	cell	1	2025-05-28_MM186_250ng_S01	proteomic profiling by mass spectrometry	Data-independent acquisition	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	380	980	4	1	1	2025-05-28_MM186_250ng_S01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	wild type	not applicable	not applicable
WT_2	NT=Mus musculus;AC=NCBITaxon:10090	NT=bone marrow;AC=UBERON:0002371	NT=macrophage;AC=CL:0000235	normal	not available	not available	not available	not available	wild type	not applicable	not applicable	not applicable	cell	2	2025-05-28_MM186_250ng_S02	proteomic profiling by mass spectrometry	Data-independent acquisition	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	380	980	4	1	1	2025-05-28_MM186_250ng_S02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	wild type	not applicable	not applicable
WT_3	NT=Mus musculus;AC=NCBITaxon:10090	NT=bone marrow;AC=UBERON:0002371	NT=macrophage;AC=CL:0000235	normal	not available	not available	not available	not available	wild type	not applicable	not applicable	not applicable	cell	3	2025-05-28_MM186_250ng_S03	proteomic profiling by mass spectrometry	Data-independent acquisition	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	380	980	4	1	1	2025-05-28_MM186_250ng_S03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	wild type	not applicable	not applicable
WT_4	NT=Mus musculus;AC=NCBITaxon:10090	NT=bone marrow;AC=UBERON:0002371	NT=macrophage;AC=CL:0000235	normal	not available	not available	not available	not available	wild type	not applicable	not applicable	not applicable	cell	4	2025-05-28_MM186_250ng_S04	proteomic profiling by mass spectrometry	Data-independent acquisition	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	380	980	4	1	1	2025-05-28_MM186_250ng_S04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	wild type	not applicable	not applicable
iNOS_1	NT=Mus musculus;AC=NCBITaxon:10090	NT=bone marrow;AC=UBERON:0002371	NT=macrophage;AC=CL:0000235	normal	not available	not available	not available	not available	Nos2 knockout	not applicable	not applicable	not applicable	cell	1	2025-05-28_MM186_250ng_S05	proteomic profiling by mass spectrometry	Data-independent acquisition	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	380	980	4	1	1	2025-05-28_MM186_250ng_S05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Nos2 knockout	not applicable	not applicable
iNOS_2	NT=Mus musculus;AC=NCBITaxon:10090	NT=bone marrow;AC=UBERON:0002371	NT=macrophage;AC=CL:0000235	normal	not available	not available	not available	not available	Nos2 knockout	not applicable	not applicable	not applicable	cell	2	2025-05-28_MM186_250ng_S06	proteomic profiling by mass spectrometry	Data-independent acquisition	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	380	980	4	1	1	2025-05-28_MM186_250ng_S06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Nos2 knockout	not applicable	not applicable
iNOS_3	NT=Mus musculus;AC=NCBITaxon:10090	NT=bone marrow;AC=UBERON:0002371	NT=macrophage;AC=CL:0000235	normal	not available	not available	not available	not available	Nos2 knockout	not applicable	not applicable	not applicable	cell	3	2025-05-28_MM186_250ng_S07	proteomic profiling by mass spectrometry	Data-independent acquisition	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	380	980	4	1	1	2025-05-28_MM186_250ng_S07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Nos2 knockout	not applicable	not applicable
iNOS_4	NT=Mus musculus;AC=NCBITaxon:10090	NT=bone marrow;AC=UBERON:0002371	NT=macrophage;AC=CL:0000235	normal	not available	not available	not available	not available	Nos2 knockout	not applicable	not applicable	not applicable	cell	4	2025-05-28_MM186_250ng_S08	proteomic profiling by mass spectrometry	Data-independent acquisition	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	380	980	4	1	1	2025-05-28_MM186_250ng_S08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Nos2 knockout	not applicable	not applicable
WT_stim_1	NT=Mus musculus;AC=NCBITaxon:10090	NT=bone marrow;AC=UBERON:0002371	NT=macrophage;AC=CL:0000235	normal	not available	not available	not available	not available	wild type	NT=lipopolysaccharide;AC=CHEBI:16412	interferon gamma	not applicable	cell	1	2025-05-28_MM186_250ng_S09	proteomic profiling by mass spectrometry	Data-independent acquisition	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	380	980	4	1	1	2025-05-28_MM186_250ng_S09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	wild type	LPS and interferon gamma	not applicable
WT_stim_2	NT=Mus musculus;AC=NCBITaxon:10090	NT=bone marrow;AC=UBERON:0002371	NT=macrophage;AC=CL:0000235	normal	not available	not available	not available	not available	wild type	NT=lipopolysaccharide;AC=CHEBI:16412	interferon gamma	not applicable	cell	2	2025-05-28_MM186_250ng_S10	proteomic profiling by mass spectrometry	Data-independent acquisition	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	380	980	4	1	1	2025-05-28_MM186_250ng_S10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	wild type	LPS and interferon gamma	not applicable
