source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20150410_RG_0089-150311MaRiTpQS07	mus musculus	Epithelial cell	not applicable	Fanconi syndrome	enrichment of phosphorylated protein	1	20150410_RG_0089-150311MaRiTpQS07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20150410_RG_0089-150311MaRiTpQS07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD002422/20150410_RG_0089-150311MaRiTpQS07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
20150410_RG_0089-150310MaRiTQS08	mus musculus	Epithelial cell	not applicable	Fanconi syndrome	enrichment of phosphorylated protein	1	20150410_RG_0089-150310MaRiTQS08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20150410_RG_0089-150310MaRiTQS08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD002422/20150410_RG_0089-150310MaRiTQS08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
20150410_RG_0089-150311MaRiTpQS03	mus musculus	Epithelial cell	not applicable	Fanconi syndrome	enrichment of phosphorylated protein	1	20150410_RG_0089-150311MaRiTpQS03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20150410_RG_0089-150311MaRiTpQS03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD002422/20150410_RG_0089-150311MaRiTpQS03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
20150410_RG_0089-150310MaRiTQS10	mus musculus	Epithelial cell	not applicable	Fanconi syndrome	enrichment of phosphorylated protein	1	20150410_RG_0089-150310MaRiTQS10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20150410_RG_0089-150310MaRiTQS10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD002422/20150410_RG_0089-150310MaRiTQS10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
20150410_RG_0089-150310MaRiTQS12	mus musculus	Epithelial cell	not applicable	Fanconi syndrome	enrichment of phosphorylated protein	1	20150410_RG_0089-150310MaRiTQS12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20150410_RG_0089-150310MaRiTQS12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD002422/20150410_RG_0089-150310MaRiTQS12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
20150410_RG_0089-150310MaRiTQS03	mus musculus	Epithelial cell	not applicable	Fanconi syndrome	enrichment of phosphorylated protein	1	20150410_RG_0089-150310MaRiTQS03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20150410_RG_0089-150310MaRiTQS03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD002422/20150410_RG_0089-150310MaRiTQS03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
20150410_RG_0089-150311MaRiTpQS12	mus musculus	Epithelial cell	not applicable	Fanconi syndrome	enrichment of phosphorylated protein	1	20150410_RG_0089-150311MaRiTpQS12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20150410_RG_0089-150311MaRiTpQS12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD002422/20150410_RG_0089-150311MaRiTpQS12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
20150410_RG_0089-150311MaRiTpQS09	mus musculus	Epithelial cell	not applicable	Fanconi syndrome	enrichment of phosphorylated protein	1	20150410_RG_0089-150311MaRiTpQS09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20150410_RG_0089-150311MaRiTpQS09.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD002422/20150410_RG_0089-150311MaRiTpQS09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
20150410_RG_0089-150310MaRiTQS01	mus musculus	Epithelial cell	not applicable	Fanconi syndrome	enrichment of phosphorylated protein	1	20150410_RG_0089-150310MaRiTQS01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20150410_RG_0089-150310MaRiTQS01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD002422/20150410_RG_0089-150310MaRiTQS01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
20150410_RG_0089-150311MaRiTpQS06	mus musculus	Epithelial cell	not applicable	Fanconi syndrome	enrichment of phosphorylated protein	1	20150410_RG_0089-150311MaRiTpQS06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20150410_RG_0089-150311MaRiTpQS06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD002422/20150410_RG_0089-150311MaRiTpQS06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
