source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[material type]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	factor value[carbon nitrogen ratio]	factor value[dilution rate]	factor value[experiment subset]	factor value[glucose concentration]	factor value[limiting nutrient]	factor value[nitrogen source concentration]	factor value[nitrogen source]
Reference	Saccharomyces cerevisiae	not available	pooled	pooled	cell	Fusion_180813_43-TMT126	proteomic profiling by mass spectrometry	1	Fusion_180813_43.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT126	1	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
Reference	Saccharomyces cerevisiae	not available	pooled	pooled	cell	Fusion_180813_42-TMT126	proteomic profiling by mass spectrometry	1	Fusion_180813_42.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT126	2	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
Reference	Saccharomyces cerevisiae	not available	pooled	pooled	cell	Fusion_180801_27-TMT126	proteomic profiling by mass spectrometry	1	Fusion_180801_27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT126	3	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
Reference	Saccharomyces cerevisiae	not available	pooled	pooled	cell	Fusion_180801_26-TMT126	proteomic profiling by mass spectrometry	1	Fusion_180801_26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT126	4	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
Reference	Saccharomyces cerevisiae	not available	pooled	pooled	cell	Fusion_180801_25-TMT126	proteomic profiling by mass spectrometry	1	Fusion_180801_25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT126	5	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
Reference	Saccharomyces cerevisiae	not available	pooled	pooled	cell	Fusion_180801_22-TMT126	proteomic profiling by mass spectrometry	1	Fusion_180801_22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT126	6	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
Reference	Saccharomyces cerevisiae	not available	pooled	pooled	cell	Fusion_180801_21-TMT126	proteomic profiling by mass spectrometry	1	Fusion_180801_21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT126	7	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
Reference	Saccharomyces cerevisiae	not available	pooled	pooled	cell	Fusion_180801_20-TMT126	proteomic profiling by mass spectrometry	1	Fusion_180801_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT126	8	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
Reference	Saccharomyces cerevisiae	not available	pooled	pooled	cell	Fusion_180801_19-TMT126	proteomic profiling by mass spectrometry	1	Fusion_180801_19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT126	9	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
Reference	Saccharomyces cerevisiae	not available	pooled	pooled	cell	Fusion_180801_18-TMT126	proteomic profiling by mass spectrometry	1	Fusion_180801_18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT126	10	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
Reference	Saccharomyces cerevisiae	not available	pooled	pooled	cell	Fusion_180801_17-TMT126	proteomic profiling by mass spectrometry	1	Fusion_180801_17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT126	11	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
Reference	Saccharomyces cerevisiae	not available	pooled	pooled	cell	Fusion_180801_16-TMT126	proteomic profiling by mass spectrometry	1	Fusion_180801_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT126	12	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
Reference	Saccharomyces cerevisiae	not available	pooled	pooled	cell	Fusion_180801_15-TMT126	proteomic profiling by mass spectrometry	1	Fusion_180801_15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT126	13	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
Reference	Saccharomyces cerevisiae	not available	pooled	pooled	cell	Fusion_180801_14-TMT126	proteomic profiling by mass spectrometry	1	Fusion_180801_14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT126	14	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
Reference	Saccharomyces cerevisiae	not available	pooled	pooled	cell	Fusion_180801_13-TMT126	proteomic profiling by mass spectrometry	1	Fusion_180801_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT126	15	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
