source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[time]	characteristics[treatment]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[ms2 mass analyzer]	comment[number of missed cleavages]	comment[separation]	comment[collision energy]	factor value[organism part]	factor value[substrate]
Sample 1	Streptomyces sp. PU10	extracellular	not applicable	not applicable	1	3 day	impranil	run 1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	AC=MS:1000422;NT=HCD	5 ppm	0.03 Da	1	1	B2813_Ap_IonOpt_PRC-6076_Topakas_Georgios_shotgun-1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	AC=MS:1000484; NT=Orbitrap	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	28 NCE	extracellular	impranil
Sample 2	Streptomyces sp. PU10	extracellular	not applicable	not applicable	2	3 day	impranil	run 2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	AC=MS:1000422;NT=HCD	5 ppm	0.03 Da	1	1	B2815_Ap_IonOpt_PRC-6076_Topakas_Georgios_shotgun-2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	AC=MS:1000484; NT=Orbitrap	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	28 NCE	extracellular	impranil
Sample 3	Streptomyces sp. PU10	extracellular	not applicable	not applicable	3	3 day	impranil	run 3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	AC=MS:1000422;NT=HCD	5 ppm	0.03 Da	1	1	B2817_Ap_IonOpt_PRC-6076_Topakas_Georgios_shotgun-3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	AC=MS:1000484; NT=Orbitrap	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	28 NCE	extracellular	impranil
Sample 4	Streptomyces sp. PU10	extracellular	not applicable	not applicable	4	3 day	glucose	run 4	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	AC=MS:1000422;NT=HCD	5 ppm	0.03 Da	1	1	B2819_Ap_IonOpt_PRC-6076_Topakas_Georgios_shotgun-4.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	AC=MS:1000484; NT=Orbitrap	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	28 NCE	extracellular	glucose
Sample 5	Streptomyces sp. PU10	extracellular	not applicable	not applicable	5	3 day	glucose	run 5	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	AC=MS:1000422;NT=HCD	5 ppm	0.03 Da	1	1	B2821_Ap_IonOpt_PRC-6076_Topakas_Georgios_shotgun-5.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	AC=MS:1000484; NT=Orbitrap	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	28 NCE	extracellular	glucose
Sample 6	Streptomyces sp. PU10	extracellular	not applicable	not applicable	6	3 day	glucose	run 6	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	AC=MS:1000422;NT=HCD	5 ppm	0.03 Da	1	1	B2823_Ap_IonOpt_PRC-6076_Topakas_Georgios_shotgun-6.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	AC=MS:1000484; NT=Orbitrap	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	28 NCE	extracellular	glucose
Sample 7	Streptomyces sp. PU10	intracellular	not applicable	not applicable	7	3 day	impranil	run 7	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	AC=MS:1000422;NT=HCD	5 ppm	0.03 Da	1	1	B2825_Ap_IonOpt_PRC-6076_Topakas_Georgios_shotgun-7.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	AC=MS:1000484; NT=Orbitrap	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	28 NCE	intracellular	impranil
Sample 8	Streptomyces sp. PU10	intracellular	not applicable	not applicable	8	3 day	impranil	run 8	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	AC=MS:1000422;NT=HCD	5 ppm	0.03 Da	1	1	B2827_Ap_IonOpt_PRC-6076_Topakas_Georgios_shotgun-8.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	AC=MS:1000484; NT=Orbitrap	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	28 NCE	intracellular	impranil
Sample 9	Streptomyces sp. PU10	intracellular	not applicable	not applicable	9	3 day	glucose	run 9	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	AC=MS:1000422;NT=HCD	5 ppm	0.03 Da	1	1	B2829_Ap_IonOpt_PRC-6076_Topakas_Georgios_shotgun-9.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	AC=MS:1000484; NT=Orbitrap	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	28 NCE	intracellular	glucose
Sample 10	Streptomyces sp. PU10	intracellular	not applicable	not applicable	10	3 day	glucose	run 10	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	AC=MS:1000422;NT=HCD	5 ppm	0.03 Da	1	1	B2831_Ap_IonOpt_PRC-6076_Topakas_Georgios_shotgun-10.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	AC=MS:1000484; NT=Orbitrap	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	28 NCE	intracellular	glucose
