source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[compound]	characteristics[compound]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[compound]	factor value[compound]
MEF-FN-untreated-f19-20101126	Mus musculus	not available	embryonic fibroblast	normal	embryo	not available	not available	not available	Fibronectin	not applicable	cell	1	run 20101126_AMF_FN_19	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=LTQ Velos;AC=MS:1000855	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	0.4 Da	0.5 Da	19	1	20101126_AMF_FN_19.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Fibronectin	not applicable
MEF-FN-untreated-f2-20101126	Mus musculus	not available	embryonic fibroblast	normal	embryo	not available	not available	not available	Fibronectin	not applicable	cell	1	run 20101126_AMF_FN_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=LTQ Velos;AC=MS:1000855	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	0.4 Da	0.5 Da	2	1	20101126_AMF_FN_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Fibronectin	not applicable
MEF-FN-untreated-f20-20101126	Mus musculus	not available	embryonic fibroblast	normal	embryo	not available	not available	not available	Fibronectin	not applicable	cell	1	run 20101126_AMF_FN_20	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=LTQ Velos;AC=MS:1000855	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	0.4 Da	0.5 Da	20	1	20101126_AMF_FN_20.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Fibronectin	not applicable
MEF-FN-untreated-f21-20101126	Mus musculus	not available	embryonic fibroblast	normal	embryo	not available	not available	not available	Fibronectin	not applicable	cell	1	run 20101126_AMF_FN_21	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=LTQ Velos;AC=MS:1000855	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	0.4 Da	0.5 Da	21	1	20101126_AMF_FN_21.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Fibronectin	not applicable
MEF-FN-untreated-f22-20101126	Mus musculus	not available	embryonic fibroblast	normal	embryo	not available	not available	not available	Fibronectin	not applicable	cell	1	run 20101126_AMF_FN_22	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=LTQ Velos;AC=MS:1000855	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	0.4 Da	0.5 Da	22	1	20101126_AMF_FN_22.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Fibronectin	not applicable
MEF-FN-untreated-f23-20101126	Mus musculus	not available	embryonic fibroblast	normal	embryo	not available	not available	not available	Fibronectin	not applicable	cell	1	run 20101126_AMF_FN_23	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=LTQ Velos;AC=MS:1000855	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	0.4 Da	0.5 Da	23	1	20101126_AMF_FN_23.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Fibronectin	not applicable
MEF-FN-untreated-f24-20101126	Mus musculus	not available	embryonic fibroblast	normal	embryo	not available	not available	not available	Fibronectin	not applicable	cell	1	run 20101126_AMF_FN_24	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=LTQ Velos;AC=MS:1000855	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	0.4 Da	0.5 Da	24	1	20101126_AMF_FN_24.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Fibronectin	not applicable
MEF-FN-untreated-f25-20101126	Mus musculus	not available	embryonic fibroblast	normal	embryo	not available	not available	not available	Fibronectin	not applicable	cell	1	run 20101126_AMF_FN_25	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=LTQ Velos;AC=MS:1000855	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	0.4 Da	0.5 Da	25	1	20101126_AMF_FN_25.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Fibronectin	not applicable
MEF-FN-untreated-f26-20101126	Mus musculus	not available	embryonic fibroblast	normal	embryo	not available	not available	not available	Fibronectin	not applicable	cell	1	run 20101126_AMF_FN_26	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=LTQ Velos;AC=MS:1000855	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	0.4 Da	0.5 Da	26	1	20101126_AMF_FN_26.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Fibronectin	not applicable
MEF-FN-untreated-f27-20101126	Mus musculus	not available	embryonic fibroblast	normal	embryo	not available	not available	not available	Fibronectin	not applicable	cell	1	run 20101126_AMF_FN_27	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=LTQ Velos;AC=MS:1000855	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	0.4 Da	0.5 Da	27	1	20101126_AMF_FN_27.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Fibronectin	not applicable
