source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[fraction identifier]	comment[technical replicate]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	factor value[genotype]	factor value[bait]
GFP1	Homo sapiens	blood cells	K562	not applicable	not available	not available	Meniere's disease	1	17576	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	240508_Jourdain_17576_130min_2ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	not applicable	GFP
FAM136A_wt1	Homo sapiens	blood cells	K562	not applicable	not available	not available	Meniere's disease	2	17577	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	240508_Jourdain_17577_130min_2ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Wildtype	FAM136A
FAM136A_mutant1	Homo sapiens	blood cells	K562	not applicable	not available	not available	Meniere's disease	3	17578	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	240508_Jourdain_17578_130min_2ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Mutant	FAM136A
GFP2	Homo sapiens	blood cells	K562	not applicable	not available	not available	Meniere's disease	4	17579	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	240508_Jourdain_17579_130min_2ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	not applicable	GFP
FAM136A_wt2	Homo sapiens	blood cells	K562	not applicable	not available	not available	Meniere's disease	5	17580	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	240508_Jourdain_17580_130min_2ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Wildtype	FAM136A
FAM136A_mutant2	Homo sapiens	blood cells	K562	not applicable	not available	not available	Meniere's disease	6	17581	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	240508_Jourdain_17581_130min_2ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Mutant	FAM136A
