source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
NC_2016-07-21_C1_4_O	NC_2016-07-21_C1_4_O	Homo sapiens	Skin	not applicable	not available	Human_foreskin_proteome_with_aSTI	Skin	Skin	not available	not available	not available	not available	1	NC_2016-07-21_C1_4_O	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	not applicable	not available	1	1	NC_2016-07-21_C1_4_O.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Skin
NC_2016-07-21_C1_5_I	NC_2016-07-21_C1_5_I	Homo sapiens	Skin	not applicable	not available	Human_foreskin_proteome_with_aSTI	Skin	Skin	not available	not available	not available	not available	1	NC_2016-07-21_C1_5_I	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	not applicable	not available	1	1	NC_2016-07-21_C1_5_I.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Skin
NC_2016-07-21_C1_5_O	NC_2016-07-21_C1_5_O	Homo sapiens	Skin	not applicable	not available	Human_foreskin_proteome_with_aSTI	Skin	Skin	not available	not available	not available	not available	1	NC_2016-07-21_C1_5_O	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	not applicable	not available	1	1	NC_2016-07-21_C1_5_O.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Skin
NC_2016-07-21_C1_6_I_160726165522	NC_2016-07-21_C1_6_I_160726165522	Homo sapiens	Skin	not applicable	not available	Human_foreskin_proteome_with_aSTI	Skin	Skin	not available	not available	not available	not available	1	NC_2016-07-21_C1_6_I_160726165522	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	not applicable	not available	1	1	NC_2016-07-21_C1_6_I_160726165522.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Skin
NC_2016-07-21_C1_6_O	NC_2016-07-21_C1_6_O	Homo sapiens	Skin	not applicable	not available	Human_foreskin_proteome_with_aSTI	Skin	Skin	not available	not available	not available	not available	1	NC_2016-07-21_C1_6_O	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	not applicable	not available	1	1	NC_2016-07-21_C1_6_O.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Skin
NC_2016-07-21_C1_7_I	NC_2016-07-21_C1_7_I	Homo sapiens	Skin	not applicable	not available	Human_foreskin_proteome_with_aSTI	Skin	Skin	not available	not available	not available	not available	1	NC_2016-07-21_C1_7_I	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	not applicable	not available	1	1	NC_2016-07-21_C1_7_I.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Skin
NC_2016-07-21_C1_7_O	NC_2016-07-21_C1_7_O	Homo sapiens	Skin	not applicable	not available	Human_foreskin_proteome_with_aSTI	Skin	Skin	not available	not available	not available	not available	1	NC_2016-07-21_C1_7_O	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	not applicable	not available	1	1	NC_2016-07-21_C1_7_O.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Skin
NC_2016-07-21_C1_8_I	NC_2016-07-21_C1_8_I	Homo sapiens	Skin	not applicable	not available	Human_foreskin_proteome_with_aSTI	Skin	Skin	not available	not available	not available	not available	1	NC_2016-07-21_C1_8_I	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	not applicable	not available	1	1	NC_2016-07-21_C1_8_I.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Skin
NC_2016-07-21_C1_8_O_160726195312	NC_2016-07-21_C1_8_O_160726195312	Homo sapiens	Skin	not applicable	not available	Human_foreskin_proteome_with_aSTI	Skin	Skin	not available	not available	not available	not available	1	NC_2016-07-21_C1_8_O_160726195312	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	not applicable	not available	1	1	NC_2016-07-21_C1_8_O_160726195312.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Skin
NC_2016-07-21_C2_1_I	NC_2016-07-21_C2_1_I	Homo sapiens	Skin	not applicable	not available	Human_foreskin_proteome_with_aSTI	Skin	Skin	not available	not available	not available	not available	1	NC_2016-07-21_C2_1_I	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	not applicable	not available	1	1	NC_2016-07-21_C2_1_I.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Skin
