source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[age]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[equalization]	characteristics[individual]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[fractionation method]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[file uri]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[technical replicate]	comment[data file]	factor value[organism part]
PXD026124-Sample 1	Homo sapiens	blood plasma	normal	not applicable	not available	not available	not available	Proteominer	1	not available	1	run 1	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	10	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026124/20180824_rmi049_75idPLRPS_APA_Plasma_PM_F10_a.raw	2.2 Da	10 ppm	1	20180824_rmi049_75idPLRPS_APA_Plasma_PM_F10_a.raw	blood plasma
PXD026124-Sample 2	Homo sapiens	blood plasma	normal	not applicable	not available	not available	not available	Proteominer	1	not available	1	run 2	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	10	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026124/20180824_rmi049_75idPLRPS_APA_Plasma_PM_F10_b.raw	2.2 Da	10 ppm	1	20180824_rmi049_75idPLRPS_APA_Plasma_PM_F10_b.raw	blood plasma
PXD026124-Sample 3	Homo sapiens	blood plasma	normal	not applicable	not available	not available	not available	Proteominer	1	not available	1	run 3	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	10	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026124/20180824_rmi049_75idPLRPS_APA_Plasma_PM_F10_c.raw	2.2 Da	10 ppm	1	20180824_rmi049_75idPLRPS_APA_Plasma_PM_F10_c.raw	blood plasma
PXD026124-Sample 4	Homo sapiens	blood plasma	normal	not applicable	not available	not available	not available	Proteominer	1	not available	1	run 4	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	11	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026124/20180824_rmi049_75idPLRPS_APA_Plasma_PM_F11_a.raw	2.2 Da	10 ppm	2	20180824_rmi049_75idPLRPS_APA_Plasma_PM_F11_a.raw	blood plasma
PXD026124-Sample 5	Homo sapiens	blood plasma	normal	not applicable	not available	not available	not available	Proteominer	1	not available	1	run 5	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	11	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026124/20180824_rmi049_75idPLRPS_APA_Plasma_PM_F11_b.raw	2.2 Da	10 ppm	2	20180824_rmi049_75idPLRPS_APA_Plasma_PM_F11_b.raw	blood plasma
PXD026124-Sample 6	Homo sapiens	blood plasma	normal	not applicable	not available	not available	not available	Proteominer	1	not available	1	run 6	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	11	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026124/20180824_rmi049_75idPLRPS_APA_Plasma_PM_F11_c.raw	2.2 Da	10 ppm	2	20180824_rmi049_75idPLRPS_APA_Plasma_PM_F11_c.raw	blood plasma
PXD026124-Sample 7	Homo sapiens	blood plasma	normal	not applicable	not available	not available	not available	Proteominer	1	not available	1	run 7	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	11	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026124/20180824_rmi049_75idPLRPS_APA_Plasma_PM_F11_d.raw	2.2 Da	10 ppm	2	20180824_rmi049_75idPLRPS_APA_Plasma_PM_F11_d.raw	blood plasma
PXD026124-Sample 8	Homo sapiens	blood plasma	normal	not applicable	not available	not available	not available	Proteominer	1	not available	1	run 8	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	11	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026124/20180824_rmi049_75idPLRPS_APA_Plasma_PM_F11_f.raw	2.2 Da	10 ppm	2	20180824_rmi049_75idPLRPS_APA_Plasma_PM_F11_f.raw	blood plasma
PXD026124-Sample 9	Homo sapiens	blood plasma	normal	not applicable	not available	not available	not available	Proteominer	1	not available	1	run 9	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	11	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026124/20180824_rmi049_75idPLRPS_APA_Plasma_PM_F11_g.raw	2.2 Da	10 ppm	2	20180824_rmi049_75idPLRPS_APA_Plasma_PM_F11_g.raw	blood plasma
PXD026124-Sample 10	Homo sapiens	blood plasma	normal	not applicable	not available	not available	not available	Proteominer	1	not available	1	run 10	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	12	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026124/20180824_rmi049_75idPLRPS_APA_Plasma_PM_F12_a.raw	2.2 Da	10 ppm	3	20180824_rmi049_75idPLRPS_APA_Plasma_PM_F12_a.raw	blood plasma
PXD026124-Sample 11	Homo sapiens	blood plasma	normal	not applicable	not available	not available	not available	Proteominer	1	not available	1	run 11	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	12	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026124/20180824_rmi049_75idPLRPS_APA_Plasma_PM_F12_b.raw	2.2 Da	10 ppm	3	20180824_rmi049_75idPLRPS_APA_Plasma_PM_F12_b.raw	blood plasma
PXD026124-Sample 12	Homo sapiens	blood plasma	normal	not applicable	not available	not available	not available	Proteominer	1	not available	1	run 12	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	12	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026124/20180824_rmi049_75idPLRPS_APA_Plasma_PM_F12_c.raw	2.2 Da	10 ppm	3	20180824_rmi049_75idPLRPS_APA_Plasma_PM_F12_c.raw	blood plasma
