source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20121029_JR_Tf6	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121029_JR_Tf6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121029_JR_Tf6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121029_JR_Tf6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121123_JR_FN12	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121123_JR_FN12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121123_JR_FN12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121123_JR_FN12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121123_JR_TF6	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121123_JR_TF6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121123_JR_TF6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121123_JR_TF6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121123_JR_FN6	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121123_JR_FN6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121123_JR_FN6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121123_JR_FN6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121123_JR_TF2	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121123_JR_TF2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121123_JR_TF2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121123_JR_TF2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121029_JR_FN9	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121029_JR_FN9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121029_JR_FN9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121029_JR_FN9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121029_JR_Tf2	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121029_JR_Tf2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121029_JR_Tf2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121029_JR_Tf2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121012_JR_TF9	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121012_JR_TF9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121012_JR_TF9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121012_JR_TF9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121123_JR_FN10	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121123_JR_FN10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121123_JR_FN10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121123_JR_FN10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20120510_JR_FN_3h	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20120510_JR_FN_3h	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20120510_JR_FN_3h.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20120510_JR_FN_3h.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
