source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
HCC_Ga_Fe_IMAC_20120229_05	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	5	HCC_Ga_Fe_IMAC_20120229_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	HCC_Ga_Fe_IMAC_20120229_05.wiff.mtd	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000314/HCC_Ga_Fe_IMAC_20120229_05.wiff.mtd	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	lung
WET_Lung_Tumor_Ga_20120223_03	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	3	WET_Lung_Tumor_Ga_20120223_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	WET_Lung_Tumor_Ga_20120223_03.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000314/WET_Lung_Tumor_Ga_20120223_03.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	lung
HCC_Fe_IMAC_20120229_03	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	3	HCC_Fe_IMAC_20120229_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	HCC_Fe_IMAC_20120229_03.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000314/HCC_Fe_IMAC_20120229_03.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	lung
HCC_Fe_IMAC_20120229_07	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	7	HCC_Fe_IMAC_20120229_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	HCC_Fe_IMAC_20120229_07.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000314/HCC_Fe_IMAC_20120229_07.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	lung
HCC_Fe_IMAC_20120229_05	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	5	HCC_Fe_IMAC_20120229_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	HCC_Fe_IMAC_20120229_05.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000314/HCC_Fe_IMAC_20120229_05.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	lung
HCC_Ga_Fe_IMAC_20120229_07	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	7	HCC_Ga_Fe_IMAC_20120229_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	HCC_Ga_Fe_IMAC_20120229_07.wiff.mtd	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000314/HCC_Ga_Fe_IMAC_20120229_07.wiff.mtd	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	lung
HCC_Ga_IMAC_20120229_01	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	1	HCC_Ga_IMAC_20120229_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	HCC_Ga_IMAC_20120229_01.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000314/HCC_Ga_IMAC_20120229_01.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	lung
HCC_Fe_IMAC_20120229_01	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	1	HCC_Fe_IMAC_20120229_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	HCC_Fe_IMAC_20120229_01.wiff.mtd	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000314/HCC_Fe_IMAC_20120229_01.wiff.mtd	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	lung
HCC_Fe_IMAC_20120229_06	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	6	HCC_Fe_IMAC_20120229_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	HCC_Fe_IMAC_20120229_06.wiff.mtd	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000314/HCC_Fe_IMAC_20120229_06.wiff.mtd	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	lung
WET_Lung_Tumor_Ga_20120223_02	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	2	WET_Lung_Tumor_Ga_20120223_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	WET_Lung_Tumor_Ga_20120223_02.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000314/WET_Lung_Tumor_Ga_20120223_02.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	lung
WET_Lung_Tumor_Fe_20120223_03	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	3	WET_Lung_Tumor_Fe_20120223_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	WET_Lung_Tumor_Fe_20120223_03.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000314/WET_Lung_Tumor_Fe_20120223_03.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	lung
HCC_Ga_Fe_IMAC_20120229_03	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	3	HCC_Ga_Fe_IMAC_20120229_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	HCC_Ga_Fe_IMAC_20120229_03.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000314/HCC_Ga_Fe_IMAC_20120229_03.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	lung
HCC_Ga_IMAC_20120229_03	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	3	HCC_Ga_IMAC_20120229_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	HCC_Ga_IMAC_20120229_03.wiff.mtd	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000314/HCC_Ga_IMAC_20120229_03.wiff.mtd	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	lung
HCC_Ga_Fe_IMAC_20120229_01	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	1	HCC_Ga_Fe_IMAC_20120229_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	HCC_Ga_Fe_IMAC_20120229_01.wiff.mtd	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000314/HCC_Ga_Fe_IMAC_20120229_01.wiff.mtd	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	lung
HCC_Ga_IMAC_20120229_02	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	2	HCC_Ga_IMAC_20120229_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	HCC_Ga_IMAC_20120229_02.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000314/HCC_Ga_IMAC_20120229_02.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	lung
HCC_Ga_Fe_IMAC_20120229_02	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	2	HCC_Ga_Fe_IMAC_20120229_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	HCC_Ga_Fe_IMAC_20120229_02.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000314/HCC_Ga_Fe_IMAC_20120229_02.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	lung
HCC_Fe_IMAC_20120229_02	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	2	HCC_Fe_IMAC_20120229_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	HCC_Fe_IMAC_20120229_02.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000314/HCC_Fe_IMAC_20120229_02.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	lung
