source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[host organism]	characteristics[host body site]	characteristics[host disease status]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
FL0008791	FL0008791	Mus musculus	feces	not applicable	Autoimmune disease of central nervous system	Stool_proteome_of_EAE_mice_prior_to_physical_symtoms_but_after_immunization	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	Autoimmune disease of central nervous system	1	FL0008791	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	not applicable	not available	1	1	FL0008791.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
FL0008795	FL0008795	Mus musculus	feces	not applicable	Autoimmune disease of central nervous system	Stool_proteome_of_EAE_mice_prior_to_physical_symtoms_but_after_immunization	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	Autoimmune disease of central nervous system	1	FL0008795	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	not applicable	not available	1	1	FL0008795.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
FL0008799	FL0008799	Mus musculus	feces	not applicable	Autoimmune disease of central nervous system	Stool_proteome_of_EAE_mice_prior_to_physical_symtoms_but_after_immunization	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	Autoimmune disease of central nervous system	1	FL0008799	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	not applicable	not available	1	1	FL0008799.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
FL0008805	FL0008805	Mus musculus	feces	not applicable	Autoimmune disease of central nervous system	Stool_proteome_of_EAE_mice_prior_to_physical_symtoms_but_after_immunization	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	Autoimmune disease of central nervous system	1	FL0008805	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	not applicable	not available	1	1	FL0008805.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
FL0008813	FL0008813	Mus musculus	feces	not applicable	Autoimmune disease of central nervous system	Stool_proteome_of_EAE_mice_prior_to_physical_symtoms_but_after_immunization	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	Autoimmune disease of central nervous system	1	FL0008813	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	not applicable	not available	1	1	FL0008813.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
FL0008817	FL0008817	Mus musculus	feces	not applicable	Autoimmune disease of central nervous system	Stool_proteome_of_EAE_mice_prior_to_physical_symtoms_but_after_immunization	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	Autoimmune disease of central nervous system	1	FL0008817	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	not applicable	not available	1	1	FL0008817.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
FL0008821	FL0008821	Mus musculus	feces	not applicable	Autoimmune disease of central nervous system	Stool_proteome_of_EAE_mice_prior_to_physical_symtoms_but_after_immunization	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	Autoimmune disease of central nervous system	1	FL0008821	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	not applicable	not available	1	1	FL0008821.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
FL0008825	FL0008825	Mus musculus	feces	not applicable	Autoimmune disease of central nervous system	Stool_proteome_of_EAE_mice_prior_to_physical_symtoms_but_after_immunization	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	Autoimmune disease of central nervous system	1	FL0008825	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	not applicable	not available	1	1	FL0008825.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
FL0019959	FL0019959	Mus musculus	feces	not applicable	Autoimmune disease of central nervous system	Stool_proteome_of_EAE_mice_prior_to_physical_symtoms_but_after_immunization	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	Autoimmune disease of central nervous system	1	FL0019959	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	not applicable	not available	1	1	FL0019959.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
FL0019963_reshoot	FL0019963_reshoot	Mus musculus	feces	not applicable	Autoimmune disease of central nervous system	Stool_proteome_of_EAE_mice_prior_to_physical_symtoms_but_after_immunization	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	Autoimmune disease of central nervous system	1	FL0019963_reshoot	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	not applicable	not available	1	1	FL0019963_reshoot.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
