source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[cancer cell line]	characteristics[cell type]	characteristics[ancestry category]	characteristics[sex]	characteristics[biological replicate]	characteristics[individual]	assay name	technology type	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]
N6AMT1-WT-rep1	homo sapiens	not applicable	not applicable	not applicable	293T	not applicable	not applicable	not applicable	1	not applicable	17260	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	6735_Jourdain_DIA_17260_15SPD.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0
N6AMT1-WT-rep2	homo sapiens	not applicable	not applicable	not applicable	293T	not applicable	not applicable	not applicable	2	not applicable	17261	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	6736_Jourdain_DIA_17261_15SPD.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0
N6AMT1-D77A-rep1	homo sapiens	not applicable	not applicable	not applicable	293T	not applicable	not applicable	not applicable	3	not applicable	17262	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	6737_Jourdain_DIA_17262_15SPD.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0
N6AMT1-D77A-rep2	homo sapiens	not applicable	not applicable	not applicable	293T	not applicable	not applicable	not applicable	4	not applicable	17263	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	6738_Jourdain_DIA_17263_15SPD.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0
eRF1-WT-rep1	homo sapiens	not applicable	not applicable	not applicable	293T	not applicable	not applicable	not applicable	5	not applicable	17264	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	6739_Jourdain_DIA_17264_15SPD.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0
eRF1-WT-rep2	homo sapiens	not applicable	not applicable	not applicable	293T	not applicable	not applicable	not applicable	6	not applicable	17265	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	6740_Jourdain_DIA_17265_15SPD.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0
eRF1-Q185N-rep1	homo sapiens	not applicable	not applicable	not applicable	293T	not applicable	not applicable	not applicable	7	not applicable	17266	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	6741_Jourdain_DIA_17266_15SPD.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0
eRF1-Q185N-rep2	homo sapiens	not applicable	not applicable	not applicable	293T	not applicable	not applicable	not applicable	8	not applicable	17267	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	6742_Jourdain_DIA_17267_15SPD.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0
GFP-3xFLAG-rep1	homo sapiens	not applicable	not applicable	not applicable	293T	not applicable	not applicable	not applicable	9	not applicable	17268	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	6732_Jourdain_DIA_17268_15SPD.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0
GFP-3xFLAG-rep2	homo sapiens	not applicable	not applicable	not applicable	293T	not applicable	not applicable	not applicable	10	not applicable	17269	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	6733_Jourdain_DIA_17269_15SPD.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0
