source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[biological replicate]	characteristics[compound]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[acquisition method]	comment[ms2 analyzer type]
sample 1	Mus musculus	not applicable	not applicable	not applicable	not available	1	NIST mAb	run_1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample	NT=Trypsin/P;CS='(?<=[KR])';AC=MS:1001313	not available	1	1	EC3678BCO.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=data-independent acquisition;AC=MS:1003215	N=Orbitrap
sample 1	Mus musculus	not applicable	not applicable	not applicable	not available	1	NIST mAb	run_2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample	NT=Trypsin/P;CS='(?<=[KR])';AC=MS:1001313	not available	1	2	EC3680BCO.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=data-independent acquisition;AC=MS:1003215	N=Orbitrap
sample 1	Mus musculus	not applicable	not applicable	not applicable	not available	1	NIST mAb	run_3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample	NT=Trypsin/P;CS='(?<=[KR])';AC=MS:1001313	not available	1	3	EC3682BCO.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=data-independent acquisition;AC=MS:1003215	N=Orbitrap
sample 1	Mus musculus	not applicable	not applicable	not applicable	not available	1	NIST mAb	run_4	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample	NT=Trypsin/P;CS='(?<=[KR])';AC=MS:1001313	NT=gas-phase fractionation	1	4	EC3836BCO.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=data-independent acquisition;AC=MS:1003215	N=Orbitrap
sample 1	Mus musculus	not applicable	not applicable	not applicable	not available	1	NIST mAb	run_5	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample	NT=Trypsin/P;CS='(?<=[KR])';AC=MS:1001313	NT=gas-phase fractionation	2	1	EC3839BCO.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=data-independent acquisition;AC=MS:1003215	N=Orbitrap
sample 1	Mus musculus	not applicable	not applicable	not applicable	not available	1	NIST mAb	run_6	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample	NT=Trypsin/P;CS='(?<=[KR])';AC=MS:1001313	NT=gas-phase fractionation	3	1	EC3842BCO.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=data-independent acquisition;AC=MS:1003215	N=Orbitrap
sample 1	Mus musculus	not applicable	not applicable	not applicable	not available	1	NIST mAb	run_7	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample	NT=Trypsin/P;CS='(?<=[KR])';AC=MS:1001313	NT=gas-phase fractionation	4	1	EC3845BCO.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=data-independent acquisition;AC=MS:1003215	N=Orbitrap
sample 1	Mus musculus	not applicable	not applicable	not applicable	not available	1	NIST mAb	run_8	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample	NT=Trypsin/P;CS='(?<=[KR])';AC=MS:1001313	NT=gas-phase fractionation	5	1	EC3848BCO.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=data-independent acquisition;AC=MS:1003215	N=Orbitrap
sample 1	Mus musculus	not applicable	not applicable	not applicable	not available	1	NIST mAb	run_9	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample	NT=Trypsin/P;CS='(?<=[KR])';AC=MS:1001313	NT=gas-phase fractionation	6	1	EC3851BCO.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=data-independent acquisition;AC=MS:1003215	N=Orbitrap
sample 2	Cricetulus griseus	not applicable	not applicable	not applicable	not available	1	Nivolumab	run_10	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample	NT=Trypsin/P;CS='(?<=[KR])';AC=MS:1001313	not available	1	2	EC4147BCO.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=data-independent acquisition;AC=MS:1003215	N=Orbitrap
