source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[biological replicate]	characteristics[age]	characteristics[sex]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[organism part]
130222_293_benzonase	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130222_293_benzonase	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130222_293_benzonase.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130222_293_benzonase.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
130311_D24	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130311_D24	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130311_D24.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130311_D24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
130311_D11	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130311_D11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130311_D11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130311_D11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
130709_DDX6	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130709_DDX6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130709_DDX6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130709_DDX6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
130311_D17	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130311_D17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130311_D17.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130311_D17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
130311_D5	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130311_D5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130311_D5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130311_D5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
130709_293_benzonase	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130709_293_benzonase	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130709_293_benzonase.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130709_293_benzonase.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
130122_DDX6_benzonase	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130122_DDX6_benzonase	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130122_DDX6_benzonase.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130122_DDX6_benzonase.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
130311_D12	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130311_D12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130311_D12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130311_D12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
130311_D8	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130311_D8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130311_D8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130311_D8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
