source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sample type]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[sample type]
PXD083435-sample-1	Mus musculus	not available	fat cell	1	negative control	obesity	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	1	HA_Control.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable;PP=Anywhere	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein N-term	15 ppm	0.02 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	negative control
PXD083435-sample-2	Mus musculus	not available	fat cell	1	study sample	obesity	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	1	HA_SCGB3A1.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable;PP=Anywhere	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein N-term	15 ppm	0.02 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	study sample
