source name	characteristics[organism]	characteristics[organism part]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[fraction identifier]	comment[technical replicate]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[treatment]
LB524 1	Homo sapiens	not applicable	not applicable	not applicable	not applicable	plasmacytoid dendritic cell line	not available	1	16695	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001313;NT=Trypsin/P	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	231123_Bernaleau_16695_130min_8ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	empty vector negative control
LB524 2	Homo sapiens	not applicable	not applicable	not applicable	not applicable	plasmacytoid dendritic cell line	not available	2	16696	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001313;NT=Trypsin/P	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	231123_Bernaleau_16696_130min_8ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	CCDC134 samples
LB524 3	Homo sapiens	not applicable	not applicable	not applicable	not applicable	plasmacytoid dendritic cell line	not available	3	16697	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001313;NT=Trypsin/P	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	231123_Bernaleau_16697_130min_8ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	empty vector negative control
LB524 4	Homo sapiens	not applicable	not applicable	not applicable	not applicable	plasmacytoid dendritic cell line	not available	4	16698	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001313;NT=Trypsin/P	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	231123_Bernaleau_16698_130min_8ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	CCDC134 samples
LB524 5	Homo sapiens	not applicable	not applicable	not applicable	not applicable	plasmacytoid dendritic cell line	not available	5	16825	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001313;NT=Trypsin/P	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	231211_Bernaleau_16825_130min_2ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	empty vector negative control
LB524 6	Homo sapiens	not applicable	not applicable	not applicable	not applicable	plasmacytoid dendritic cell line	not available	6	16826	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001313;NT=Trypsin/P	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	231211_Bernaleau_16826_130min_2ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	CCDC134 samples
LB524 7	Homo sapiens	not applicable	not applicable	not applicable	not applicable	plasmacytoid dendritic cell line	not available	7	16827	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001313;NT=Trypsin/P	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	231211_Bernaleau_16827_130min_2ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	empty vector negative control
LB524 8	Homo sapiens	not applicable	not applicable	not applicable	not applicable	plasmacytoid dendritic cell line	not available	8	16828	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001313;NT=Trypsin/P	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	231211_Bernaleau_16828_130min_2ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	CCDC134 samples
