source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[growth condition]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[growth condition]
spyogenes_5448_RPMI	Streptococcus pyogenes	not applicable	not applicable	normal	not available	not available	not available	5448	RPMI medium	cell	5	run_11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	51246_SEP_MBPF_MS_QEPlus1_P16_0062_Exp17.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RPMI medium
spyogenes_5448_RPMI	Streptococcus pyogenes	not applicable	not applicable	normal	not available	not available	not available	5448	RPMI medium	cell	6	run_12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	51247_SEP_MBPF_MS_QEPlus1_P16_0062_Exp17.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RPMI medium
spyogenes_HKU419_Pooled_sera	Streptococcus pyogenes	not applicable	not applicable	normal	not available	not available	not available	HKU419	pooled human serum	cell	1	run_13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	51272_SEP_MBPF_MS_QEPlus1_P16_0062_Exp17.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	pooled human serum
spyogenes_HKU419_Pooled_sera	Streptococcus pyogenes	not applicable	not applicable	normal	not available	not available	not available	HKU419	pooled human serum	cell	2	run_14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	51273_SEP_MBPF_MS_QEPlus1_P16_0062_Exp17.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	pooled human serum
spyogenes_HKU419_Pooled_sera	Streptococcus pyogenes	not applicable	not applicable	normal	not available	not available	not available	HKU419	pooled human serum	cell	3	run_15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	51274_SEP_MBPF_MS_QEPlus1_P16_0062_Exp17.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	pooled human serum
spyogenes_HKU419_Pooled_sera	Streptococcus pyogenes	not applicable	not applicable	normal	not available	not available	not available	HKU419	pooled human serum	cell	4	run_16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	51275_SEP_MBPF_MS_QEPlus1_P16_0062_Exp17.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	pooled human serum
spyogenes_HKU419_Pooled_sera	Streptococcus pyogenes	not applicable	not applicable	normal	not available	not available	not available	HKU419	pooled human serum	cell	5	run_17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	51276_SEP_MBPF_MS_QEPlus1_P16_0062_Exp17.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	pooled human serum
spyogenes_HKU419_Pooled_sera	Streptococcus pyogenes	not applicable	not applicable	normal	not available	not available	not available	HKU419	pooled human serum	cell	6	run_18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	51277_SEP_MBPF_MS_QEPlus1_P16_0062_Exp17.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	pooled human serum
spyogenes_HKU419_RPMI	Streptococcus pyogenes	not applicable	not applicable	normal	not available	not available	not available	HKU419	RPMI medium	cell	1	run_19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	51266_SEP_MBPF_MS_QEPlus1_P16_0062_Exp17.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RPMI medium
spyogenes_HKU419_RPMI	Streptococcus pyogenes	not applicable	not applicable	normal	not available	not available	not available	HKU419	RPMI medium	cell	2	run_20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	51267_SEP_MBPF_MS_QEPlus1_P16_0062_Exp17.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RPMI medium
