source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[material type]	characteristics[treatment]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[treatment]
PANC1_PMSF_1.2_VO4_40_bio1	Homo sapiens	pancreas	epithelial cell	pancreatic ductal adenocarcinoma	PANC-1	CVCL_0480	PANC-1	adult	56Y	male	not available	cell	1.2 mM PMSF + 40 mM sodium orthovanadate	1	assay_PANC1_PMSF_1.2_VO4_40_bio1	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	JSN1633_timsTofPro2_PASEF_1_1_2_40_Slot2-2_1_8932.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	1.2 mM PMSF + 40 mM sodium orthovanadate
PANC1_PMSF_4_VO4_60_bio1	Homo sapiens	pancreas	epithelial cell	pancreatic ductal adenocarcinoma	PANC-1	CVCL_0480	PANC-1	adult	56Y	male	not available	cell	4 mM PMSF + 60 mM sodium orthovanadate	1	assay_PANC1_PMSF_4_VO4_60_bio1	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	JSN1633_timsTofPro2_PASEF_1_4_60_Slot2-3_1_8933.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	4 mM PMSF + 60 mM sodium orthovanadate
PANC1_pervanadate_bio1	Homo sapiens	pancreas	epithelial cell	pancreatic ductal adenocarcinoma	PANC-1	CVCL_0480	PANC-1	adult	56Y	male	not available	cell	5 mM pervanadate	1	assay_PANC1_pervanadate_bio1	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	JSN1633_timsTofPro2_PASEF_1_5per_Slot2-4_1_8934.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	5 mM pervanadate
PANC1_NoOX_bio1	Homo sapiens	pancreas	epithelial cell	pancreatic ductal adenocarcinoma	PANC-1	CVCL_0480	PANC-1	adult	56Y	male	not available	cell	no oxidant	1	assay_PANC1_NoOX_bio1	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	JSN1633_timsTofPro2_PASEF_1_No_OX_Slot2-1_1_8931.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	no oxidant
PANC1_PMSF_1.2_VO4_40_bio2	Homo sapiens	pancreas	epithelial cell	pancreatic ductal adenocarcinoma	PANC-1	CVCL_0480	PANC-1	adult	56Y	male	not available	cell	1.2 mM PMSF + 40 mM sodium orthovanadate	2	assay_PANC1_PMSF_1.2_VO4_40_bio2	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	JSN1633_timsTofPro2_PASEF_2_1_2_40_Slot2-6_1_8937.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	1.2 mM PMSF + 40 mM sodium orthovanadate
PANC1_PMSF_4_VO4_60_bio2	Homo sapiens	pancreas	epithelial cell	pancreatic ductal adenocarcinoma	PANC-1	CVCL_0480	PANC-1	adult	56Y	male	not available	cell	4 mM PMSF + 60 mM sodium orthovanadate	2	assay_PANC1_PMSF_4_VO4_60_bio2	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	JSN1633_timsTofPro2_PASEF_2_4_60_Slot2-7_1_8938.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	4 mM PMSF + 60 mM sodium orthovanadate
PANC1_pervanadate_bio2	Homo sapiens	pancreas	epithelial cell	pancreatic ductal adenocarcinoma	PANC-1	CVCL_0480	PANC-1	adult	56Y	male	not available	cell	5 mM pervanadate	2	assay_PANC1_pervanadate_bio2	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	JSN1633_timsTofPro2_PASEF_2_5per_Slot2-8_1_8939.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	5 mM pervanadate
PANC1_NoOX_bio2	Homo sapiens	pancreas	epithelial cell	pancreatic ductal adenocarcinoma	PANC-1	CVCL_0480	PANC-1	adult	56Y	male	not available	cell	no oxidant	2	assay_PANC1_NoOX_bio2	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	JSN1633_timsTofPro2_PASEF_2_No_OX_Slot2-5_1_8936.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	no oxidant
PANC1_PMSF_1.2_VO4_40_bio3	Homo sapiens	pancreas	epithelial cell	pancreatic ductal adenocarcinoma	PANC-1	CVCL_0480	PANC-1	adult	56Y	male	not available	cell	1.2 mM PMSF + 40 mM sodium orthovanadate	3	assay_PANC1_PMSF_1.2_VO4_40_bio3	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	JSN1633_timsTofPro2_PASEF_3_1_2_40_repeat_Slot2-10_1_8952.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	1.2 mM PMSF + 40 mM sodium orthovanadate
PANC1_PMSF_4_VO4_60_bio3	Homo sapiens	pancreas	epithelial cell	pancreatic ductal adenocarcinoma	PANC-1	CVCL_0480	PANC-1	adult	56Y	male	not available	cell	4 mM PMSF + 60 mM sodium orthovanadate	3	assay_PANC1_PMSF_4_VO4_60_bio3	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	JSN1633_timsTofPro2_PASEF_3_4_60_repeat_Slot2-11_1_8953.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	4 mM PMSF + 60 mM sodium orthovanadate
