source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
BGP02_T17_Ext1_Bande04	BGP02_T17_Ext1_Bande04	metagenome	not available	not applicable	not available	Biogas_Plant_Survey_Magdeburg_2014-2016	not available	not available	not available	not available	not available	not available	1	BGP02_T17_Ext1_Bande04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	BGP02_T17_Ext1_Bande04.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
BGP02_T17_Ext1_Bande04_F035277.dat	BGP02_T17_Ext1_Bande04_F035277.dat	metagenome	not available	not applicable	not available	Biogas_Plant_Survey_Magdeburg_2014-2016	not available	not available	not available	not available	not available	not available	1	BGP02_T17_Ext1_Bande04_F035277.dat	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	BGP02_T17_Ext1_Bande04_F035277.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
BGP02_T17_Ext1_Bande10	BGP02_T17_Ext1_Bande10	metagenome	not available	not applicable	not available	Biogas_Plant_Survey_Magdeburg_2014-2016	not available	not available	not available	not available	not available	not available	1	BGP02_T17_Ext1_Bande10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	BGP02_T17_Ext1_Bande10.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
BGP02_T17_Ext2_Bande04_F035258.dat	BGP02_T17_Ext2_Bande04_F035258.dat	metagenome	not available	not applicable	not available	Biogas_Plant_Survey_Magdeburg_2014-2016	not available	not available	not available	not available	not available	not available	1	BGP02_T17_Ext2_Bande04_F035258.dat	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	BGP02_T17_Ext2_Bande04_F035258.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
BGP02_T17_Ext2_Bande07	BGP02_T17_Ext2_Bande07	metagenome	not available	not applicable	not available	Biogas_Plant_Survey_Magdeburg_2014-2016	not available	not available	not available	not available	not available	not available	1	BGP02_T17_Ext2_Bande07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	BGP02_T17_Ext2_Bande07.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
BGP02_T21_Ext1_Bande04	BGP02_T21_Ext1_Bande04	metagenome	not available	not applicable	not available	Biogas_Plant_Survey_Magdeburg_2014-2016	not available	not available	not available	not available	not available	not available	1	BGP02_T21_Ext1_Bande04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	BGP02_T21_Ext1_Bande04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
BGP02_T21_Ext1_Bande06	BGP02_T21_Ext1_Bande06	metagenome	not available	not applicable	not available	Biogas_Plant_Survey_Magdeburg_2014-2016	not available	not available	not available	not available	not available	not available	1	BGP02_T21_Ext1_Bande06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	BGP02_T21_Ext1_Bande06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
BGP02_T21_Ext1_Bande08	BGP02_T21_Ext1_Bande08	metagenome	not available	not applicable	not available	Biogas_Plant_Survey_Magdeburg_2014-2016	not available	not available	not available	not available	not available	not available	1	BGP02_T21_Ext1_Bande08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	BGP02_T21_Ext1_Bande08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
BGP02_T21_Ext2_Bande01	BGP02_T21_Ext2_Bande01	metagenome	not available	not applicable	not available	Biogas_Plant_Survey_Magdeburg_2014-2016	not available	not available	not available	not available	not available	not available	1	BGP02_T21_Ext2_Bande01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	BGP02_T21_Ext2_Bande01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
BGP02_T21_Ext2_Bande10	BGP02_T21_Ext2_Bande10	metagenome	not available	not applicable	not available	Biogas_Plant_Survey_Magdeburg_2014-2016	not available	not available	not available	not available	not available	not available	1	BGP02_T21_Ext2_Bande10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	BGP02_T21_Ext2_Bande10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
