source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[sdrf template]
Delta_tusA_1	Escherichia coli	NT=cell extract	not available	1	not available	Proteomic Assay	proteomic profiling by mass spectrometry	1	Delta_tusA_1.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
Delta_tusA_with_dipyr_2	Escherichia coli	NT=cell extract	not available	2	not available	Proteomic Assay	proteomic profiling by mass spectrometry	1	Delta_tusA_with_dipyr_2.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
WT_3	Escherichia coli	NT=cell extract	not available	3	not available	Proteomic Assay	proteomic profiling by mass spectrometry	1	WT_3.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
WT_1	Escherichia coli	NT=cell extract	not available	1	not available	Proteomic Assay	proteomic profiling by mass spectrometry	1	WT_1.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
Delta_mnmA_2	Escherichia coli	NT=cell extract	not available	2	not available	Proteomic Assay	proteomic profiling by mass spectrometry	1	Delta_mnmA_2.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
Delta_mnmA_1	Escherichia coli	NT=cell extract	not available	1	not available	Proteomic Assay	proteomic profiling by mass spectrometry	1	Delta_mnmA_1.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
Delta_tusA_3	Escherichia coli	NT=cell extract	not available	3	not available	Proteomic Assay	proteomic profiling by mass spectrometry	1	Delta_tusA_3.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
Delta_mnmA_3	Escherichia coli	NT=cell extract	not available	3	not available	Proteomic Assay	proteomic profiling by mass spectrometry	1	Delta_mnmA_3.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
Delta_tusA_2	Escherichia coli	NT=cell extract	not available	2	not available	Proteomic Assay	proteomic profiling by mass spectrometry	1	Delta_tusA_2.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
Delta_tusA_with_dipyr_3	Escherichia coli	NT=cell extract	not available	3	not available	Proteomic Assay	proteomic profiling by mass spectrometry	1	Delta_tusA_with_dipyr_3.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
Delta_tusA_with_dipyr_1	Escherichia coli	NT=cell extract	not available	1	not available	Proteomic Assay	proteomic profiling by mass spectrometry	1	Delta_tusA_with_dipyr_1.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
