source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[cell line]
Melan-a_1	Mus musculus	skin of trunk	normal	melanocyte of skin	cell line	Melan-a	CVCL_4624	Melan-a	skin of trunk	not available	C57BL/6	not available	not available	1	OB_AZP_MELAN_A1_20180430_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=Q,N;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	0.5 Da	1	1	OB_AZP_MELAN_A1_20180430_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Melan-a
Melan-a_2	Mus musculus	skin of trunk	normal	melanocyte of skin	cell line	Melan-a	CVCL_4624	Melan-a	skin of trunk	not available	C57BL/6	not available	not available	2	OB_AZP_MELAN_A3_20180430_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=Q,N;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	0.5 Da	1	1	OB_AZP_MELAN_A3_20180430_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Melan-a
Tm1_1	Mus musculus	skin of trunk	cutaneous melanoma	melanocyte of skin	cell line	Melan-a Tm1	CVCL_ZJ87	Melan-a Tm1	skin of trunk	not available	C57BL/6	not available	not available	1	OB_AZP_TM1_20180430_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=Q,N;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	0.5 Da	1	1	OB_AZP_TM1_20180430_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Melan-a Tm1
Tm1_2	Mus musculus	skin of trunk	cutaneous melanoma	melanocyte of skin	cell line	Melan-a Tm1	CVCL_ZJ87	Melan-a Tm1	skin of trunk	not available	C57BL/6	not available	not available	2	OB_AZP_TM3_20180430_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=Q,N;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	0.5 Da	1	1	OB_AZP_TM3_20180430_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Melan-a Tm1
