source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[enrichment process]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[growth condition]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[precursor mass tolerance]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]
sample_1	oryza sativa	leaf	1	normal	organism part	affinity chromatography	seedling development stage	japonica	10-day-old seedlings grown in wet vermiculite with half-strength Murashige and Skoog medium, 16 h light/8 h dark, 29 °C	20081112_14_HE1.RAW	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD000951/20081112_14_HE1.RAW	v3.0.0	ms-proteomics v1.1.0	plants v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ FT;AC=MS:1000448	NT=Trypsin;AC=MS:1001251	label free sample	1	10 ppm	Iodoacetamide (IAA)	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=Carbamidomethyl;AC=UNIMOD:4;MT=variable;TA=C;PP=Anywhere
sample_1	oryza sativa	leaf	1	normal	organism part	affinity chromatography	seedling development stage	japonica	10-day-old seedlings grown in wet vermiculite with half-strength Murashige and Skoog medium, 16 h light/8 h dark, 29 °C	20081112_13_HE2.RAW	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD000951/20081112_13_HE2.RAW	v3.0.0	ms-proteomics v1.1.0	plants v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ FT;AC=MS:1000448	NT=Trypsin;AC=MS:1001251	label free sample	2	10 ppm	Iodoacetamide (IAA)	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=Carbamidomethyl;AC=UNIMOD:4;MT=variable;TA=C;PP=Anywhere
sample_1	oryza sativa	leaf	1	normal	organism part	affinity chromatography	seedling development stage	japonica	10-day-old seedlings grown in wet vermiculite with half-strength Murashige and Skoog medium, 16 h light/8 h dark, 29 °C	20081112_12_HE3.RAW	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD000951/20081112_12_HE3.RAW	v3.0.0	ms-proteomics v1.1.0	plants v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ FT;AC=MS:1000448	NT=Trypsin;AC=MS:1001251	label free sample	3	10 ppm	Iodoacetamide (IAA)	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=Carbamidomethyl;AC=UNIMOD:4;MT=variable;TA=C;PP=Anywhere
sample_1	oryza sativa	leaf	1	normal	organism part	affinity chromatography	seedling development stage	japonica	10-day-old seedlings grown in wet vermiculite with half-strength Murashige and Skoog medium, 16 h light/8 h dark, 29 °C	20081112_11_HE4.RAW	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD000951/20081112_11_HE4.RAW	v3.0.0	ms-proteomics v1.1.0	plants v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ FT;AC=MS:1000448	NT=Trypsin;AC=MS:1001251	label free sample	4	10 ppm	Iodoacetamide (IAA)	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=Carbamidomethyl;AC=UNIMOD:4;MT=variable;TA=C;PP=Anywhere
sample_1	oryza sativa	leaf	1	normal	organism part	affinity chromatography	seedling development stage	japonica	10-day-old seedlings grown in wet vermiculite with half-strength Murashige and Skoog medium, 16 h light/8 h dark, 29 °C	20081112_30_HE2_incl.RAW	proteomic profiling by mass spectrometry	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD000951/20081112_30_HE2_incl.RAW	v3.0.0	ms-proteomics v1.1.0	plants v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ FT;AC=MS:1000448	NT=Trypsin;AC=MS:1001251	label free sample	2	10 ppm	Iodoacetamide (IAA)	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=Carbamidomethyl;AC=UNIMOD:4;MT=variable;TA=C;PP=Anywhere
