source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
XZ_728_A27_14	Desulfovibrio ferrophilus	not available	1	XZ_728_A27_14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	XZ_728_A27_14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
XZ_728_A27_16	Desulfovibrio ferrophilus	not available	1	XZ_728_A27_16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	XZ_728_A27_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
XZ_728_A27_13	Desulfovibrio ferrophilus	not available	1	XZ_728_A27_13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	XZ_728_A27_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
XZ_728_B27_16	Desulfovibrio ferrophilus	not available	1	XZ_728_B27_16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	XZ_728_B27_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
XZ_728_B27_13	Desulfovibrio ferrophilus	not available	1	XZ_728_B27_13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	XZ_728_B27_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
XZ_728_B27_14	Desulfovibrio ferrophilus	not available	1	XZ_728_B27_14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	XZ_728_B27_14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
XZ_728_A27_12	Desulfovibrio ferrophilus	not available	1	XZ_728_A27_12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	XZ_728_A27_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
XZ_728_C27_12_biofilm_03	Desulfovibrio ferrophilus	not available	1	XZ_728_C27_12_biofilm_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	XZ_728_C27_12_biofilm_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
XZ_728_B27_17	Desulfovibrio ferrophilus	not available	1	XZ_728_B27_17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	XZ_728_B27_17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
XZ_728_C27_12_biofilm_01	Desulfovibrio ferrophilus	not available	1	XZ_728_C27_12_biofilm_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	XZ_728_C27_12_biofilm_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
XZ_728_B27_12	Desulfovibrio ferrophilus	not available	1	XZ_728_B27_12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	XZ_728_B27_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
XZ_728_A27_17	Desulfovibrio ferrophilus	not available	1	XZ_728_A27_17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	XZ_728_A27_17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
XZ_728_A27_7	Desulfovibrio ferrophilus	not available	1	XZ_728_A27_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	XZ_728_A27_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
XZ_728_B27_7	Desulfovibrio ferrophilus	not available	1	XZ_728_B27_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	XZ_728_B27_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
XZ_728_C27_12_biofilm_02	Desulfovibrio ferrophilus	not available	1	XZ_728_C27_12_biofilm_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	XZ_728_C27_12_biofilm_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
