source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[FILL]
2014-09-19-SWATH_A1	Homo sapiens	Prostate gland	FILL:disease	FILL:biological replicate	2014-09-19-SWATH_A1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	FILL:cleavage agent details	1	1	2014-09-19-SWATH_A1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	FILL:factor value
2014-09-19-SWATH_A13	Homo sapiens	Prostate gland	FILL:disease	FILL:biological replicate	2014-09-19-SWATH_A13	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	FILL:cleavage agent details	1	1	2014-09-19-SWATH_A13.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	FILL:factor value
2014-09-19-SWATH_A18	Homo sapiens	Prostate gland	FILL:disease	FILL:biological replicate	2014-09-19-SWATH_A18	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	FILL:cleavage agent details	1	1	2014-09-19-SWATH_A18.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	FILL:factor value
2014-09-19-SWATH_A4	Homo sapiens	Prostate gland	FILL:disease	FILL:biological replicate	2014-09-19-SWATH_A4	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	FILL:cleavage agent details	1	1	2014-09-19-SWATH_A4.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	FILL:factor value
2014-09-19-SWATH_A6	Homo sapiens	Prostate gland	FILL:disease	FILL:biological replicate	2014-09-19-SWATH_A6	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	FILL:cleavage agent details	1	1	2014-09-19-SWATH_A6.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	FILL:factor value
2014-09-19-SWATH_A7	Homo sapiens	Prostate gland	FILL:disease	FILL:biological replicate	2014-09-19-SWATH_A7	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	FILL:cleavage agent details	1	1	2014-09-19-SWATH_A7.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	FILL:factor value
2014-09-19-SWATH_M1	Homo sapiens	Prostate gland	FILL:disease	FILL:biological replicate	2014-09-19-SWATH_M1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	FILL:cleavage agent details	1	1	2014-09-19-SWATH_M1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	FILL:factor value
2014-09-19-SWATH_M25	Homo sapiens	Prostate gland	FILL:disease	FILL:biological replicate	2014-09-19-SWATH_M25	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	FILL:cleavage agent details	1	1	2014-09-19-SWATH_M25.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	FILL:factor value
2014-09-19-SWATH_M27	Homo sapiens	Prostate gland	FILL:disease	FILL:biological replicate	2014-09-19-SWATH_M27	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	FILL:cleavage agent details	1	1	2014-09-19-SWATH_M27.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	FILL:factor value
2014-09-19-SWATH_M3	Homo sapiens	Prostate gland	FILL:disease	FILL:biological replicate	2014-09-19-SWATH_M3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	FILL:cleavage agent details	1	1	2014-09-19-SWATH_M3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	FILL:factor value
