source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[group]
Fraction5	Nicotiana tabacum	leaves	not applicable	not applicable	1	run 2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin	5	1	20251009_002_S1025742_Fraction5.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	Test sample
Fraction6	Nicotiana tabacum	leaves	not applicable	not applicable	1	run 3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin	6	1	20251009_003_S1025743_Fraction6.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	Test sample
