source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[sample preparation]
PXD014618-TD-3028_AS_b1_fresh_v1_r01	Homo sapiens	semen	sperm	normal	adult	not available	male	not available	batch-3028	cell	1	run 3028_AS_b1_fresh_v1_r01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	not applicable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	NT=electron transfer dissociation;AC=MS:1000598	10 ppm	10 ppm	1	1	3028_AS_b1_fresh_v1_r01.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	fresh spermatozoa protamine fraction (top-down)
PXD014618-TD-3028_AS_b1_fresh_v1_r06	Homo sapiens	semen	sperm	normal	adult	not available	male	not available	batch-3028	cell	1	run 3028_AS_b1_fresh_v1_r06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	not applicable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	NT=electron transfer dissociation;AC=MS:1000598	10 ppm	10 ppm	1	6	3028_AS_b1_fresh_v1_r06.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	fresh spermatozoa protamine fraction (top-down)
PXD014618-TD-3209_AS_b2_cryo_v4_r04	Homo sapiens	semen	sperm	normal	adult	not available	male	not available	batch-3209	cell	2	run 3209_AS_b2_cryo_v4_r04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	not applicable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	NT=electron transfer dissociation;AC=MS:1000598	10 ppm	10 ppm	1	4	3209_AS_b2_cryo_v4_r04.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	cryopreserved spermatozoa protamine fraction (top-down)
PXD014618-TD-3209_AS_b2_cryo_v4_r09	Homo sapiens	semen	sperm	normal	adult	not available	male	not available	batch-3209	cell	2	run 3209_AS_b2_cryo_v4_r09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	not applicable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	NT=electron transfer dissociation;AC=MS:1000598	10 ppm	10 ppm	1	9	3209_AS_b2_cryo_v4_r09.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	cryopreserved spermatozoa protamine fraction (top-down)
PXD014618-TD-3209_AS_b2_cryo_v5_r05	Homo sapiens	semen	sperm	normal	adult	not available	male	not available	batch-3209	cell	2	run 3209_AS_b2_cryo_v5_r05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	not applicable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	NT=electron transfer dissociation;AC=MS:1000598	10 ppm	10 ppm	1	5	3209_AS_b2_cryo_v5_r05.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	cryopreserved spermatozoa protamine fraction (top-down)
PXD014618-TD-3209_AS_b2_cryo_v5_r10	Homo sapiens	semen	sperm	normal	adult	not available	male	not available	batch-3209	cell	2	run 3209_AS_b2_cryo_v5_r10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	not applicable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	NT=electron transfer dissociation;AC=MS:1000598	10 ppm	10 ppm	1	10	3209_AS_b2_cryo_v5_r10.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	cryopreserved spermatozoa protamine fraction (top-down)
PXD014618-TD-3209_AS_b2_fresh_v2_r02	Homo sapiens	semen	sperm	normal	adult	not available	male	not available	batch-3209	cell	2	run 3209_AS_b2_fresh_v2_r02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	not applicable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	NT=electron transfer dissociation;AC=MS:1000598	10 ppm	10 ppm	1	2	3209_AS_b2_fresh_v2_r02.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	fresh spermatozoa protamine fraction (top-down)
PXD014618-TD-3209_AS_b2_fresh_v2_r07	Homo sapiens	semen	sperm	normal	adult	not available	male	not available	batch-3209	cell	2	run 3209_AS_b2_fresh_v2_r07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	not applicable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	NT=electron transfer dissociation;AC=MS:1000598	10 ppm	10 ppm	1	7	3209_AS_b2_fresh_v2_r07.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	fresh spermatozoa protamine fraction (top-down)
PXD014618-TD-3209_AS_b2_fresh_v3_r03	Homo sapiens	semen	sperm	normal	adult	not available	male	not available	batch-3209	cell	2	run 3209_AS_b2_fresh_v3_r03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	not applicable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	NT=electron transfer dissociation;AC=MS:1000598	10 ppm	10 ppm	1	3	3209_AS_b2_fresh_v3_r03.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	fresh spermatozoa protamine fraction (top-down)
PXD014618-TD-3209_AS_b2_fresh_v3_r08	Homo sapiens	semen	sperm	normal	adult	not available	male	not available	batch-3209	cell	2	run 3209_AS_b2_fresh_v3_r08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	not applicable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	NT=electron transfer dissociation;AC=MS:1000598	10 ppm	10 ppm	1	8	3209_AS_b2_fresh_v3_r08.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	fresh spermatozoa protamine fraction (top-down)
