source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[ms1 analyzer type]	comment[ms2 analyzer type]	comment[quantification]	factor value[pfas]
10_ug_per_L_Rep_1	Apis mellifera	head	head	normal	female	1	run 1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	not applicable	1	1	10_ug_per_L_Rep_1.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	NT=Orbitrap	NT=Orbitrap	NT=label free quantification;AC=EFO:0030054	10ug
10_ug_per_L_Rep_2	Apis mellifera	head	head	normal	female	2	run 2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	not applicable	1	1	10_ug_per_L_Rep_2.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	NT=Orbitrap	NT=Orbitrap	NT=label free quantification;AC=EFO:0030054	10ug
10_ug_per_L_Rep_3	Apis mellifera	head	head	normal	female	3	run 3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	not applicable	1	1	10_ug_per_L_Rep_3.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	NT=Orbitrap	NT=Orbitrap	NT=label free quantification;AC=EFO:0030054	10ug
20_ug_per_L_Rep_1	Apis mellifera	head	head	normal	female	1	run 4	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	not applicable	1	1	20_ug_per_L_Rep_1.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	NT=Orbitrap	NT=Orbitrap	NT=label free quantification;AC=EFO:0030054	20ug
20_ug_per_L_Rep_2	Apis mellifera	head	head	normal	female	2	run 5	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	not applicable	1	1	20_ug_per_L_Rep_2.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	NT=Orbitrap	NT=Orbitrap	NT=label free quantification;AC=EFO:0030054	20ug
20_ug_per_L_Rep_3	Apis mellifera	head	head	normal	female	3	run 6	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	not applicable	1	1	20_ug_per_L_Rep_3.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	NT=Orbitrap	NT=Orbitrap	NT=label free quantification;AC=EFO:0030054	20ug
Untreated_Rep_1	Apis mellifera	head	head	normal	female	1	run 7	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	not applicable	1	1	Untreated_Rep_1.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	NT=Orbitrap	NT=Orbitrap	NT=label free quantification;AC=EFO:0030054	0ug
Untreated_Rep_2	Apis mellifera	head	head	normal	female	2	run 8	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	not applicable	1	1	Untreated_Rep_2.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	NT=Orbitrap	NT=Orbitrap	NT=label free quantification;AC=EFO:0030054	0ug
Untreated_Rep_3	Apis mellifera	head	head	normal	female	3	run 9	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	not applicable	1	1	Untreated_Rep_3.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	NT=Orbitrap	NT=Orbitrap	NT=label free quantification;AC=EFO:0030054	0ug
