source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
EBV-BGLF4_48Hr_2SILAC_Nuclear_TotalProteome_Rep1_bRP2	homo sapiens	root	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	EBV-BGLF4_48Hr_2SILAC_Nuclear_TotalProteome_Rep1_bRP2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	EBV-BGLF4_48Hr_2SILAC_Nuclear_TotalProteome_Rep1_bRP2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD002411/EBV-BGLF4_48Hr_2SILAC_Nuclear_TotalProteome_Rep1_bRP2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	root
EBV-BGLF4_48Hr_2SILAC_TiO2_Rep2_9	homo sapiens	root	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	9	EBV-BGLF4_48Hr_2SILAC_TiO2_Rep2_9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	EBV-BGLF4_48Hr_2SILAC_TiO2_Rep2_9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD002411/EBV-BGLF4_48Hr_2SILAC_TiO2_Rep2_9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	root
EBV-BGLF4_48Hr_2SILAC_TiO2_Rep2_7	homo sapiens	root	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	7	EBV-BGLF4_48Hr_2SILAC_TiO2_Rep2_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	EBV-BGLF4_48Hr_2SILAC_TiO2_Rep2_7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD002411/EBV-BGLF4_48Hr_2SILAC_TiO2_Rep2_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	root
EBV-BGLF4_48Hr_2SILAC_Nuclear_TotalProteome_Rep1_bRP5	homo sapiens	root	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	EBV-BGLF4_48Hr_2SILAC_Nuclear_TotalProteome_Rep1_bRP5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	EBV-BGLF4_48Hr_2SILAC_Nuclear_TotalProteome_Rep1_bRP5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD002411/EBV-BGLF4_48Hr_2SILAC_Nuclear_TotalProteome_Rep1_bRP5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	root
EBV-BGLF4_48Hr_2SILAC_TiO2_Rep2_4	homo sapiens	root	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	4	EBV-BGLF4_48Hr_2SILAC_TiO2_Rep2_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	EBV-BGLF4_48Hr_2SILAC_TiO2_Rep2_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD002411/EBV-BGLF4_48Hr_2SILAC_TiO2_Rep2_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	root
Renfeng_BGLF4_SILAC_K8R10_48Hr_pST_2	homo sapiens	root	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	2	Renfeng_BGLF4_SILAC_K8R10_48Hr_pST_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Renfeng_BGLF4_SILAC_K8R10_48Hr_pST_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD002411/Renfeng_BGLF4_SILAC_K8R10_48Hr_pST_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	root
Renfeng_BGLF4_SILAC_K8R10_48Hr_pST_5	homo sapiens	root	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	5	Renfeng_BGLF4_SILAC_K8R10_48Hr_pST_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Renfeng_BGLF4_SILAC_K8R10_48Hr_pST_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD002411/Renfeng_BGLF4_SILAC_K8R10_48Hr_pST_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	root
Renfeng_BGLF4_SILAC_K8R10_48Hr_pST_8	homo sapiens	root	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	8	Renfeng_BGLF4_SILAC_K8R10_48Hr_pST_8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Renfeng_BGLF4_SILAC_K8R10_48Hr_pST_8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD002411/Renfeng_BGLF4_SILAC_K8R10_48Hr_pST_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	root
Renfeng_BGLF4_SILAC_K8R10_48Hr_pST_12	homo sapiens	root	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	12	Renfeng_BGLF4_SILAC_K8R10_48Hr_pST_12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Renfeng_BGLF4_SILAC_K8R10_48Hr_pST_12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD002411/Renfeng_BGLF4_SILAC_K8R10_48Hr_pST_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	root
Renfeng_BGLF4_SILAC_K8R10_48Hr_pST_10	homo sapiens	root	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	10	Renfeng_BGLF4_SILAC_K8R10_48Hr_pST_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Renfeng_BGLF4_SILAC_K8R10_48Hr_pST_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD002411/Renfeng_BGLF4_SILAC_K8R10_48Hr_pST_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	root
