source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[perturbation]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[perturbation]
Besos_Soluble_Influent	Besos_Soluble_Influent	wastewater metagenome	not applicable	not applicable	not applicable	not available	waste water	Rio Besos	not available	24 h composite WWTP influent; ultracentrifugation into soluble fraction; in-gel trypsin digest	soluble	1	Re8467_MCP_esE13_Besos_Soluble_Influent_01_13-1_20230215	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Re8467_MCP_esE13_Besos_Soluble_Influent_01_13-1_20230215.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	soluble
Girona_Soluble_Influent	Girona_Soluble_Influent	wastewater metagenome	not applicable	not applicable	not applicable	not available	waste water	Province of Girona	not available	24 h composite WWTP influent; ultracentrifugation into soluble fraction; in-gel trypsin digest	soluble	1	Re8467_MCP_esE13_Girona_Soluble_Influent_01_13-2_20230215	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Re8467_MCP_esE13_Girona_Soluble_Influent_01_13-2_20230215.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	soluble
Vic_Soluble_Influent	Vic_Soluble_Influent	wastewater metagenome	not applicable	not applicable	not applicable	not available	waste water	Vic WWTP, Catalonia, Spain	not available	24 h composite WWTP influent; ultracentrifugation into soluble fraction; in-gel trypsin digest	soluble	1	Re8467_MCP_esE13_Vic_Soluble_Influent_01_13-3_20230215	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Re8467_MCP_esE13_Vic_Soluble_Influent_01_13-3_20230215.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	soluble
Besos_Particulate_Influent	Besos_Particulate_Influent	wastewater metagenome	not applicable	not applicable	not applicable	not available	waste water	Rio Besos	not available	24 h composite WWTP influent; ultracentrifugation into particulate fraction; in-gel trypsin digest	particulate	1	Re8467_MCP_esE28_Besos_Particulate_Influent_01_28-1_20230209	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Re8467_MCP_esE28_Besos_Particulate_Influent_01_28-1_20230209.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	particulate
Girona_Particulate_Influent	Girona_Particulate_Influent	wastewater metagenome	not applicable	not applicable	not applicable	not available	waste water	Province of Girona	not available	24 h composite WWTP influent; ultracentrifugation into particulate fraction; in-gel trypsin digest	particulate	1	Re8467_MCP_esE28_Girona_Particulate_Influent_01_28-4_20230209	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Re8467_MCP_esE28_Girona_Particulate_Influent_01_28-4_20230209.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	particulate
Vic_Particulate_Influent	Vic_Particulate_Influent	wastewater metagenome	not applicable	not applicable	not applicable	not available	waste water	Vic WWTP, Catalonia, Spain	not available	24 h composite WWTP influent; ultracentrifugation into particulate fraction; in-gel trypsin digest	particulate	1	Re8467_MCP_esE28_Vic_Particulate_Influent_01_28-7_20230209	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Re8467_MCP_esE28_Vic_Particulate_Influent_01_28-7_20230209.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	particulate
