source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[sex]	characteristics[cell type]	characteristics[cell line]	characteristics[disease]	characteristics[biological replicate]	material type	characteristics[developmental stage]	characteristics[strain or breed]	assay name	technology type	comment[sdrf version]	comment[sdrf template]	comment[proteomics data acquisition method]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD022469-sample-1	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	not available	not available	run1	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	2	AP051018_Gurjeet_LA_Hu14_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_1.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-2	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	not available	not available	run2	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	2	AP051018_Gurjeet_LA_Hu14_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_2.raw	2	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-3	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	not available	not available	run3	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	2	AP051018_Gurjeet_LA_Hu14_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_3.raw	3	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-4	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	not available	not available	run4	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	2	AP051018_Gurjeet_LA_Hu14_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_4.raw	4	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-5	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	not available	not available	run5	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	2	AP051018_Gurjeet_LA_Hu14_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_5.raw	5	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-6	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	not available	not available	run6	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	2	AP051018_Gurjeet_LA_Hu14_6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_6.raw	6	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-7	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	not available	not available	run7	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	2	AP051018_Gurjeet_LA_Hu14_7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_7.raw	7	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-8	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	not available	not available	run8	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	2	AP051018_Gurjeet_LA_Hu14_8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_8.raw	8	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-9	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	not available	not available	run9	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	2	AP051018_Gurjeet_LA_Hu14_9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_9.raw	9	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-10	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	not available	not available	run10	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	2	AP051018_Gurjeet_LA_Hu14_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_10.raw	10	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
