source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[sdrf template]
E-coli_Act-NEG-T10_1	Escherichia coli	cell	not available	1	not available	Proteome-wide analysis of amino terminal status	proteomic profiling by mass spectrometry	1	20110811_E-coli_Act-NEG-T10_SXC-frac04.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	4	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=ms-proteomics;VV=v1.1.0
E-coli_Act-NEG-T10_2	Escherichia coli	cell	not available	1	not available	Proteome-wide analysis of amino terminal status	proteomic profiling by mass spectrometry	1	20110811_E-coli_Act-NEG-T10_SXC-frac10.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	10	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=ms-proteomics;VV=v1.1.0
E-coli_Act-NEG-T10_3	Escherichia coli	cell	not available	1	not available	Proteome-wide analysis of amino terminal status	proteomic profiling by mass spectrometry	1	20110811_E-coli_Act-NEG-T10_SXC-frac06.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	6	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=ms-proteomics;VV=v1.1.0
E-coli_Act-NEG-T10_4	Escherichia coli	cell	not available	1	not available	Proteome-wide analysis of amino terminal status	proteomic profiling by mass spectrometry	1	20110811_E-coli_Act-NEG-T10_SXC-frac11.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	11	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=ms-proteomics;VV=v1.1.0
E-coli_Act-NEG-T10_5	Escherichia coli	cell	not available	1	not available	Proteome-wide analysis of amino terminal status	proteomic profiling by mass spectrometry	1	20110811_E-coli_Act-NEG-T10_SXC-frac09.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	9	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=ms-proteomics;VV=v1.1.0
E-coli_Act-NEG-T10_6	Escherichia coli	cell	not available	1	not available	Proteome-wide analysis of amino terminal status	proteomic profiling by mass spectrometry	1	20110811_E-coli_Act-NEG-T10_SXC-frac01.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=ms-proteomics;VV=v1.1.0
E-coli_Act-NEG-T10_7	Escherichia coli	cell	not available	1	not available	Proteome-wide analysis of amino terminal status	proteomic profiling by mass spectrometry	1	20110811_E-coli_Act-NEG-T10_SXC-frac08.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	8	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=ms-proteomics;VV=v1.1.0
E-coli_Act-NEG-T10_8	Escherichia coli	cell	not available	1	not available	Proteome-wide analysis of amino terminal status	proteomic profiling by mass spectrometry	1	20110811_E-coli_Act-NEG-T10_SXC-frac03.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	3	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=ms-proteomics;VV=v1.1.0
E-coli_Act-NEG-T10_9	Escherichia coli	cell	not available	1	not available	Proteome-wide analysis of amino terminal status	proteomic profiling by mass spectrometry	1	20110811_E-coli_Act-NEG-T10_SXC-frac07.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	7	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=ms-proteomics;VV=v1.1.0
E-coli_Act-NEG-T10_10	Escherichia coli	cell	not available	1	not available	Proteome-wide analysis of amino terminal status	proteomic profiling by mass spectrometry	1	20110811_E-coli_Act-NEG-T10_SXC-frac02.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	2	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=ms-proteomics;VV=v1.1.0
E-coli_Act-NEG-T20_1	Escherichia coli	cell	not available	1	not available	Proteome-wide analysis of amino terminal status	proteomic profiling by mass spectrometry	1	20110812_E-coli_Act-NEG-T20_SXC-frac10.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	10	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=ms-proteomics;VV=v1.1.0
E-coli_Act-NEG-T20_2	Escherichia coli	cell	not available	1	not available	Proteome-wide analysis of amino terminal status	proteomic profiling by mass spectrometry	1	20110812_E-coli_Act-NEG-T20_SXC-frac07.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	7	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=ms-proteomics;VV=v1.1.0
E-coli_Act-NEG-T20_3	Escherichia coli	cell	not available	1	not available	Proteome-wide analysis of amino terminal status	proteomic profiling by mass spectrometry	1	20110812_E-coli_Act-NEG-T20_SXC-frac03.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	3	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=ms-proteomics;VV=v1.1.0
E-coli_Act-NEG-T20_4	Escherichia coli	cell	not available	1	not available	Proteome-wide analysis of amino terminal status	proteomic profiling by mass spectrometry	1	20110812_E-coli_Act-NEG-T20_SXC-frac05.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	5	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=ms-proteomics;VV=v1.1.0
E-coli_Act-NEG-T20_5	Escherichia coli	cell	not available	1	not available	Proteome-wide analysis of amino terminal status	proteomic profiling by mass spectrometry	1	20110812_E-coli_Act-NEG-T20_SXC-frac04.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	4	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=ms-proteomics;VV=v1.1.0
E-coli_Act-NEG-T20_6	Escherichia coli	cell	not available	1	not available	Proteome-wide analysis of amino terminal status	proteomic profiling by mass spectrometry	1	20110812_E-coli_Act-NEG-T20_SXC-frac02.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	2	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=ms-proteomics;VV=v1.1.0
E-coli_Act-NEG-T20_7	Escherichia coli	cell	not available	1	not available	Proteome-wide analysis of amino terminal status	proteomic profiling by mass spectrometry	1	20110812_E-coli_Act-NEG-T20_SXC-frac08.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	8	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=ms-proteomics;VV=v1.1.0
E-coli_Act-NEG-T20_8	Escherichia coli	cell	not available	1	not available	Proteome-wide analysis of amino terminal status	proteomic profiling by mass spectrometry	1	20110812_E-coli_Act-NEG-T20_SXC-frac06.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	6	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=ms-proteomics;VV=v1.1.0
