source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
120618_o1_02_so120612_ot_CCAI_2	Ostreococcus tauri	Cell suspension culture	not applicable	Disease free	2	120618_o1_02_so120612_ot_CCAI_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	120618_o1_02_so120612_ot_CCAI_2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD000975/120618_o1_02_so120612_ot_CCAI_2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
120720_o1_08_so120612_ot_Ox21_3	Ostreococcus tauri	Cell suspension culture	not applicable	Disease free	3	120720_o1_08_so120612_ot_Ox21_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	120720_o1_08_so120612_ot_Ox21_3.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD000975/120720_o1_08_so120612_ot_Ox21_3.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
120719_o1_04_so120612_ot_Ox21_5	Ostreococcus tauri	Cell suspension culture	not applicable	Disease free	5	120719_o1_04_so120612_ot_Ox21_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	120719_o1_04_so120612_ot_Ox21_5.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD000975/120719_o1_04_so120612_ot_Ox21_5.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
120721_o1_04_so120612_ot_TBB_5	Ostreococcus tauri	Cell suspension culture	not applicable	Disease free	5	120721_o1_04_so120612_ot_TBB_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	120721_o1_04_so120612_ot_TBB_5.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD000975/120721_o1_04_so120612_ot_TBB_5.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
120824_o1_05_so120821_ot_CK2-Ox21_3	Ostreococcus tauri	Cell suspension culture	not applicable	Disease free	3	120824_o1_05_so120821_ot_CK2-Ox21_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	120824_o1_05_so120821_ot_CK2-Ox21_3.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD000975/120824_o1_05_so120821_ot_CK2-Ox21_3.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
120721_o1_02_so120612_ot_TBB_4	Ostreococcus tauri	Cell suspension culture	not applicable	Disease free	4	120721_o1_02_so120612_ot_TBB_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	120721_o1_02_so120612_ot_TBB_4.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD000975/120721_o1_02_so120612_ot_TBB_4.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
120824_o1_07_so120821_ot_CK2-Ox21_4	Ostreococcus tauri	Cell suspension culture	not applicable	Disease free	4	120824_o1_07_so120821_ot_CK2-Ox21_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	120824_o1_07_so120821_ot_CK2-Ox21_4.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD000975/120824_o1_07_so120821_ot_CK2-Ox21_4.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
120618_o1_09_so120612_ot_CCAI_3	Ostreococcus tauri	Cell suspension culture	not applicable	Disease free	3	120618_o1_09_so120612_ot_CCAI_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	120618_o1_09_so120612_ot_CCAI_3.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD000975/120618_o1_09_so120612_ot_CCAI_3.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
120720_o1_05_so120612_ot_Ox21_1	Ostreococcus tauri	Cell suspension culture	not applicable	Disease free	1	120720_o1_05_so120612_ot_Ox21_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	120720_o1_05_so120612_ot_Ox21_1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD000975/120720_o1_05_so120612_ot_Ox21_1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
120618_o1_05_so120612_ot_Ox21_5	Ostreococcus tauri	Cell suspension culture	not applicable	Disease free	5	120618_o1_05_so120612_ot_Ox21_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	120618_o1_05_so120612_ot_Ox21_5.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD000975/120618_o1_05_so120612_ot_Ox21_5.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
