source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
Mudpit_Plate_2018_A21_A1_20180704_A21_R1_F1_b	Mudpit_Plate_2018_A21_A1_20180704_A21_R1_F1_b	soil metagenome	soil	not applicable	not available	Soil_Metaproteome_Arenito2_land_rehab_chronosequence	soil	soil	not available	not available	not available	not available	soil microbiome	1	Mudpit_Plate_2018_A21_A1_20180704_A21_R1_F1_b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	Mudpit_Plate_2018_A21_A1_20180704_A21_R1_F1_b.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
Mudpit_Plate_2018_A21_B1_20180704_A21_R2_F1_b	Mudpit_Plate_2018_A21_B1_20180704_A21_R2_F1_b	soil metagenome	soil	not applicable	not available	Soil_Metaproteome_Arenito2_land_rehab_chronosequence	soil	soil	not available	not available	not available	not available	soil microbiome	1	Mudpit_Plate_2018_A21_B1_20180704_A21_R2_F1_b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	Mudpit_Plate_2018_A21_B1_20180704_A21_R2_F1_b.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
Mudpit_Plate_2018_A21_C1_20180704_A21_R3_F1_b	Mudpit_Plate_2018_A21_C1_20180704_A21_R3_F1_b	soil metagenome	soil	not applicable	not available	Soil_Metaproteome_Arenito2_land_rehab_chronosequence	soil	soil	not available	not available	not available	not available	soil microbiome	1	Mudpit_Plate_2018_A21_C1_20180704_A21_R3_F1_b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	Mudpit_Plate_2018_A21_C1_20180704_A21_R3_F1_b.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
Mudpit_Plate_2018_Felipe_A22_A1_20180704_A22_R1_F1	Mudpit_Plate_2018_Felipe_A22_A1_20180704_A22_R1_F1	soil metagenome	soil	not applicable	not available	Soil_Metaproteome_Arenito2_land_rehab_chronosequence	soil	soil	not available	not available	not available	not available	soil microbiome	1	Mudpit_Plate_2018_Felipe_A22_A1_20180704_A22_R1_F1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	Mudpit_Plate_2018_Felipe_A22_A1_20180704_A22_R1_F1.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
Mudpit_Plate_2018_Felipe_A22_B1_20180704_A22_R2_F1	Mudpit_Plate_2018_Felipe_A22_B1_20180704_A22_R2_F1	soil metagenome	soil	not applicable	not available	Soil_Metaproteome_Arenito2_land_rehab_chronosequence	soil	soil	not available	not available	not available	not available	soil microbiome	1	Mudpit_Plate_2018_Felipe_A22_B1_20180704_A22_R2_F1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	Mudpit_Plate_2018_Felipe_A22_B1_20180704_A22_R2_F1.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
Mudpit_Plate_2018_Felipe_A22_C1_20180704_A22_R3_F1	Mudpit_Plate_2018_Felipe_A22_C1_20180704_A22_R3_F1	soil metagenome	soil	not applicable	not available	Soil_Metaproteome_Arenito2_land_rehab_chronosequence	soil	soil	not available	not available	not available	not available	soil microbiome	1	Mudpit_Plate_2018_Felipe_A22_C1_20180704_A22_R3_F1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	Mudpit_Plate_2018_Felipe_A22_C1_20180704_A22_R3_F1.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
Mudpit_Plate_2018_FelipeA23_A1_20180704_A23_R1_F1b	Mudpit_Plate_2018_FelipeA23_A1_20180704_A23_R1_F1b	soil metagenome	soil	not applicable	not available	Soil_Metaproteome_Arenito2_land_rehab_chronosequence	soil	soil	not available	not available	not available	not available	soil microbiome	1	Mudpit_Plate_2018_FelipeA23_A1_20180704_A23_R1_F1b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	Mudpit_Plate_2018_FelipeA23_A1_20180704_A23_R1_F1b.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
Mudpit_Plate_2018_FelipeA23_B1_20180704_A23_R2_F1b	Mudpit_Plate_2018_FelipeA23_B1_20180704_A23_R2_F1b	soil metagenome	soil	not applicable	not available	Soil_Metaproteome_Arenito2_land_rehab_chronosequence	soil	soil	not available	not available	not available	not available	soil microbiome	1	Mudpit_Plate_2018_FelipeA23_B1_20180704_A23_R2_F1b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	Mudpit_Plate_2018_FelipeA23_B1_20180704_A23_R2_F1b.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
Mudpit_Plate_2018_FelipeA23_C1_20180704_A23_R3_F1b	Mudpit_Plate_2018_FelipeA23_C1_20180704_A23_R3_F1b	soil metagenome	soil	not applicable	not available	Soil_Metaproteome_Arenito2_land_rehab_chronosequence	soil	soil	not available	not available	not available	not available	soil microbiome	1	Mudpit_Plate_2018_FelipeA23_C1_20180704_A23_R3_F1b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	Mudpit_Plate_2018_FelipeA23_C1_20180704_A23_R3_F1b.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
Mudpit_Plate_2018_FelipeA24_A1_20180704_A24_R1_F1b	Mudpit_Plate_2018_FelipeA24_A1_20180704_A24_R1_F1b	soil metagenome	soil	not applicable	not available	Soil_Metaproteome_Arenito2_land_rehab_chronosequence	soil	soil	not available	not available	not available	not available	soil microbiome	1	Mudpit_Plate_2018_FelipeA24_A1_20180704_A24_R1_F1b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	Mudpit_Plate_2018_FelipeA24_A1_20180704_A24_R1_F1b.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
