source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[host organism]	characteristics[host body site]	characteristics[host disease status]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
2020-08-11_all_rat_microbiome.msf	2020-08-11_all_rat_microbiome.msf	Rattus norvegicus	feces	not applicable	not available	Fecal_Transplant_from_Roux-Y-Gastric-Bypass_rat_model_into_a_diet_induced_obesity_rat_model	feces	feces	not available	not available	not available	not available	gut microbiome	Rattus norvegicus	feces	not available	1	2020-08-11_all_rat_microbiome.msf	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2020-08-11_all_rat_microbiome.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
2020-08-11_Rat_microbiome_1	2020-08-11_Rat_microbiome_1	Rattus norvegicus	feces	not applicable	not available	Fecal_Transplant_from_Roux-Y-Gastric-Bypass_rat_model_into_a_diet_induced_obesity_rat_model	feces	feces	not available	not available	not available	not available	gut microbiome	Rattus norvegicus	feces	not available	1	2020-08-11_Rat_microbiome_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2020-08-11_Rat_microbiome_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
2020-08-11_Rat_microbiome_10	2020-08-11_Rat_microbiome_10	Rattus norvegicus	feces	not applicable	not available	Fecal_Transplant_from_Roux-Y-Gastric-Bypass_rat_model_into_a_diet_induced_obesity_rat_model	feces	feces	not available	not available	not available	not available	gut microbiome	Rattus norvegicus	feces	not available	1	2020-08-11_Rat_microbiome_10	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2020-08-11_Rat_microbiome_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
2020-08-11_Rat_microbiome_107	2020-08-11_Rat_microbiome_107	Rattus norvegicus	feces	not applicable	not available	Fecal_Transplant_from_Roux-Y-Gastric-Bypass_rat_model_into_a_diet_induced_obesity_rat_model	feces	feces	not available	not available	not available	not available	gut microbiome	Rattus norvegicus	feces	not available	1	2020-08-11_Rat_microbiome_107	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2020-08-11_Rat_microbiome_107.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
2020-08-11_Rat_microbiome_109	2020-08-11_Rat_microbiome_109	Rattus norvegicus	feces	not applicable	not available	Fecal_Transplant_from_Roux-Y-Gastric-Bypass_rat_model_into_a_diet_induced_obesity_rat_model	feces	feces	not available	not available	not available	not available	gut microbiome	Rattus norvegicus	feces	not available	1	2020-08-11_Rat_microbiome_109	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2020-08-11_Rat_microbiome_109.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
2020-08-11_Rat_microbiome_11	2020-08-11_Rat_microbiome_11	Rattus norvegicus	feces	not applicable	not available	Fecal_Transplant_from_Roux-Y-Gastric-Bypass_rat_model_into_a_diet_induced_obesity_rat_model	feces	feces	not available	not available	not available	not available	gut microbiome	Rattus norvegicus	feces	not available	1	2020-08-11_Rat_microbiome_11	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2020-08-11_Rat_microbiome_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
2020-08-11_Rat_microbiome_117	2020-08-11_Rat_microbiome_117	Rattus norvegicus	feces	not applicable	not available	Fecal_Transplant_from_Roux-Y-Gastric-Bypass_rat_model_into_a_diet_induced_obesity_rat_model	feces	feces	not available	not available	not available	not available	gut microbiome	Rattus norvegicus	feces	not available	1	2020-08-11_Rat_microbiome_117	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2020-08-11_Rat_microbiome_117.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
2020-08-11_Rat_microbiome_12	2020-08-11_Rat_microbiome_12	Rattus norvegicus	feces	not applicable	not available	Fecal_Transplant_from_Roux-Y-Gastric-Bypass_rat_model_into_a_diet_induced_obesity_rat_model	feces	feces	not available	not available	not available	not available	gut microbiome	Rattus norvegicus	feces	not available	1	2020-08-11_Rat_microbiome_12	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2020-08-11_Rat_microbiome_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
2020-08-11_Rat_microbiome_126	2020-08-11_Rat_microbiome_126	Rattus norvegicus	feces	not applicable	not available	Fecal_Transplant_from_Roux-Y-Gastric-Bypass_rat_model_into_a_diet_induced_obesity_rat_model	feces	feces	not available	not available	not available	not available	gut microbiome	Rattus norvegicus	feces	not available	1	2020-08-11_Rat_microbiome_126	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2020-08-11_Rat_microbiome_126.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
2020-08-11_Rat_microbiome_128	2020-08-11_Rat_microbiome_128	Rattus norvegicus	feces	not applicable	not available	Fecal_Transplant_from_Roux-Y-Gastric-Bypass_rat_model_into_a_diet_induced_obesity_rat_model	feces	feces	not available	not available	not available	not available	gut microbiome	Rattus norvegicus	feces	not available	1	2020-08-11_Rat_microbiome_128	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2020-08-11_Rat_microbiome_128.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
