source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[sdrf template]
EcoliSample1	Escherichia coli	cell	BL21	1	not available	YchFProteomics1	proteomic profiling by mass spectrometry	1	ELITE-RSLC017163.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0
EcoliSample2	Escherichia coli	cell	BL21	1	not available	YchFProteomics2	proteomic profiling by mass spectrometry	2	ELITE-RSLC017146.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	2	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0
EcoliSample3	Escherichia coli	cell	BL21	1	not available	YchFProteomics3	proteomic profiling by mass spectrometry	3	ELITE-RSLC017153.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	3	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0
EcoliSample4	Escherichia coli	cell	BL21	1	not available	YchFProteomics4	proteomic profiling by mass spectrometry	4	ELITE-RSLC017145.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	4	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0
EcoliSample5	Escherichia coli	cell	BL21	1	not available	YchFProteomics5	proteomic profiling by mass spectrometry	5	ELITE-RSLC017144.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	5	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0
EcoliSample6	Escherichia coli	cell	BL21	1	not available	YchFProteomics6	proteomic profiling by mass spectrometry	6	ELITE-RSLC017159.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	6	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0
EcoliSample7	Escherichia coli	cell	BL21	1	not available	YchFProteomics7	proteomic profiling by mass spectrometry	7	ELITE-RSLC017157.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	7	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0
EcoliSample8	Escherichia coli	cell	BL21	1	not available	YchFProteomics8	proteomic profiling by mass spectrometry	8	ELITE-RSLC017143.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	8	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0
EcoliSample9	Escherichia coli	cell	BL21	1	not available	YchFProteomics9	proteomic profiling by mass spectrometry	9	ELITE-RSLC017161.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	9	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0
EcoliSample10	Escherichia coli	cell	BL21	1	not available	YchFProteomics10	proteomic profiling by mass spectrometry	10	ELITE-RSLC017151.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	10	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0
EcoliSample11	Escherichia coli	cell	BL21	1	not available	YchFProteomics11	proteomic profiling by mass spectrometry	11	ELITE-RSLC017137.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	11	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0
EcoliSample12	Escherichia coli	cell	BL21	1	not available	YchFProteomics12	proteomic profiling by mass spectrometry	12	ELITE-RSLC017156.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	12	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0
EcoliSample13	Escherichia coli	cell	BL21	1	not available	YchFProteomics13	proteomic profiling by mass spectrometry	13	ELITE-RSLC017147.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	13	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0
EcoliSample14	Escherichia coli	cell	BL21	1	not available	YchFProteomics14	proteomic profiling by mass spectrometry	14	ELITE-RSLC017148.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	14	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0
EcoliSample15	Escherichia coli	cell	BL21	1	not available	YchFProteomics15	proteomic profiling by mass spectrometry	15	ELITE-RSLC017155.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	15	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0
EcoliSample16	Escherichia coli	cell	BL21	1	not available	YchFProteomics16	proteomic profiling by mass spectrometry	16	ELITE-RSLC017136.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	16	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0
EcoliSample17	Escherichia coli	cell	BL21	1	not available	YchFProteomics17	proteomic profiling by mass spectrometry	17	ELITE-RSLC017142.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	17	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0
EcoliSample18	Escherichia coli	cell	BL21	1	not available	YchFProteomics18	proteomic profiling by mass spectrometry	18	ELITE-RSLC017158.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	18	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0
EcoliSample19	Escherichia coli	cell	BL21	1	not available	YchFProteomics19	proteomic profiling by mass spectrometry	19	ELITE-RSLC017160.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	19	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0
EcoliSample20	Escherichia coli	cell	BL21	1	not available	YchFProteomics20	proteomic profiling by mass spectrometry	20	ELITE-RSLC017154.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	20	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0
EcoliSample21	Escherichia coli	cell	BL21	1	not available	YchFProteomics21	proteomic profiling by mass spectrometry	21	ELITE-RSLC017162.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	21	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0
EcoliSample22	Escherichia coli	cell	BL21	1	not available	YchFProteomics22	proteomic profiling by mass spectrometry	22	ELITE-RSLC017141.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	22	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0
