source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[developmental stage]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[developmental stage]
sj_liver_egg_lane1	Schistosoma japonicum	egg	schistosomiasis	1	spectral library	20161202_5600_MH_Carolina-IDA-SjC_1-1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	20161202_5600_MH_Carolina-IDA-SjC_1-1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
sj_liver_egg_lane1	Schistosoma japonicum	egg	schistosomiasis	1	spectral library	20161202_5600_MH_Carolina-IDA-SjC_1-10	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	10	20161202_5600_MH_Carolina-IDA-SjC_1-10.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
sj_liver_egg_lane1	Schistosoma japonicum	egg	schistosomiasis	1	spectral library	20161202_5600_MH_Carolina-IDA-SjC_1-11	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	11	20161202_5600_MH_Carolina-IDA-SjC_1-11.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
sj_liver_egg_lane1	Schistosoma japonicum	egg	schistosomiasis	1	spectral library	20161202_5600_MH_Carolina-IDA-SjC_1-12	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	12	20161202_5600_MH_Carolina-IDA-SjC_1-12.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
sj_liver_egg_lane1	Schistosoma japonicum	egg	schistosomiasis	1	spectral library	20161202_5600_MH_Carolina-IDA-SjC_1-2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	2	20161202_5600_MH_Carolina-IDA-SjC_1-2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
sj_liver_egg_lane1	Schistosoma japonicum	egg	schistosomiasis	1	spectral library	20161202_5600_MH_Carolina-IDA-SjC_1-3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	3	20161202_5600_MH_Carolina-IDA-SjC_1-3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
sj_liver_egg_lane1	Schistosoma japonicum	egg	schistosomiasis	1	spectral library	20161202_5600_MH_Carolina-IDA-SjC_1-4	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	4	20161202_5600_MH_Carolina-IDA-SjC_1-4.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
sj_liver_egg_lane1	Schistosoma japonicum	egg	schistosomiasis	1	spectral library	20161202_5600_MH_Carolina-IDA-SjC_1-5	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	5	20161202_5600_MH_Carolina-IDA-SjC_1-5.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
sj_liver_egg_lane1	Schistosoma japonicum	egg	schistosomiasis	1	spectral library	20161202_5600_MH_Carolina-IDA-SjC_1-6	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	6	20161202_5600_MH_Carolina-IDA-SjC_1-6.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
sj_liver_egg_lane1	Schistosoma japonicum	egg	schistosomiasis	1	spectral library	20161202_5600_MH_Carolina-IDA-SjC_1-7	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	7	20161202_5600_MH_Carolina-IDA-SjC_1-7.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
