source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[host organism]	characteristics[host body site]	characteristics[host disease status]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
Leyuan_20211211_Exploris_Niche_study_AllMixQC_1	Leyuan_20211211_Exploris_Niche_study_AllMixQC_1	Human gut metagenome	feces	not applicable	not available	In-vitro_human_gut_microbiota_culture_with_added_sugars	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	Leyuan_20211211_Exploris_Niche_study_AllMixQC_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	not applicable	not available	1	1	Leyuan_20211211_Exploris_Niche_study_AllMixQC_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
Leyuan_20211211_Exploris_Niche_study_AllMixQC_2	Leyuan_20211211_Exploris_Niche_study_AllMixQC_2	Human gut metagenome	feces	not applicable	not available	In-vitro_human_gut_microbiota_culture_with_added_sugars	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	Leyuan_20211211_Exploris_Niche_study_AllMixQC_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	not applicable	not available	1	1	Leyuan_20211211_Exploris_Niche_study_AllMixQC_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
Leyuan_20211211_Exploris_Niche_study_AllMixQC_3	Leyuan_20211211_Exploris_Niche_study_AllMixQC_3	Human gut metagenome	feces	not applicable	not available	In-vitro_human_gut_microbiota_culture_with_added_sugars	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	Leyuan_20211211_Exploris_Niche_study_AllMixQC_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	not applicable	not available	1	1	Leyuan_20211211_Exploris_Niche_study_AllMixQC_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
Leyuan_20211211_Exploris_Niche_study_V46_A	Leyuan_20211211_Exploris_Niche_study_V46_A	Human gut metagenome	feces	not applicable	not available	In-vitro_human_gut_microbiota_culture_with_added_sugars	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	Leyuan_20211211_Exploris_Niche_study_V46_A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	not applicable	not available	1	1	Leyuan_20211211_Exploris_Niche_study_V46_A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
Leyuan_20211211_Exploris_Niche_study_V46_B	Leyuan_20211211_Exploris_Niche_study_V46_B	Human gut metagenome	feces	not applicable	not available	In-vitro_human_gut_microbiota_culture_with_added_sugars	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	Leyuan_20211211_Exploris_Niche_study_V46_B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	not applicable	not available	1	1	Leyuan_20211211_Exploris_Niche_study_V46_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
Leyuan_20211211_Exploris_Niche_study_V46_C	Leyuan_20211211_Exploris_Niche_study_V46_C	Human gut metagenome	feces	not applicable	not available	In-vitro_human_gut_microbiota_culture_with_added_sugars	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	Leyuan_20211211_Exploris_Niche_study_V46_C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	not applicable	not available	1	1	Leyuan_20211211_Exploris_Niche_study_V46_C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
Leyuan_20211211_Exploris_Niche_study_V46_D	Leyuan_20211211_Exploris_Niche_study_V46_D	Human gut metagenome	feces	not applicable	not available	In-vitro_human_gut_microbiota_culture_with_added_sugars	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	Leyuan_20211211_Exploris_Niche_study_V46_D	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	not applicable	not available	1	1	Leyuan_20211211_Exploris_Niche_study_V46_D.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
Leyuan_20211211_Exploris_Niche_study_V46_E	Leyuan_20211211_Exploris_Niche_study_V46_E	Human gut metagenome	feces	not applicable	not available	In-vitro_human_gut_microbiota_culture_with_added_sugars	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	Leyuan_20211211_Exploris_Niche_study_V46_E	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	not applicable	not available	1	1	Leyuan_20211211_Exploris_Niche_study_V46_E.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
Leyuan_20211211_Exploris_Niche_study_V46_F	Leyuan_20211211_Exploris_Niche_study_V46_F	Human gut metagenome	feces	not applicable	not available	In-vitro_human_gut_microbiota_culture_with_added_sugars	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	Leyuan_20211211_Exploris_Niche_study_V46_F	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	not applicable	not available	1	1	Leyuan_20211211_Exploris_Niche_study_V46_F.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
Leyuan_20211211_Exploris_Niche_study_V46_G	Leyuan_20211211_Exploris_Niche_study_V46_G	Human gut metagenome	feces	not applicable	not available	In-vitro_human_gut_microbiota_culture_with_added_sugars	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	Leyuan_20211211_Exploris_Niche_study_V46_G	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	not applicable	not available	1	1	Leyuan_20211211_Exploris_Niche_study_V46_G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
Leyuan_20211211_Exploris_Niche_study_V48_A	Leyuan_20211211_Exploris_Niche_study_V48_A	Human gut metagenome	feces	not applicable	not available	In-vitro_human_gut_microbiota_culture_with_added_sugars	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	Leyuan_20211211_Exploris_Niche_study_V48_A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	not applicable	not available	1	1	Leyuan_20211211_Exploris_Niche_study_V48_A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
Leyuan_20211211_Exploris_Niche_study_V48_B	Leyuan_20211211_Exploris_Niche_study_V48_B	Human gut metagenome	feces	not applicable	not available	In-vitro_human_gut_microbiota_culture_with_added_sugars	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	Leyuan_20211211_Exploris_Niche_study_V48_B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	not applicable	not available	1	1	Leyuan_20211211_Exploris_Niche_study_V48_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
Leyuan_20211211_Exploris_Niche_study_V48_C	Leyuan_20211211_Exploris_Niche_study_V48_C	Human gut metagenome	feces	not applicable	not available	In-vitro_human_gut_microbiota_culture_with_added_sugars	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	Leyuan_20211211_Exploris_Niche_study_V48_C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	not applicable	not available	1	1	Leyuan_20211211_Exploris_Niche_study_V48_C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
Leyuan_20211211_Exploris_Niche_study_V48_D	Leyuan_20211211_Exploris_Niche_study_V48_D	Human gut metagenome	feces	not applicable	not available	In-vitro_human_gut_microbiota_culture_with_added_sugars	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	Leyuan_20211211_Exploris_Niche_study_V48_D	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	not applicable	not available	1	1	Leyuan_20211211_Exploris_Niche_study_V48_D.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
Leyuan_20211211_Exploris_Niche_study_V48_E	Leyuan_20211211_Exploris_Niche_study_V48_E	Human gut metagenome	feces	not applicable	not available	In-vitro_human_gut_microbiota_culture_with_added_sugars	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	Leyuan_20211211_Exploris_Niche_study_V48_E	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	not applicable	not available	1	1	Leyuan_20211211_Exploris_Niche_study_V48_E.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
Leyuan_20211211_Exploris_Niche_study_V48_F	Leyuan_20211211_Exploris_Niche_study_V48_F	Human gut metagenome	feces	not applicable	not available	In-vitro_human_gut_microbiota_culture_with_added_sugars	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	Leyuan_20211211_Exploris_Niche_study_V48_F	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	not applicable	not available	1	1	Leyuan_20211211_Exploris_Niche_study_V48_F.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
Leyuan_20211211_Exploris_Niche_study_V48_G	Leyuan_20211211_Exploris_Niche_study_V48_G	Human gut metagenome	feces	not applicable	not available	In-vitro_human_gut_microbiota_culture_with_added_sugars	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	Leyuan_20211211_Exploris_Niche_study_V48_G	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	not applicable	not available	1	1	Leyuan_20211211_Exploris_Niche_study_V48_G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
Leyuan_20211211_Exploris_Niche_study_V49_A	Leyuan_20211211_Exploris_Niche_study_V49_A	Human gut metagenome	feces	not applicable	not available	In-vitro_human_gut_microbiota_culture_with_added_sugars	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	Leyuan_20211211_Exploris_Niche_study_V49_A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	not applicable	not available	1	1	Leyuan_20211211_Exploris_Niche_study_V49_A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
Leyuan_20211211_Exploris_Niche_study_V49_B	Leyuan_20211211_Exploris_Niche_study_V49_B	Human gut metagenome	feces	not applicable	not available	In-vitro_human_gut_microbiota_culture_with_added_sugars	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	Leyuan_20211211_Exploris_Niche_study_V49_B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	not applicable	not available	1	1	Leyuan_20211211_Exploris_Niche_study_V49_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
Leyuan_20211211_Exploris_Niche_study_V49_C	Leyuan_20211211_Exploris_Niche_study_V49_C	Human gut metagenome	feces	not applicable	not available	In-vitro_human_gut_microbiota_culture_with_added_sugars	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	Leyuan_20211211_Exploris_Niche_study_V49_C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	not applicable	not available	1	1	Leyuan_20211211_Exploris_Niche_study_V49_C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
Leyuan_20211211_Exploris_Niche_study_V49_D	Leyuan_20211211_Exploris_Niche_study_V49_D	Human gut metagenome	feces	not applicable	not available	In-vitro_human_gut_microbiota_culture_with_added_sugars	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	Leyuan_20211211_Exploris_Niche_study_V49_D	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	not applicable	not available	1	1	Leyuan_20211211_Exploris_Niche_study_V49_D.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
Leyuan_20211211_Exploris_Niche_study_V49_E	Leyuan_20211211_Exploris_Niche_study_V49_E	Human gut metagenome	feces	not applicable	not available	In-vitro_human_gut_microbiota_culture_with_added_sugars	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	Leyuan_20211211_Exploris_Niche_study_V49_E	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	not applicable	not available	1	1	Leyuan_20211211_Exploris_Niche_study_V49_E.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
Leyuan_20211211_Exploris_Niche_study_V49_F	Leyuan_20211211_Exploris_Niche_study_V49_F	Human gut metagenome	feces	not applicable	not available	In-vitro_human_gut_microbiota_culture_with_added_sugars	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	Leyuan_20211211_Exploris_Niche_study_V49_F	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	not applicable	not available	1	1	Leyuan_20211211_Exploris_Niche_study_V49_F.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
Leyuan_20211211_Exploris_Niche_study_V49_G	Leyuan_20211211_Exploris_Niche_study_V49_G	Human gut metagenome	feces	not applicable	not available	In-vitro_human_gut_microbiota_culture_with_added_sugars	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	Leyuan_20211211_Exploris_Niche_study_V49_G	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	not applicable	not available	1	1	Leyuan_20211211_Exploris_Niche_study_V49_G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
