source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[material type]	characteristics[disease]	characteristics[developmental stage]	characteristics[sex]	characteristics[strain or breed]	characteristics[genotype]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[genotype]	factor value[disease]
LKB1_WT2	Mus musculus	heart	not applicable	tissue	normal	adult	not available	C57BL/6	wild type	2	XA07863DPPr_LKB1_WT2_Slot1-10_1_1210	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	XA07863DPPr_LKB1_WT2_Slot1-10_1_1210.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	wild type	normal
LKB1_KO2	Mus musculus	heart	not applicable	tissue	atrial fibrillation	adult	not available	C57BL/6	Stk11 knockout	2	XA07863DPPr_LKB1_KO2_Slot1-11_1_1216	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	XA07863DPPr_LKB1_KO2_Slot1-11_1_1216.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Stk11 knockout	atrial fibrillation
LKB1_KO1	Mus musculus	heart	not applicable	tissue	atrial fibrillation	adult	not available	C57BL/6	Stk11 knockout	1	XA07863DPPr_LKB1_KO1_Slot1-11_1_1214	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	XA07863DPPr_LKB1_KO1_Slot1-11_1_1214.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Stk11 knockout	atrial fibrillation
LKB1_WT1	Mus musculus	heart	not applicable	tissue	normal	adult	not available	C57BL/6	wild type	1	XA07863DPPr_LKB1_WT1_Slot1-10_1_1208	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	XA07863DPPr_LKB1_WT1_Slot1-10_1_1208.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	wild type	normal
LKB1_WT3	Mus musculus	heart	not applicable	tissue	normal	adult	not available	C57BL/6	wild type	3	XA07863DPPr_LKB1_WT3_Slot1-10_1_1212	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	XA07863DPPr_LKB1_WT3_Slot1-10_1_1212.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	wild type	normal
LKB1_KO3	Mus musculus	heart	not applicable	tissue	atrial fibrillation	adult	not available	C57BL/6	Stk11 knockout	3	XA07863DPPr_LKB1_KO3_Slot1-11_1_1218	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	XA07863DPPr_LKB1_KO3_Slot1-11_1_1218.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Stk11 knockout	atrial fibrillation
