source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[genotype]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[material type]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[reduction reagent]	comment[alkylation reagent]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[genotype]
w1118	Drosophila melanogaster	testis	not applicable	normal	adult stage	w1118	wild type	1	pooled	tissue	w1118_tech1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	27 NCE	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	4.5 ppm	not available	1	1	w1118_QE-HFX_50cm_60min_pro-1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	wild type
CG14305-DEL	Drosophila melanogaster	testis	not applicable	normal	adult stage	w1118	CG14305 deletion	1	pooled	tissue	CG14305-DEL_tech1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	27 NCE	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	4.5 ppm	not available	1	1	CG14305-DEL_QE-HFX-_50cm_60min_pro-2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	CG14305 deletion
w1118	Drosophila melanogaster	testis	not applicable	normal	adult stage	w1118	wild type	1	pooled	tissue	w1118_tech2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	27 NCE	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	4.5 ppm	not available	1	2	w1118_QE-HFX-_50cm_60min_pro-3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	wild type
CG14305-DEL	Drosophila melanogaster	testis	not applicable	normal	adult stage	w1118	CG14305 deletion	1	pooled	tissue	CG14305-DEL_tech2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	27 NCE	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	4.5 ppm	not available	1	2	CG14305-DEL_QE-HFX-_50cm_60min_pro-4.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	CG14305 deletion
