source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[phenotype]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[phenotype]
wt_skin_fibroblast_1	Mus musculus	skin of body	skin fibroblast	not available	wt_skin_fibroblast	1	run_1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	5 ppm	1	1	Circadianproteomics_Discovery_WT_Global_MSF_Fr1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	wt_skin_fibroblast
wt_skin_fibroblast_2	Mus musculus	skin of body	skin fibroblast	not available	wt_skin_fibroblast	2	run_2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	5 ppm	1	1	Circadianproteomics_Discovery_WT_Global_MSF_Fr2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	wt_skin_fibroblast
wt_skin_fibroblast_3	Mus musculus	skin of body	skin fibroblast	not available	wt_skin_fibroblast	3	run_3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	5 ppm	1	1	Circadianproteomics_Discovery_WT_Global_MSF_Fr3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	wt_skin_fibroblast
wt_skin_fibroblast_4	Mus musculus	skin of body	skin fibroblast	not available	wt_skin_fibroblast	4	run_4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	5 ppm	1	1	Circadianproteomics_Discovery_WT_Global_MSF_Fr4.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	wt_skin_fibroblast
wt_skin_fibroblast_5	Mus musculus	skin of body	skin fibroblast	not available	wt_skin_fibroblast	5	run_5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	5 ppm	1	1	Circadianproteomics_Discovery_WT_Global_MSF_Fr5.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	wt_skin_fibroblast
wt_skin_fibroblast_6	Mus musculus	skin of body	skin fibroblast	not available	wt_skin_fibroblast	6	run_6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	5 ppm	1	1	Circadianproteomics_Discovery_WT_Global_MSF_Fr6.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	wt_skin_fibroblast
wt_skin_fibroblast_7	Mus musculus	skin of body	skin fibroblast	not available	wt_skin_fibroblast	7	run_7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	5 ppm	1	1	Circadianproteomics_Discovery_WT_Global_MSF_Fr7.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	wt_skin_fibroblast
wt_skin_fibroblast_8	Mus musculus	skin of body	skin fibroblast	not available	wt_skin_fibroblast	8	run_8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	5 ppm	1	1	Circadianproteomics_Discovery_WT_Global_MSF_Fr8.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	wt_skin_fibroblast
wt_skin_fibroblast_9	Mus musculus	skin of body	skin fibroblast	not available	wt_skin_fibroblast	9	run_9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	5 ppm	1	1	Circadianproteomics_Validation_WT_Global_MSF_Fr1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	wt_skin_fibroblast
wt_skin_fibroblast_10	Mus musculus	skin of body	skin fibroblast	not available	wt_skin_fibroblast	10	run_10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	5 ppm	1	1	Circadianproteomics_Validation_WT_Global_MSF_Fr2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	wt_skin_fibroblast
wt_skin_fibroblast_11	Mus musculus	skin of body	skin fibroblast	not available	wt_skin_fibroblast	11	run_11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	5 ppm	1	1	Circadianproteomics_Validation_WT_Global_MSF_Fr3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	wt_skin_fibroblast
wt_skin_fibroblast_12	Mus musculus	skin of body	skin fibroblast	not available	wt_skin_fibroblast	12	run_12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	5 ppm	1	1	Circadianproteomics_Validation_WT_Global_MSF_Fr4.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	wt_skin_fibroblast
