source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
F116916_JH17_QE.dat	F116916_JH17_QE.dat	Homo sapiens	Dental plaque	not applicable	not available	Direct_evidence_of_milk_consumption_from_ancient_human_dental_calculus_St_Helena	Dental plaque	Dental plaque	not available	not available	not available	not available	1	F116916_JH17_QE.dat	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	F116916_JH17_QE.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
F116928_JH20_QE.dat	F116928_JH20_QE.dat	Homo sapiens	Dental plaque	not applicable	not available	Direct_evidence_of_milk_consumption_from_ancient_human_dental_calculus_St_Helena	Dental plaque	Dental plaque	not available	not available	not available	not available	1	F116928_JH20_QE.dat	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	F116928_JH20_QE.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
F118352_JH1_CID.dat	F118352_JH1_CID.dat	Homo sapiens	Dental plaque	not applicable	not available	Direct_evidence_of_milk_consumption_from_ancient_human_dental_calculus_St_Helena	Dental plaque	Dental plaque	not available	not available	not available	not available	1	F118352_JH1_CID.dat	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	F118352_JH1_CID.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
F118392_JH4_CID.dat	F118392_JH4_CID.dat	Homo sapiens	Dental plaque	not applicable	not available	Direct_evidence_of_milk_consumption_from_ancient_human_dental_calculus_St_Helena	Dental plaque	Dental plaque	not available	not available	not available	not available	1	F118392_JH4_CID.dat	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	F118392_JH4_CID.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
F118460_JH5_CID.dat	F118460_JH5_CID.dat	Homo sapiens	Dental plaque	not applicable	not available	Direct_evidence_of_milk_consumption_from_ancient_human_dental_calculus_St_Helena	Dental plaque	Dental plaque	not available	not available	not available	not available	1	F118460_JH5_CID.dat	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	F118460_JH5_CID.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
F118545_JH7_CID.dat	F118545_JH7_CID.dat	Homo sapiens	Dental plaque	not applicable	not available	Direct_evidence_of_milk_consumption_from_ancient_human_dental_calculus_St_Helena	Dental plaque	Dental plaque	not available	not available	not available	not available	1	F118545_JH7_CID.dat	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	F118545_JH7_CID.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
F119164_JH8_CID.dat	F119164_JH8_CID.dat	Homo sapiens	Dental plaque	not applicable	not available	Direct_evidence_of_milk_consumption_from_ancient_human_dental_calculus_St_Helena	Dental plaque	Dental plaque	not available	not available	not available	not available	1	F119164_JH8_CID.dat	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	F119164_JH8_CID.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
F119269_JH11_CID.dat	F119269_JH11_CID.dat	Homo sapiens	Dental plaque	not applicable	not available	Direct_evidence_of_milk_consumption_from_ancient_human_dental_calculus_St_Helena	Dental plaque	Dental plaque	not available	not available	not available	not available	1	F119269_JH11_CID.dat	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	F119269_JH11_CID.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
F119345_JH12_CID.dat	F119345_JH12_CID.dat	Homo sapiens	Dental plaque	not applicable	not available	Direct_evidence_of_milk_consumption_from_ancient_human_dental_calculus_St_Helena	Dental plaque	Dental plaque	not available	not available	not available	not available	1	F119345_JH12_CID.dat	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	F119345_JH12_CID.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
F119476_JH14_CID.dat	F119476_JH14_CID.dat	Homo sapiens	Dental plaque	not applicable	not available	Direct_evidence_of_milk_consumption_from_ancient_human_dental_calculus_St_Helena	Dental plaque	Dental plaque	not available	not available	not available	not available	1	F119476_JH14_CID.dat	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	F119476_JH14_CID.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
